CompanyID,CompanyType,Company_Name,Company_Name_Abbreviation,Business_Registration_Number,Business_Type,Business_Item,ZIP_Code,Address,Insert_Emp_ID,Update_Emp_ID,Management_Type,Management_Date,Start_Date,End_Date,Defect Grade(C60),Transaction_Suspension,Transaction_extension,Transaction_Cancellation,Road_Name_Code,Last_Date,ETLTime
331,1,(주)에이치에스아엔씨,에이치에스아엔씨,2118716331,도소매,의류,135120,서울 강남구 신사동 546-6,90501,81146,D,,20020812,20100331,Y,,,,,04:59.8,04:59.8
332,1,(주)화신에프씨,화신F.C,5148147949,"도매,제조","의류,기성복",705020,대구 남구 봉덕동 1292-4,90502,,D,,20021206,20161231,Y,,,,,04:59.8,04:59.8
334,1,하나데코,하나데코,5038147013,"제조,도소매","수예,잡화",704190,대구 달서구 장동 617-5,90501,,D,,20020903,20161231,Y,,,,,04:59.8,04:59.8
335,1,(주)훠앤드텍스,훠앤드,2048147493,"제조,도소매",의류,143200,서울 광진구 구의동 52-17,90501,,D,,20030812,20161231,Y,,,,,04:59.8,04:59.8
268,1,(주)로뎀타운,로뎀타운,2038128310,제조/서비스,의류,100051,서울 중구 회현동1가 1-12 13층 5-8,90501,,D,,20041201,20061231,Y,,,,,04:59.8,04:59.8
269,1,(주)진흥아앤디,진흥,5038149909,"제조,도소매",수예,703090,대구 서구 중리동 1078-1,90501,,D,,20020905,20161231,Y,,,,,04:59.8,04:59.8
270,1,(주)짚신스포츠,짚신,2038123144,"제조,도소매","무용복,수영복,스포츠",100450,서울 중구 신당동 140-10,90501,,D,,20030719,20041130,Y,,,,,04:59.8,04:59.8
271,1,차밍홈,차밍홈,2181260897,제조,홈패션,133170,서울 성동구 용답동 238-1,90501,,D,,20020814,20100331,Y,,,,,04:59.8,04:59.8
203,8,(주)해천지엔디,해천지엔디,1048189397,도매,"광고용품및판촉물,무역",100230,서울 중구 수표동 56-1 강남빌딩 704,90501,,D,,20041101,20071231,Y,,,,,04:59.8,04:59.8
205,1,(주)예인콜렉션,예인콜렉션,2158195447,"제조,도소매","피혁제품,무역",133123,서울 성동구 성수2가3동 302-8,90501,,D,,20021104,20100315,Y,,,,,04:59.8,04:59.8
