PRM계약번호,사업자번호,계약명,계약구분,계약형태,사업자명,상호명,업태,업종,계약등록일,최초계약일,계약개시일,계약종료일,운영점소대,운영점소중,운영점소,최종변경일시,ETL일시
TA202001295,7298102016,강릉터미널 조업 계약,100,A,레츠고물류,레츠고물류,창고업,육상화물분류,20201117,20201101,20201101,20201231,DPS,QWJBR,KANBR,02:24.2,02:24.2
TA202000405,2098157074,DD구로 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000406,2098157074,DD신마포 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000407,2098157074,SJ 집하점 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000408,2098157074,DD포항 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202001294,2068189674,영주터미널 조업 계약,100,A,에스씨케이1,에스씨케이1,시설종합관리,서비스,20201117,20201101,20201101,20201231,DPY,TAEBR,TAEBRB,02:24.2,02:24.2
TA202000409,2098157074,DD신노원 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000410,2098157074,DD동작 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000411,2098157074,DD관악 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000412,2098157074,DD영등포 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000413,2098157074,DD은평 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000414,2098157074,DD서대문 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000415,2098157074,DD중구 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000416,2098157074,DD동대문 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000417,2098157074,DD신강남 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000418,2098157074,DD성남 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000419,2098157074,DD금천 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000420,2098157074,DD부산 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000421,2098157074,DD신광진 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000422,2098157074,DD신서초 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000423,2098157074,DD중랑 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000424,2098157074,DD화성 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000425,2098157074,DD강동 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000426,2098157074,DD강북 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000427,2098157074,DD성동 계약,101,A,디디로지스,디디로지스,운수업외,소화물전문운송업외,20200101,20200101,20200101,20201231,DPS,SENBR,DDMOC,02:24.2,02:24.2
TA202000522,1051975638,남산(집) 집배점 계약,101,A,광성상사,광성상사,서비스,기타서비스업,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000523,1192223653,신남대문시장(집) 집배점 계약,101,A,TS물류,TS물류,서비스,택배포장,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000524,5091128705,신당1(집) 집배점 계약,101,A,오케이컴퍼니,오케이컴퍼니,운수업,택배업,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000525,1281749503,신당3(집) 집배점 계약,101,A,뉴질랜드,뉴질랜드,도소매,의류,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000526,1040242456,을지(집) 집배점 계약,101,A,토탈종합물류,토탈종합물류,서비스,택배,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000527,2171190538,충정로(집) 집배점 계약,101,A,안(An)컴퍼니,안(An)컴퍼니,서비스,택배,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202000528,1081775948,해운(집) 집배점 계약,101,A,동일1,동일1,서비스,택배,20200101,20200101,20200101,20201231,DPS,SEWBR,MPOBR,02:24.2,02:24.2
TA202001298,2271491383,가오집배점 집배점 계약,101,A,두리상사,두리상사,서비스업,택배업,20201117,20201101,20201101,20201231,DPJ,TJNBR,TJBRO,02:24.2,02:24.2
TA202000529,1288701972,고양GS전담 집배점 계약,101,A,태경물류1,태경물류1,운수,택배,20200101,20200101,20200101,20201231,DPS,SEWBR,SKPBRF,02:24.2,02:24.2
TA202000530,7446800264,내유(집) 집배점 계약,101,A,한국물류,한국물류,택배업,운수,20200101,20200101,20200101,20201231,DPS,SEWBR,SKPBRF,02:24.2,02:24.2
