결제조건코드,결제조건명,dt_reg,dt_adjt,폐기일자,yn_abd,처리자사번,last_update_dtm,etl_dtm
A,현금,20011201,20040205,,N,0211385,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
B,어음,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
C,카드,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
D,지로,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
E,자사상품권,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
F,타사상품권,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
G,수수료,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
H,잡손실,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
I,CLAIM,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
J,상계,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
K,대손,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
L,대손세액공제,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
M,담보물권폐기,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
N,담보물권매각,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
O,ON-LINE,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
P,전자결제,20011201,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
Q,매출채권처분손실,20030828,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
R,현금+어음,20040205,,,N,9305391,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
S,현금(방문),20040206,,,N,0211385,2023-12-26 03:11:54.671000,2023-12-26 03:11:54.671000
