계약적용월,계약관리번호,계약번호,소사업코드,팀코드,계약구분,소사업명,팀명,사업자번호,고객명,계약개시일,계약종료일,물량단위,예상물량년,최초생성자ID,최초생성일시,ESB_STATUS,최종변경일시,ETL일시
202210,2206HDD1528,9121631,422,KUMKE,R,B2C공통,구미택배지점,5678700993,(주)골드테크,20220601,20230531,BOX,3600,cnt,00:38.1,N,34:57.0,35:22.2
202312,2205POS0009,DWKPO2205280,121,KPOSDS,N,철제품하역,영남지점 물류영업팀,3018702315,(주)포스코,20220501,20240430,TON,63600,cnt,00:50.4,N,34:57.0,35:22.2
202404,2310HDD01136,3454633,422,CJUKE,N,B2C공통,제주택배지점,3234300972,제주만주,20231010,20241009,BOX,6000,cnt,00:22.7,N,34:57.0,35:22.2
202307,2303HDD01438,8010429,165,SELESB,R,B2B,택배영업팀,2018154791,(주)엠케이에프엔씨,20230301,20240228,BOX,43000,cnt,00:45.8,N,34:57.0,35:22.2
202401,2304HDD02484,3450217,422,SWUKE,N,B2C공통,수원택배지점,2212060938,한국낚시유통,20230401,20240331,BOX,6000,cnt,00:19.9,N,34:57.0,35:22.2
202310,2212HDD13140,1242681,422,GURKE,R,B2C공통,구로택배지점,5279301530,우주유통,20221220,20231219,BOX,2400,cnt,00:47.0,N,34:57.0,35:22.2
202403,2305HDD00734,1237990,422,PIKKE,R,B2C공통,평택택배지점,8788801808,(주)에이텍아이오티,20230501,20240430,BOX,6000,cnt,00:19.6,N,34:57.0,35:22.2
202402,2305HDD00103,2010251,153,KWJKE,B,B2C집하,광주택배지점,5939101436,서해젓갈,20230501,20240430,BOX,1200,cnt,00:51.1,N,34:57.0,35:22.2
202204,2205HDD0958,9121934,153,CHCSE,B,B2C집하,충청지부,3078204354,신공주밤생산영농조합법인,20220430,20230430,BOX,7884,cnt,00:35.0,N,34:57.0,35:22.2
202307,2305HDD00551,2005152,422,KPOKE,R,B2C공통,포항택배지점,2018187986,(주)농협물류,20230501,20240430,BOX,4560,cnt,00:19.3,N,34:57.0,35:22.2
202303,2207HDD0645,1239425,422,GNOKE,R,B2C공통,강서택배지점,1302057608,코집정보통신,20220701,20230630,BOX,18000,cnt,00:42.4,N,34:57.0,35:22.2
202402,2307HDD01748,0142450,422,PIKKE,R,B2C공통,평택택배지점,5341001739,땅끝마켓,20230720,20240719,BOX,1200,cnt,00:21.6,N,34:57.0,35:22.2
202212,2212HDD13620,2021520,422,GUNKE,N,B2C공통,군포택배지점,1502301583,은별문구,20221207,20231206,BOX,1200,cnt,00:40.1,N,34:57.0,35:22.2
202310,2212HDD13680,9126323,422,QUNKE,R,B2C공통,춘천택배지점,2239027597,복골농장,20221209,20231208,BOX,3000,cnt,00:47.0,N,34:57.0,35:22.2
202202,2202HDD0805,1235046,153,JCNKE,B,B2C집하,인천택배지점,7950302112,험토코리아,20220222,20230221,BOX,8016,cnt,00:34.5,N,34:57.0,35:22.2
202302,2208HDD1193,8013669,422,KWJKE,R,B2C공통,광주택배지점,4102685716,예담한약국,20220801,20230731,BOX,2600,cnt,00:41.6,N,34:57.0,35:22.2
202206,2206HDD1960,1239537,422,KBKKE,R,B2C공통,강북택배지점,8878101287,(주)엘투랜드,20220621,20230620,BOX,6000,cnt,00:35.8,N,34:57.0,35:22.2
