수익비용구분코드,수익비용구분명,상위계정과목코드,상위계정과목명,계정과목코드,계정과목명,하위계정과목코드,하위계정과목명,정렬순서,최초생성자ID,최초생성일시,last_update_dtm,etl_dtm
500000,비용,510000,영업비용,512800,작업비,512891,기타작업비,1460,epark,2023-12-12 21:42:24.588000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
400000,수익,420000,영업외수익,423100,자산처분및평가이익,423123,공동기업투자처분이익,270,epark,2023-12-12 21:42:24.467000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,518100,기타영업비용,518131,내객용 음료비,2700,epark,2023-12-12 21:42:24.704000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,515500,판매수수료,515521,택배취급점수수료,2160,epark,2023-12-12 21:42:24.654000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,511500,퇴직급여,511521,단체퇴직급여충당금전입액,560,epark,2023-12-12 21:42:24.498000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,512700,용선임,512711,용선임,1410,epark,2023-12-12 21:42:24.583000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,520000,영업외비용,522100,기부금,522111,일반기부금,2930,epark,2023-12-12 21:42:24.727000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,520000,영업외비용,521200,기타금융비용,521231,사채상환손실,2920,epark,2023-12-12 21:42:24.726000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,520000,영업외비용,521200,기타금융비용,521222,파생상품평가손실,2910,epark,2023-12-12 21:42:24.725000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,511600,복리후생비,511662,야근식대,650,epark,2023-12-12 21:42:24.508000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,515200,리스료,515291,리스료(리스),2050,epark,2023-12-12 21:42:24.644000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,517700,접대비,517711,접대비,2590,epark,2023-12-12 21:42:24.695000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,514300,사용권자산감가상각비,514321,투자부동산감가상각비(리스),1700,epark,2023-12-12 21:42:24.611000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,514200,보험료,514281,재산종합보험료,1670,epark,2023-12-12 21:42:24.608000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,515200,리스료,515211,시설장비리스료,2030,epark,2023-12-12 21:42:24.642000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,511400,제수당,511441,일숙직수당,520,epark,2023-12-12 21:42:24.495000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,510000,영업비용,518100,기타영업비용,518191,잡경비,2760,epark,2023-12-12 21:42:24.710000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
500000,비용,520000,영업외비용,525100,자산처분및평가손실,525141,종속기업투자손상차손,3140,epark,2023-12-12 21:42:24.747000,2023-12-26 01:05:21.036000,2023-12-26 01:05:21.036000
