사업유형코드,전사업코드,전사업명,대사업코드,대사업명,대사업,중사업코드,중사업명,중사업,소사업코드,소사업명,소사업,사업코드,사업명,최초생성자ID,최초생성일시,최종갱신자ID,last_update_dtm,etl_dtm
TYPE1,901,전사업공통,000,공통,공통,000,공통,공통,000,공통,공통,000,공통,epark,2023-12-01 09:18:22.273000,epark,2023-12-01 09:18:22.273000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,401,일반화물운송공통,일반화물운송,101,기타일반화물운송(자차),epark,2023-12-01 09:18:22.330000,epark,2023-12-01 09:18:22.330000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,401,일반화물운송공통,일반화물운송,102,기타일반화물운송(용차),epark,2023-12-01 09:18:22.331000,epark,2023-12-01 09:18:22.331000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,401,일반화물운송공통,일반화물운송,103,미군유류운송,epark,2023-12-01 09:18:22.332000,epark,2023-12-01 09:18:22.332000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,401,일반화물운송공통,일반화물운송,104,철제품하치장,epark,2023-12-01 09:18:22.333000,epark,2023-12-01 09:18:22.333000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,402,컨테이너운송공통,컨테이너운송,106,컨테이너운송(자차),epark,2023-12-01 09:18:22.334000,epark,2023-12-01 09:18:22.334000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,402,컨테이너운송공통,컨테이너운송,107,컨테이너운송(용차),epark,2023-12-01 09:18:22.334000,epark,2023-12-01 09:18:22.334000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,403,유통운송공통,유통운송,108,이마트,epark,2023-12-01 09:18:22.335000,epark,2023-12-01 09:18:22.335000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,403,유통운송공통,유통운송,109,신세계,epark,2023-12-01 09:18:22.336000,epark,2023-12-01 09:18:22.336000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,403,유통운송공통,유통운송,110,기타일반유통,epark,2023-12-01 09:18:22.337000,epark,2023-12-01 09:18:22.337000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,404,철제품운송공통,철제품운송,111,철제품운송(자차),epark,2023-12-01 09:18:22.338000,epark,2023-12-01 09:18:22.338000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,404,철제품운송공통,철제품운송,112,철제품운송(용차),epark,2023-12-01 09:18:22.339000,epark,2023-12-01 09:18:22.339000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,405,철도운송공통,철도운송,113,철도운송,epark,2023-12-01 09:18:22.340000,epark,2023-12-01 09:18:22.340000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,406,내륙CD공통,내륙CD,114,부곡CY,epark,2023-12-01 09:18:22.341000,epark,2023-12-01 09:18:22.341000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,406,내륙CD공통,내륙CD,115,부곡CFS,epark,2023-12-01 09:18:22.341000,epark,2023-12-01 09:18:22.341000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,406,내륙CD공통,내륙CD,116,양산CY,epark,2023-12-01 09:18:22.342000,epark,2023-12-01 09:18:22.342000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,601,육운사업,육운,407,화물운송부대공통,화물운송부대,117,화물운송부대,epark,2023-12-01 09:18:22.343000,epark,2023-12-01 09:18:22.343000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,308,항만법인경영지원공통,항만법인경영지원,187,항만법인경영지원,epark,2023-12-01 09:18:22.354000,epark,2023-12-01 09:18:22.354000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,409,일반화물하역공통,일반화물하역,119,기타일반화물하역(자가),epark,2023-12-01 09:18:22.346000,epark,2023-12-01 09:18:22.346000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,409,일반화물하역공통,일반화물하역,120,기타일반화물하역(위탁),epark,2023-12-01 09:18:22.347000,epark,2023-12-01 09:18:22.347000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,409,일반화물하역공통,일반화물하역,121,철제품하역,epark,2023-12-01 09:18:22.348000,epark,2023-12-01 09:18:22.348000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,409,일반화물하역공통,일반화물하역,122,원료하역,epark,2023-12-01 09:18:22.349000,epark,2023-12-01 09:18:22.349000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,409,일반화물하역공통,일반화물하역,123,양곡하역,epark,2023-12-01 09:18:22.349000,epark,2023-12-01 09:18:22.349000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,410,자동차하역공통,자동차하역,124,자동차하역(자가),epark,2023-12-01 09:18:22.350000,epark,2023-12-01 09:18:22.350000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,410,자동차하역공통,자동차하역,125,자동차하역(위탁),epark,2023-12-01 09:18:22.351000,epark,2023-12-01 09:18:22.351000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,411,터미널운영공통,터미널운영,126,PCTC,epark,2023-12-01 09:18:22.352000,epark,2023-12-01 09:18:22.352000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,411,터미널운영공통,터미널운영,127,PICT,epark,2023-12-01 09:18:22.353000,epark,2023-12-01 09:18:22.353000,2023-12-23 01:03:53.328000
TYPE1,901,전사업공통,701,물류사업본부,물류,602,하역사업,하역,411,터미널운영공통,터미널운영,128,터미널경영위탁,epark,2023-12-01 09:18:22.354000,epark,2023-12-01 09:18:22.354000,2023-12-23 01:03:53.328000
