회사코드,회사명,본부코드,본부명,지부코드,지부명,지점코드,지점명,팀센터코드,팀센터명,귀속부서조직코드,귀속부서조직명,최초생성자ID,최초생성일시,최종갱신자ID,last_update_dtm,etl_dtm
T,회사,HJH009,본사직할,DIREC,중역실,DIREC,중역실,DIREC,중역실,DIREC,중역실,epark,2023-12-08 14:50:31.025000,epark,2023-12-08 14:50:31.025000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,HJH009,본사직할,HJH009,본사직할,HJH009,본사직할,HJH009,본사직할,epark,2023-12-08 14:50:31.018000,epark,2023-12-08 14:50:31.018000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,HJH010,본사부,HJH010,본사부,HJH010,본사부,HJH010,본사부,epark,2023-12-08 14:50:31.071000,epark,2023-12-08 14:50:31.071000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELAB,재무관리실,SELAB,재무관리실,SELAB,재무관리실,epark,2023-12-08 14:50:31.050000,epark,2023-12-08 14:50:31.050000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABA,회계팀,SELABA,회계팀,SELABA,회계팀,epark,2023-12-08 14:50:31.053000,epark,2023-12-08 14:50:31.053000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABB,*(구)관리회계팀,SELABB,*(구)관리회계팀,SELABB,*(구)관리회계팀,epark,2023-12-08 14:50:31.058000,epark,2023-12-08 14:50:31.058000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABF,재무팀,SELABF,재무팀,SELABF,재무팀,epark,2023-12-08 14:50:31.051000,epark,2023-12-08 14:50:31.051000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABF,재무팀,SELABFI,보험관리그룹,SELABFI,보험관리그룹,epark,2023-12-08 14:50:31.052000,epark,2023-12-08 14:50:31.052000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABI,비용심사팀,SELABI,비용심사팀,SELABI,비용심사팀,epark,2023-12-08 14:50:31.055000,epark,2023-12-08 14:50:31.055000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABM,내부회계관리팀,SELABM,내부회계관리팀,SELABM,내부회계관리팀,epark,2023-12-08 14:50:31.056000,epark,2023-12-08 14:50:31.056000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABO,해외재무관리팀,SELABO,해외재무관리팀,SELABO,해외재무관리팀,epark,2023-12-08 14:50:31.057000,epark,2023-12-08 14:50:31.057000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELABR,수입관리팀,SELABR,수입관리팀,SELABR,수입관리팀,epark,2023-12-08 14:50:31.054000,epark,2023-12-08 14:50:31.054000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELAB,재무관리실,SELXER,*(구)ERP TF팀,SELXER,*(구)ERP TF팀,SELXER,*(구)ERP TF팀,epark,2023-12-08 14:50:31.058000,epark,2023-12-08 14:50:31.058000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBI,감사실,SELBI,감사실,SELBI,감사실,SELBI,감사실,epark,2023-12-08 14:50:31.026000,epark,2023-12-08 14:50:31.026000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBI,감사실,SELBII,*(구)감사팀,SELBII,*(구)감사팀,SELBII,*(구)감사팀,epark,2023-12-08 14:50:31.028000,epark,2023-12-08 14:50:31.028000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBI,감사실,SELBII,*(구)감사팀,SELBIIM,*(구)모니터링그룹,SELBIIM,*(구)모니터링그룹,epark,2023-12-08 14:50:31.029000,epark,2023-12-08 14:50:31.029000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBI,감사실,SELBIR,감사1팀,SELBIR,감사1팀,SELBIR,감사1팀,epark,2023-12-08 14:50:31.026000,epark,2023-12-08 14:50:31.026000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBI,감사실,SELBIS,감사2팀,SELBIS,감사2팀,SELBIS,감사2팀,epark,2023-12-08 14:50:31.027000,epark,2023-12-08 14:50:31.027000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBP,경영기획실,SELBP,경영기획실,SELBP,경영기획실,SELBP,경영기획실,epark,2023-12-08 14:50:31.030000,epark,2023-12-08 14:50:31.030000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBP,경영기획실,SELBPI,경영개선팀,SELBPI,경영개선팀,SELBPI,경영개선팀,epark,2023-12-08 14:50:31.032000,epark,2023-12-08 14:50:31.032000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBP,경영기획실,SELBPM,경영관리팀,SELBPM,경영관리팀,SELBPM,경영관리팀,epark,2023-12-08 14:50:31.033000,epark,2023-12-08 14:50:31.033000,2023-12-23 01:12:00.070000
T,회사,HJH009,본사직할,SELBP,경영기획실,SELBPM,경영관리팀,SELBPMG,녹색환경그룹,SELBPMG,녹색환경그룹,epark,2023-12-08 14:50:31.033000,epark,2023-12-08 14:50:31.033000,2023-12-23 01:12:00.070000
