귀속부서조직코드,귀속부서조직명,조직LEVEL코드,지점코드,지점명,지점LEVEL코드,지부코드,지부명,지부LEVEL코드,본부코드,본부명,본부LEVEL코드,본부명_Org,조직계층단계
KUMSD,구미지점,2,KUMSD,구미지점,2,KUMSD,구미지점,2,SELDL,물류,1,물류사업본부,3
SELLE,E&S사업부,2,SELLE,E&S사업부,2,SELLE,E&S사업부,2,SELDL,물류,1,물류사업본부,3
SJGSL,세종지점,2,SJGSL,세종지점,2,SJGSL,세종지점,2,SELDL,물류,1,물류사업본부,3
KPOSO,포항구도일주유영업소,3,KPOSO,포항구도일주유영업소,3,KPOSD,영남지점,2,SELDL,물류,1,물류사업본부,4
SELLW,W&D사업부,2,SELLW,W&D사업부,2,SELLW,W&D사업부,2,SELDL,물류,1,물류사업본부,3
SELLEE,(구)에너지사업팀,,SELLEE,(구)에너지사업팀,,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
CHWKL,창원물류센터,3,CHWKL,창원물류센터,3,PUSSL,부산지점,2,SELDL,물류,1,물류사업본부,4
PUSSL,부산지점,2,PUSSL,부산지점,2,PUSSL,부산지점,2,SELDL,물류,1,물류사업본부,3
KANSLS,전남지점 물류영업팀,3,KANSLS,전남지점 물류영업팀,3,KANSL,전남지점,2,SELDL,물류,1,물류사업본부,4
SELLRS,P&D영업팀,,SELLRS,P&D영업팀,,SELLR,P&D사업부,2,SELDL,물류,1,물류사업본부,4
GMSSO,김포공항제2주유영업소,3,GMSSO,김포공항제2주유영업소,3,JCNSL,경인지점,2,SELDL,물류,1,물류사업본부,4
SELLOS,유류영업팀,3,SELLOS,유류영업팀,3,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
CJUSD,제주지점,2,CJUSD,제주지점,2,CJUSD,제주지점,2,SELDL,물류,1,물류사업본부,3
BUGSLM,부곡지점 정비팀,3,BUGSLM,부곡지점 정비팀,3,BUGSL,부곡지점,2,SELDL,물류,1,물류사업본부,4
SELLRM,정비사업팀,,SELLRM,정비사업팀,,SELLR,P&D사업부,2,SELDL,물류,1,물류사업본부,4
PUSSLT,부산지점 물류운송팀,,PUSSLT,부산지점 물류운송팀,,PUSSL,부산지점,2,SELDL,물류,1,물류사업본부,4
PTKSLT,중부지점 물류운송팀,,PTKSLT,중부지점 물류운송팀,,PTKSL,중부지점,2,SELDL,물류,1,물류사업본부,4
SELLRA,P&D영업1팀,,SELLRA,P&D영업1팀,,SELLR,P&D사업부,2,SELDL,물류,1,물류사업본부,4
SELLMOP,한진파이오니어호,,SELLMOP,한진파이오니어호,,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
KPOSD,영남지점,2,KPOSD,영남지점,2,KPOSD,영남지점,2,SELDL,물류,1,물류사업본부,3
SELLOO,운영지원팀,,SELLOO,운영지원팀,,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
SELLPO,해외물류사업개발팀,,SELLPO,해외물류사업개발팀,,SELLP,물류기획부,2,SELDL,물류,1,물류사업본부,4
SELLPY,물류안전팀,,SELLPY,물류안전팀,,SELLP,물류기획부,2,SELDL,물류,1,물류사업본부,4
JCNTO,인천터미널주유영업소,3,JCNTO,인천터미널주유영업소,3,JCNSL,경인지점,2,SELDL,물류,1,물류사업본부,4
PTKSL,중부지점,2,PTKSL,중부지점,2,PTKSL,중부지점,2,SELDL,물류,1,물류사업본부,3
SELLME,에너지사업팀,3,SELLME,에너지사업팀,3,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
SELLWS,W&D영업팀,,SELLWS,W&D영업팀,,SELLW,W&D사업부,2,SELDL,물류,1,물류사업본부,4
PUSSLS,부산지점 물류영업팀,3,PUSSLS,부산지점 물류영업팀,3,PUSSL,부산지점,2,SELDL,물류,1,물류사업본부,4
SELLRSG,P&D제안영업그룹,,SELLRSG,P&D제안영업그룹,,SELLR,P&D사업부,2,SELDL,물류,1,물류사업본부,4
SELLMON,한진청정누리호,,SELLMON,한진청정누리호,,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
KANSLT,전남지점 물류운송팀,,KANSLT,전남지점 물류운송팀,,KANSL,전남지점,2,SELDL,물류,1,물류사업본부,4
SELLPM,물류사업지원팀,,SELLPM,물류사업지원팀,,SELLP,물류기획부,2,SELDL,물류,1,물류사업본부,4
USNKL,울산물류센터,,USNKL,울산물류센터,,USNSD,울산지점,2,SELDL,물류,1,물류사업본부,4
SELLMO,해운사업팀,3,SELLMO,해운사업팀,3,SELLM,해운에너지사업부,2,SELDL,물류,1,물류사업본부,4
