배부계정GROUP코드,계정코드,정렬순서,사용여부,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
AG_5200,528111,470,Y,kimin,2021-02-09 17:59:22.358000,kimin,2021-02-09 17:59:22.358000,2023-12-23 01:07:21.443000
AG_5200,521213,140,Y,kimin,2021-02-09 17:59:22.219000,kimin,2021-02-09 17:59:22.219000,2023-12-23 01:07:21.443000
AG_4200,423111,670,Y,kimin,2021-02-09 17:59:22.426000,kimin,2021-02-09 17:59:22.426000,2023-12-23 01:07:21.443000
AG_4200,421142,635,Y,epark,2021-04-14 11:38:37.362000,epark,2021-04-14 11:38:37.362000,2023-12-23 01:07:21.443000
AG_5200,525114,260,Y,kimin,2021-02-09 17:59:22.269000,kimin,2021-02-09 17:59:22.269000,2023-12-23 01:07:21.443000
AG_5200,525111,230,Y,kimin,2021-02-09 17:59:22.257000,kimin,2021-02-09 17:59:22.257000,2023-12-23 01:07:21.443000
AG_5200,525113,250,Y,kimin,2021-02-09 17:59:22.266000,kimin,2021-02-09 17:59:22.266000,2023-12-23 01:07:21.443000
AG_5200,525134,360,Y,kimin,2021-02-09 17:59:22.314000,kimin,2021-02-09 17:59:22.314000,2023-12-23 01:07:21.443000
AG_4200,421121,610,Y,kimin,2021-02-09 17:59:22.406000,kimin,2021-02-09 17:59:22.406000,2023-12-23 01:07:21.443000
AG_4200,421131,630,Y,kimin,2021-02-09 17:59:22.413000,kimin,2021-02-09 17:59:22.413000,2023-12-23 01:07:21.443000
AG_4200,425111,840,Y,kimin,2021-02-09 17:59:22.484000,kimin,2021-02-09 17:59:22.484000,2023-12-23 01:07:21.443000
AG_4200,423132,770,Y,kimin,2021-02-09 17:59:22.457000,kimin,2021-02-09 17:59:22.457000,2023-12-23 01:07:21.443000
AG_5200,521215,160,Y,kimin,2021-02-09 17:59:22.227000,kimin,2021-02-09 17:59:22.227000,2023-12-23 01:07:21.443000
AG_4200,421119,600,Y,kimin,2021-02-09 17:59:22.402000,kimin,2021-02-09 17:59:22.402000,2023-12-23 01:07:21.443000
AG_4200,423142,810,Y,kimin,2021-02-09 17:59:22.472000,kimin,2021-02-09 17:59:22.472000,2023-12-23 01:07:21.443000
AG_4200,423134,790,Y,kimin,2021-02-09 17:59:22.464000,kimin,2021-02-09 17:59:22.464000,2023-12-23 01:07:21.443000
AG_4200,425141,870,Y,kimin,2021-02-09 17:59:22.495000,kimin,2021-02-09 17:59:22.495000,2023-12-23 01:07:21.443000
AG_5200,524111,210,Y,kimin,2021-02-09 17:59:22.249000,kimin,2021-02-09 17:59:22.249000,2023-12-23 01:07:21.443000
AG_5200,525122,300,Y,kimin,2021-02-09 17:59:22.288000,kimin,2021-02-09 17:59:22.288000,2023-12-23 01:07:21.443000
AG_5200,525141,370,Y,kimin,2021-02-09 17:59:22.318000,kimin,2021-02-09 17:59:22.318000,2023-12-23 01:07:21.443000
AG_4200,423141,800,Y,kimin,2021-02-09 17:59:22.468000,kimin,2021-02-09 17:59:22.468000,2023-12-23 01:07:21.443000
AG_4200,423144,830,Y,kimin,2021-02-09 17:59:22.480000,kimin,2021-02-09 17:59:22.480000,2023-12-23 01:07:21.443000
AG_5200,521111,50,Y,kimin,2021-02-09 17:59:22.186000,kimin,2021-02-09 17:59:22.186000,2023-12-23 01:07:21.443000
AG_5200,528161,520,Y,kimin,2021-02-09 17:59:22.374000,kimin,2021-02-09 17:59:22.374000,2023-12-23 01:07:21.443000
AG_5200,525123,310,Y,kimin,2021-02-09 17:59:22.291000,kimin,2021-02-09 17:59:22.291000,2023-12-23 01:07:21.443000
AG_5200,521121,80,Y,kimin,2021-02-09 17:59:22.197000,kimin,2021-02-09 17:59:22.197000,2023-12-23 01:07:21.443000
AG_4200,425131,860,Y,kimin,2021-02-09 17:59:22.491000,kimin,2021-02-09 17:59:22.491000,2023-12-23 01:07:21.443000
AG_5200,521231,200,Y,kimin,2021-02-09 17:59:22.246000,kimin,2021-02-09 17:59:22.246000,2023-12-23 01:07:21.443000
AG_5200,521212,130,Y,kimin,2021-02-09 17:59:22.216000,kimin,2021-02-09 17:59:22.216000,2023-12-23 01:07:21.443000
AG_5200,522112,430,Y,kimin,2021-02-09 17:59:22.344000,kimin,2021-02-09 17:59:22.344000,2023-12-23 01:07:21.443000
AG_5200,525119,280,Y,kimin,2021-02-09 17:59:22.278000,kimin,2021-02-09 17:59:22.278000,2023-12-23 01:07:21.443000
AG_5130,513031,30,Y,kimin,2021-02-09 17:59:22.178000,kimin,2021-02-09 17:59:22.178000,2023-12-23 01:07:21.443000
AG_5200,521214,150,Y,kimin,2021-02-09 17:59:22.223000,kimin,2021-02-09 17:59:22.223000,2023-12-23 01:07:21.443000
AG_4200,421114,590,Y,kimin,2021-02-09 17:59:22.398000,kimin,2021-02-09 17:59:22.398000,2023-12-23 01:07:21.443000
AG_4200,423124,750,Y,kimin,2021-02-09 17:59:22.451000,kimin,2021-02-09 17:59:22.451000,2023-12-23 01:07:21.443000
AG_5200,577111,530,Y,kimin,2021-02-09 17:59:22.378000,kimin,2021-02-09 17:59:22.378000,2023-12-23 01:07:21.443000
AG_5200,525151,410,Y,kimin,2021-02-09 17:59:22.335000,kimin,2021-02-09 17:59:22.335000,2023-12-23 01:07:21.443000
AG_5200,525142,380,Y,kimin,2021-02-09 17:59:22.322000,kimin,2021-02-09 17:59:22.322000,2023-12-23 01:07:21.443000
