사업자등록번호,고객명,법인번호,고객구분코드,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
5022931335,카페유나,,1,bumskim,20:06.8,bumskim,20:06.8,03:22.3
1218154307,대조건설,,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
1386200297,블랙키트(Blackkit),,1,bumskim,41:12.7,bumskim,41:12.7,03:22.3
7293301210,백탄소,,1,bumskim,56:32.4,bumskim,56:32.4,03:22.3
1408166202,지에스인터내셔널1,1355110000000,1,test,00:28.7,test,00:28.7,03:22.3
2031751197,티위,,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
2760502385,에스케이(SK),,1,bumskim,56:32.3,bumskim,56:32.3,03:22.3
1083801567,아기코알라,,1,epark,45:13.8,epark,45:13.8,03:22.3
3130451932,대호상사한진,,1,ADMIN,40:03.9,test,00:28.8,03:22.3
6158187297,비엔테크,,1,hanjin,04:06.6,hanjin,04:06.6,03:22.3
1018134971,미술세계,,1,ADMIN,40:03.7,ADMIN,40:03.7,03:22.3
1420918414,꽃놀이,,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
1411701477,잠뱅이6,,1,gbchoi,22:24.9,gbchoi,22:24.9,03:22.3
3813001069,이현장 시원한쿠키,,1,kimin,59:49.5,kimin,59:49.5,03:22.3
7018101154,투데이로지스,,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
7020700236,라파클럽,,1,epark,45:14.0,epark,45:14.0,03:22.3
6099049102,이명림조각연구소,,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
4908802363,파동상회,1717110000000,1,hanjin,31:27.5,hanjin,31:27.5,03:22.3
5643800171,애터미대전월평센터,,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
6238500358,랜스글로벌 김포지점,1351110000000,1,epark,45:14.0,epark,45:14.0,03:22.3
1148630087,샛별전산서비스,1101110000000,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
2218701077,미건통상,,1,ADMIN,40:03.9,ADMIN,40:03.9,03:22.3
6448800754,부산와인스쿨,1801110000000,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
6092506463,세아네키핑다육,,1,gbchoi,11:14.7,gbchoi,11:14.7,03:22.3
3127100053,도도펫,,1,ADMIN,40:03.9,ADMIN,40:03.9,03:22.3
1972700941,서경진,6901150000000,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
2068658555,제룡산업,,1,kimin,59:49.5,kimin,59:49.5,03:22.3
5269700384,꽃다비원예종묘,,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
1238610708,나노젠,1351110000000,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
5986200261,오도르1,,1,hanjin,04:06.6,hanjin,04:06.6,03:22.3
7770701433,리틀닷,,1,bumskim,41:12.9,bumskim,41:12.9,03:22.3
7821100146,엘제이씨,,1,ADMIN,40:04.0,ADMIN,40:04.0,03:22.3
1303965473,경일기업,,1,ADMIN,40:03.8,ADMIN,40:03.8,03:22.3
