관리회계분류공통코드,관리회계공통코드,관리회계공통코드명,관리회계공통코드설명,제1속성값,제2속성값,제3속성값,제4속성값,정렬순서,사용여부,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
BUSINESS_TYPE_CD,TYPE2,TYPE2,,,,,,20,Y,hanjin,2020-11-11 09:36:38.749000,hanjin,2020-11-11 09:36:46.390000,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,0000,공통,,,,,,1,Y,,,,,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511641,재해보험,,"511131,511421,511431,511491",511151,,,30,Y,,,hanjin,2021-02-08 15:24:25.345000,2023-12-23 01:05:13.832000
CUSTOMER_SLIP_TYPE_CD,AR,수입,고객원가마스터 전표 번호 구분코드,,,,,10,Y,admin,2020-11-24 11:12:31.903000,admin,2020-11-24 11:12:31.903000,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7400,본사판매비,,5400,,,,50,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C430_1,국제특송_KG(매출),608,,,,,81,Y,,,,,2023-12-23 01:05:13.832000
TARGET_ORG_GROUP_TYPE_CD,TERMINAL,터미널(모선),,N,Y,,,30,Y,,,,,2023-12-23 01:05:13.832000
ALLOCATE_SOURCE_TYPE_CD,SOURCE_TYPE_2,상위사업,,,,,,20,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1103,(이자비용)보증금,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,120,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
ALLOCATE_FACTOR_SUBACCOUNT_CD,SUBACCOUNT_CD,"배부기준 생성시 2,3차 SUBACCOUNT",,"5100,5200,5400,5500",5300,,,10,Y,,,,,2023-12-23 01:05:13.832000
ALLOCATE_SOURCE_TYPE_CD,SOURCE_TYPE_4,상위사업(특정고객배부제외),,,,,,40,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7160,직접고정비,,5100,,,,20,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1102,(이자비용)매출채권 잔액,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,110,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C430_3,국제특송_운송장건수(매출),608,,,,,83,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SLIP_TYPE_CD,CO,비용(소사업_배부),고객원가마스터 전표 번호 구분코드,,,,,20,Y,admin,2020-11-24 11:12:31.903000,admin,2020-11-24 11:12:31.903000,2023-12-23 01:05:13.832000
CORPORATION_MAP_TYPE_CD,U,등록,,,,,,20,Y,hanjin,2020-12-16 09:28:48.603000,hanjin,2020-12-16 09:28:48.603000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1050,안전/보안 사고발생 실적(건수),Factor업로드후(조직별 대사업별) 매출액기준 소사업으로 배부,,UPLOAD,,,50,N,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C408,"정비_시간, 매몰시간",610,,,,UPLOAD,10,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C901,매출,,,,,,1,Y,,,,,2023-12-23 01:05:13.832000
ALLOCATE_SOURCE_TYPE_CD,SOURCE_TYPE_1,직접귀속배부처제외(말단계정),,,,,,10,Y,,,,,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5600,관리비,,판매관리비,간접비,,,60,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C604,"창고_L/F, 매몰L/F",604,평,604,,UPLOAD,40,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_COST_TYPE_CD,COST_1,직접변동비,5100 중 사업별계정이 변동비,,,,,10,Y,,,,,2023-12-23 01:05:13.832000
ACTN_ALLOCATE_TYPE_CD,FAIL,미배부,실패,,,,,20,Y,hanjin,2020-12-15 19:01:26.496000,hanjin,2020-12-16 09:06:09.366000,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511651,고용보험,,"511131,511421,511431,511491",511151,,,40,Y,,,hanjin,2021-02-08 15:24:25.349000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1060,사무직인원수,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,60,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
USER_VIEW_ROLE_CD,BIZ,사업,,,,,,30,Y,hanjin,2020-11-26 09:15:32.610000,hanjin,2020-11-26 09:16:19.395000,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7600,관리비,,5600,,,,70,Y,,,,,2023-12-23 01:05:13.832000
VERSION_CD,S01,시뮬레이션,,,,,,20,Y,,,,,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511131A,임금인상충당금,,511131,,,,50,Y,,,,,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5400,본사판매비,,판매관리비,간접비,,,40,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1011,매출액_유류제외,"계정코드가 41% 인것(조직별, 소사업별)_유류제외",,,"150,151,152,188,189,190",매출,11,Y,epark,2023-01-13 16:18:07.092000,hanjin,2023-12-05 17:46:36.211000,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5500,지점판매비,,판매관리비,간접비,,,50,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7200,본사직접비,,5200,,,,30,Y,,,,,2023-12-23 01:05:13.832000
BUSINESS_TYPE_CD,TYPE1,TYPE1,,,,,,10,Y,hanjin,2020-11-11 09:36:38.740000,hanjin,2020-11-11 09:36:38.740000,2023-12-23 01:05:13.832000
SEARCH_PERIOD_CD,ACCUM,누적,,,,,,20,Y,hanjin,2020-12-14 14:10:40.237000,hanjin,2020-12-14 14:10:51.000000,2023-12-23 01:05:13.832000
CUSTOMER_COST_TYPE_CD,COST_3,본사직접비,5200,,,,,30,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SLIP_TYPE_CD,FR,비용(소사업_직접),고객원가마스터 전표 번호 구분코드,,,,,30,Y,admin,2020-11-24 11:12:31.903000,admin,2020-11-24 11:12:31.903000,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7500,지점판매비,,5500,,,,60,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,INT,지급이자,지급이자,INT,,,,50,Y,admin,2020-11-11 10:38:03.452000,admin,2020-11-11 10:38:03.452000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1104,(이자비용)매도가능증권,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,130,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
ACTN_CUST_ALLOCATE_TYPE_CD,S,미배부건,미배부건,,,,,10,Y,hanjin,2020-12-15 19:01:26.496000,hanjin,2020-12-16 09:06:09.366000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C608,국제특송_매출,608,,,,UPLOAD,84,N,,,,,2023-12-23 01:05:13.832000
VERSION_CD,S00,실적원가,,,,,,10,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,UAP,미결전표,미결전표,FI,,,,20,Y,admin,2020-11-11 10:38:03.426000,admin,2020-11-11 10:38:03.426000,2023-12-23 01:05:13.832000
ALLOCATE_SOURCE_TYPE_CD,SOURCE_TYPE_5,특정고객배부제외,,,,,,50,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1106,(이자비용)영업비용비율,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,150,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
AMOUNT_UNIT,1000000,백만원,,,,,,,Y,hanjin,2020-12-07 13:15:28.525000,hanjin,2020-12-07 13:15:28.525000,2023-12-23 01:05:13.832000
SORT_OPTION,DESC,내림차순,,,,,,10,Y,hanjin,2020-12-07 13:18:21.539000,hanjin,2020-12-08 14:45:28.310000,2023-12-23 01:05:13.832000
CUSTOMER_SEARCH_OPTION,CUSTOMER_BIZ_RGSTN_NO,사업자번호,,,,,,,Y,hanjin,2020-12-07 17:15:34.390000,hanjin,2020-12-07 17:15:34.390000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C430_2,국제특송_박스(매출),608,,,,,82,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SEARCH_OPTION,CORPORATION_NO,법인번호,,,,,,,Y,hanjin,2020-12-07 17:15:34.397000,hanjin,2020-12-07 17:15:34.397000,2023-12-23 01:05:13.832000
REPORT_SEARCH_POV,DIRECT_POSSESSION_EXPENSE_AMT,직접귀속비용,,,,,,50,Y,hanjin,2020-12-08 14:44:04.491000,hanjin,2020-12-08 14:44:04.491000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C422,택배_B2C_물량(매출),606,BOX,"606,422","606,422",,60,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,UNL,하역,하역직접귀속비용,UNL,,,,50,Y,,,kcho,2023-05-31 10:57:11.441000,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511511,퇴직급여충담금,,"511131,511421,511431,511491",511151,,,20,Y,,,hanjin,2021-02-08 15:24:25.341000,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5300,지점공통비,,매출원가,간접비,,,30,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,SLP,엑셀Upload,엑셀SLIP,USER,CUST,,,40,Y,admin,2020-11-11 10:38:03.441000,kcho,2023-05-31 10:56:05.082000,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,LAG,Legacy,Legacy IF,LAG,CUST,,,60,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,ERP,전표관리 시스템,재무ERP_GL,FI,CUST,,,10,Y,admin,2020-11-11 10:38:03.420000,kcho,2023-05-31 10:56:05.079000,2023-12-23 01:05:13.832000
REPORT_SEARCH_POV,OPERATING_REVENUE_AMOUNT,영업수익,,ACCUM,DIF,TOP,,10,Y,hanjin,2020-12-08 14:44:04.491000,hanjin,2020-12-23 12:48:25.999000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1030,투자활동,"(조직별, 소사업별), 2,3단계 추가배부필요",ALLOCATE,,"188,189,190",,30,Y,epark,2023-01-13 16:18:07.092000,hanjin,2023-12-05 18:04:21.864000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C601,육운_일반_기타변동비배부,601,,,,,11,Y,,,,,2023-12-23 01:05:13.832000
CALC_ACCOUNT_CD,급여,급여 계정,,511131,,,,10,N,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C424,"택배_창고_L/F, 매몰L/F",606,평,"606,424",,UPLOAD,64,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C602_2,하역_작업시간 점유비,602,,,,,21,N,,,,,2023-12-23 01:05:13.832000
SORT_OPTION,ASC,오름차순,,,,,,20,Y,hanjin,2020-12-07 13:18:21.534000,hanjin,2020-12-08 14:45:28.302000,2023-12-23 01:05:13.832000
CUSTOMER_COST_TYPE_CD,COST_2,직접고정비,5100 중 사업별계정이 고정비,,,,,20,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7300,지점공통비,,5300,,,,40,Y,,,,,2023-12-23 01:05:13.832000
TARGET_ORG_GROUP_TYPE_CD,SUB_ORG,하위조직,,Y,N,,,20,Y,,,,,2023-12-23 01:05:13.832000
SEARCH_PERIOD_CD,CURR,당월,,,,,,10,Y,hanjin,2020-12-14 14:10:40.234000,hanjin,2020-12-14 14:10:51.005000,2023-12-23 01:05:13.832000
REPORT_SEARCH_POV,OPERATING_PROFIT_AMOUNT,영업이익,,ACCUM,DIF,TOP,,40,Y,hanjin,2020-12-08 14:44:04.491000,hanjin,2020-12-23 12:48:25.993000,2023-12-23 01:05:13.832000
CUSTOMER_SLIP_TYPE_CD,AP,비용(고객귀속비용),고객원가마스터 전표 번호 구분코드,,,,,50,Y,admin,2020-11-24 11:12:31.903000,admin,2020-11-24 11:12:31.903000,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511131B,임원업적급,,511131,,,,60,Y,,,,,2023-12-23 01:05:13.832000
ACTN_CUST_ALLOCATE_TYPE_CD,SOE,직접귀속건,직접귀속건,,,,,30,Y,hanjin,2020-12-15 19:01:26.496000,hanjin,2020-12-16 09:06:09.366000,2023-12-23 01:05:13.832000
ACTN_ALLOCATE_TYPE_CD,PASS,배부완료,성공,,,,,10,Y,hanjin,2020-12-15 19:01:26.490000,hanjin,2020-12-16 09:06:09.371000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_0000,배부기준계산판단용,배부규칙에서 실제배부가 아닌 배부기준을 생성시 판단하는 용도,,,,,5,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,0000,공통,,0000,,,,1,Y,,,,,2023-12-23 01:05:13.832000
USER_VIEW_ROLE_CD,ALL,전체,,,,,,10,Y,hanjin,2020-11-26 09:15:32.598000,hanjin,2020-11-26 09:15:32.598000,2023-12-23 01:05:13.832000
CALC_ACCOUNT_CD,제수당,제수당 계정,,"511411,511421,511431,511491",,,,30,N,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C602_1,"하역_모선, 고객별 매출비율",602,,,,,20,N,,,,,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5100,직접비,,매출원가,"변동비,고정비",,,10,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SEARCH_OPTION,DESCRIPTION,명칭,,,,,,,Y,hanjin,2020-12-07 17:15:34.404000,hanjin,2020-12-07 17:15:34.404000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1105,(이자비용)선급금,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,140,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511151,상여금,,511131,,,,10,Y,,,,,2023-12-23 01:05:13.832000
SUBACCOUNT_CD,5200,본사직접비,,매출원가,본사직접비,,,20,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1040,택배물량,택배수입물량업로드 (조직별 중사업별),,,,매출,40,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
ACTN_CUST_ALLOCATE_TYPE_CD,SE,배부건,배부건,,,,,20,Y,hanjin,2020-12-15 19:01:26.496000,hanjin,2020-12-16 09:06:09.366000,2023-12-23 01:05:13.832000
AMOUNT_UNIT,1,원,,,,,,,Y,hanjin,2020-12-07 13:15:28.521000,hanjin,2020-12-07 13:15:28.521000,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,LAB,급여,인건비,HR,,,,30,Y,admin,2020-11-11 10:38:03.434000,admin,2020-11-11 10:38:03.434000,2023-12-23 01:05:13.832000
CUSTOMER_SUBACCOUNT_CD,7110,직접변동비,,5100,,,,10,Y,,,,,2023-12-23 01:05:13.832000
CALC_LABOR_ACCOUNT_CD,511131C,직원업적급,,511131,,,,70,Y,,,,,2023-12-23 01:05:13.832000
REPORT_SEARCH_POV,DIRECT_COST_DEDUCE_PROFIT_AMT,직접비 차감이익,,,,TOP,,30,Y,hanjin,2020-12-08 14:44:04.491000,hanjin,2020-12-23 12:48:25.977000,2023-12-23 01:05:13.832000
AMOUNT_UNIT,100000000,억원,,,,,,,Y,hanjin,2020-12-07 13:15:28.528000,hanjin,2020-12-07 13:15:28.528000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1010,매출액,"계정코드가 41% 인것(조직별, 소사업별)",,,"188,189,190",매출,10,Y,epark,2023-01-13 16:18:07.092000,hanjin,2023-12-05 18:11:33.699000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1090,유류상품원가제외물류매출액,물류사업부 유류판매 상품원가 제외메출액,,,"188,189,190",매출,90,Y,epark,2023-01-13 16:18:07.092000,hanjin,2023-12-05 18:10:10.298000,2023-12-23 01:05:13.832000
CALC_INTEREST_ACCOUNT_CD,521191,지급이자,,장부가액,,,,10,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_COST_TYPE_CD,COST_4,간접비,"5300,5400,5500,5600",,,,,40,Y,,,,,2023-12-23 01:05:13.832000
DATA_CATEGORY_CD,PAR,택배,택배,PAR,,,,60,Y,admin,2020-11-11 10:38:03.460000,admin,2020-11-11 10:38:03.460000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C603,"해운_시간, 매몰시간",603,시간,603,,UPLOAD,30,Y,,,,,2023-12-23 01:05:13.832000
CUSTOMER_SLIP_TYPE_CD,UN,비용(소사업_직접(하역/특송),고객원가마스터 전표 번호 구분코드,,,,,40,Y,admin,2020-11-24 11:12:31.903000,admin,2020-11-24 11:12:31.903000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C425,"택배_3PL_L/F, 매몰L/F",606,평,"606,424",,UPLOAD,65,Y,,,,,2023-12-23 01:05:13.832000
ALLOCATE_SOURCE_TYPE_CD,SOURCE_TYPE_3,말단계정,,,,,,30,Y,,,,,2023-12-23 01:05:13.832000
USER_VIEW_ROLE_CD,ORG,조직,,,,,,20,Y,hanjin,2020-11-26 09:15:32.606000,hanjin,2020-11-26 09:15:32.606000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C422_1,택배_B2C_조업료,606,,,,,61,Y,,,,,2023-12-23 01:05:13.832000
TARGET_ORG_GROUP_TYPE_CD,NO_ORG,조직구분안함,,Y,Y,,,10,Y,,,,,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1070,전산업무대행도급비,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,70,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
MNG_ACTN_ALLOCATE_FACTOR_CD,HJ_1101,(이자비용)유형자산 장부가액,Factor화면업로드후(대사업별) 매출액기준 조직별 소사업으로 배부,,UPLOAD,,,100,Y,epark,2023-01-13 16:18:07.092000,epark,2023-01-13 16:18:07.092000,2023-12-23 01:05:13.832000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,HJ_C602,하역,602,,,,,22,N,,,,,2023-12-23 01:05:13.832000
CORPORATION_MAP_TYPE_CD,R,미등록,,,,,,10,Y,hanjin,2020-12-16 09:28:48.607000,hanjin,2020-12-16 09:28:48.607000,2023-12-23 01:05:13.832000
CALC_ACCOUNT_CD,상여금,상여금 계정,,511151,,,,20,N,,,,,2023-12-23 01:05:13.832000
