관리회계분류공통코드,분류공통코드명,사용여부,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
CALC_LABOR_ACCOUNT_CD,배부가필요한 월할계정,Y,,,,,2023-12-23 01:05:00.165000
CUSTOMER_SLIP_TYPE_CD,고객원가마스터 전표유형코드,Y,ADMIN,2020-11-24 11:05:04.287000,admin,2020-11-24 11:05:04.287000,2023-12-23 01:05:00.165000
MNG_ACTN_ALLOCATE_FACTOR_CD,배부기준코드,Y,,,,,2023-12-23 01:05:00.165000
SORT_OPTION,정렬순서,Y,hanjin,2020-12-07 13:14:04.954000,hanjin,2020-12-07 13:14:04.954000,2023-12-23 01:05:00.165000
VERSION_CD,버젼코드,Y,,,,,2023-12-23 01:05:00.165000
ALLOCATE_FACTOR_SUBACCOUNT_CD,배부기준SUB계정코드,Y,,,,,2023-12-23 01:05:00.165000
SUBACCOUNT_CD,SUB계정코드,Y,,,,,2023-12-23 01:05:00.165000
TARGET_ORG_GROUP_TYPE_CD,배부처그룹유형코드,Y,,,,,2023-12-23 01:05:00.165000
ACTN_CUST_ALLOCATE_TYPE_CD,고객배부결과,Y,hanjin,2020-12-15 19:00:54.424000,hanjin,2020-12-15 19:00:54.424000,2023-12-23 01:05:00.165000
USER_VIEW_ROLE_CD,보기권한코드,Y,hanjin,2020-11-26 09:14:49.441000,hanjin,2020-11-26 09:14:49.441000,2023-12-23 01:05:00.165000
ACTN_ALLOCATE_TYPE_CD,배부결과,Y,hanjin,2020-12-15 19:00:54.424000,hanjin,2020-12-15 19:00:54.424000,2023-12-23 01:05:00.165000
REPORT_SEARCH_POV,조회기준,Y,hanjin,2020-12-07 13:13:25.464000,hanjin,2020-12-07 13:13:25.464000,2023-12-23 01:05:00.165000
MNG_ACTN_CUST_ALLOCATE_FACTOR_BIZ_CD,고객배부기준코드 대사업 매핑,Y,,,,,2023-12-23 01:05:00.165000
CORPORATION_MAP_TYPE_CD,법인등록구분 코드,Y,hanjin,2020-12-16 09:27:44.411000,hanjin,2020-12-16 09:27:44.411000,2023-12-23 01:05:00.165000
AMOUNT_UNIT,금액단위,Y,hanjin,2020-12-07 13:12:55.449000,hanjin,2020-12-07 13:13:25.460000,2023-12-23 01:05:00.165000
DATA_CATEGORY_CD,데이터구분 코드,Y,admin,2020-11-11 10:38:45.049000,admin,2020-11-11 10:38:45.049000,2023-12-23 01:05:00.165000
FACTOR_CD,배부Factor코드,Y,ADMIN,2020-11-04 11:09:46.208000,admin,2020-11-04 11:09:46.208000,2023-12-23 01:05:00.165000
SEARCH_PERIOD_CD,조회기간,Y,hanjin,2020-12-14 14:07:59.503000,hanjin,2020-12-14 14:07:59.503000,2023-12-23 01:05:00.165000
MNG_ACTN_CUST_ALLOCATE_FACTOR_CD,고객배부기준코드,Y,,,,,2023-12-23 01:05:00.165000
CUSTOMER_COST_TYPE_CD,고객비용유형코드,Y,,,,,2023-12-23 01:05:00.165000
CALC_INTEREST_ACCOUNT_CD,지급이자 계정,Y,,,,,2023-12-23 01:05:00.165000
CUSTOMER_SUBACCOUNT_CD,고객SUB계정코드,Y,,,,,2023-12-23 01:05:00.165000
ALLOCATE_SOURCE_TYPE_CD,배부원유형코드,Y,,,,,2023-12-23 01:05:00.165000
CALC_ACCOUNT_CD,"상여금,퇴충금등 계산에 사용되는 계정",Y,,,,,2023-12-23 01:05:00.165000
CUSTOMER_SEARCH_OPTION,법인(사업자) 조회 조건 코드,Y,hanjin,2020-12-07 17:07:28.236000,hanjin,2020-12-07 17:07:28.236000,2023-12-23 01:05:00.165000
BUSINESS_TYPE_CD,사업유형코드,Y,hanjin,2020-11-11 09:36:14.866000,hanjin,2020-11-11 09:36:14.866000,2023-12-23 01:05:00.165000
