사업유형코드,사업코드,유효시작일자V,사업명,상위사업코드,사업LEVEL코드,유효종료일자V,정렬순서,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
TYPE2,901,20000101,전사업공통,,,99991231,2390,epark,18:22.5,epark,18:22.5,03:53.3
TYPE2,165,20000101,B2B,426,3,99991231,3850,epark,18:22.6,epark,18:22.6,03:53.3
TYPE1,000,20210217,공통,901,0,99991231,10,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,101,20000101,기타일반화물운송(자차),303,3,99991231,650,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,102,20000101,기타일반화물운송(용차),303,3,99991231,660,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,103,20000101,미군유류운송,401,3,99991231,670,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,172,20000101,육상운송,429,3,99991231,3920,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,501,20000101,P&D공통,701,1,99991231,2440,epark,18:22.5,epark,18:22.5,03:53.3
TYPE1,104,20000101,철제품하치장,401,3,99991231,680,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,105,20000101,중량물운송,307,3,99991231,1060,epark,18:22.4,epark,18:22.4,03:53.3
TYPE1,106,20000101,컨테이너운송(자차),402,3,99991231,690,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,107,20000101,컨테이너운송(용차),402,3,99991231,700,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,108,20000101,이마트,403,3,99991231,710,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,109,20000101,신세계,403,3,99991231,720,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,110,20000101,기타일반유통,403,3,99991231,730,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,111,20000101,철제품운송(자차),404,3,99991231,740,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,112,20000101,철제품운송(용차),404,3,99991231,750,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,510,20000101,터미널하역공통,508,2,99991231,2890,epark,18:22.5,epark,18:22.5,03:53.3
TYPE2,423,20000101,택배비네트워크사업공통,606,2,99991231,2920,epark,18:22.5,epark,18:22.5,03:53.3
TYPE2,158,20000101,서울남부택배창고,424,3,99991231,3760,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,138,20000101,내항용선,416,3,99991231,3540,epark,18:22.6,epark,18:22.6,03:53.3
TYPE1,113,20000101,철도운송,405,3,99991231,760,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,114,20000101,부곡CY,406,3,99991231,770,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,115,20000101,부곡CFS,406,3,99991231,780,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,116,20000101,양산CY,406,3,99991231,790,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,427,20000101,해상포워딩공통,607,2,99991231,2960,epark,18:22.5,epark,18:22.5,03:53.3
TYPE1,117,20000101,화물운송부대,407,3,99991231,800,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,118,20000101,외부정비,408,3,99991231,810,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,704,20000101,본사직할,901,0,99991231,2430,epark,18:22.5,epark,18:22.5,03:53.3
TYPE1,119,20000101,기타일반화물하역(자가),304,3,99991231,830,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,120,20000101,기타일반화물하역(위탁),304,3,99991231,840,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,121,20000101,철제품하역,409,3,99991231,850,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,175,20000101,특송창고,430,3,99991231,3970,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,129,20000101,적/대봉호,412,3,99991231,3450,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,187,20000101,항만법인경영지원,308,3,99991231,3220,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,106,20000101,컨테이너운송(자차),402,3,99991231,3360,epark,18:22.6,epark,18:22.6,03:53.3
TYPE2,416,20000101,용선공통,439,2,99991231,2740,epark,18:22.5,epark,18:22.5,03:53.3
TYPE1,122,20000101,원료하역,409,3,99991231,860,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,123,20000101,양곡하역,409,3,99991231,870,epark,18:22.3,epark,18:22.3,03:53.3
TYPE2,113,20000101,철도운송,402,3,99991231,3380,epark,18:22.6,epark,18:22.6,03:53.3
TYPE1,124,20000101,자동차하역(자가),410,3,99991231,880,epark,18:22.3,epark,18:22.3,03:53.3
TYPE1,125,20000101,자동차하역(위탁),410,3,99991231,890,epark,18:22.4,epark,18:22.4,03:53.3
TYPE1,126,20000101,PCTC,411,3,99991231,900,epark,18:22.4,epark,18:22.4,03:53.3
TYPE2,413,20000101,방폐물선공통,440,2,99991231,2710,epark,18:22.5,epark,18:22.5,03:53.3
TYPE1,127,20000101,PICT,411,3,99991231,910,epark,18:22.4,epark,18:22.4,03:53.3
TYPE2,605,20000101,에너지사업,611,1,99991231,2760,epark,18:22.5,epark,18:22.5,03:53.3
