부서조직코드,유효시작일자V,부서조직명,상위부서조직코드,조직LEVEL코드,조직유형코드,유효종료일자V,정렬순서,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
SELLME,20000101,(구)에너지사업팀,SELLM,,SELLOS,99991231,1350,epark,50:31.1,epark,50:31.1,12:00.1
SELIBB,20000101,(구)사업총괄팀,SELIB,,,20220731,890,epark,50:31.1,epark,50:31.1,12:00.1
SELPPF,20000101,시설관재팀,SELPP,,,99991231,810,epark,50:31.1,epark,50:31.1,12:00.1
PDXSO,20000101,포틀랜드사무소,LAXSL,,,99991231,3780,epark,50:31.4,epark,50:31.4,12:00.1
SENSET,20000101,(구)동부3PL팀,SESSE,3,,99991231,2960,epark,50:31.3,epark,50:31.3,12:00.1
SELAGY,20000101,(구)안전보안팀,SELOY,,,20220731,510,epark,50:31.1,epark,50:31.1,12:00.1
SELEIC,20000101,상생협력팀,SELEI,,,99991231,2540,epark,50:31.2,epark,50:31.2,12:00.1
SELEOOO,20000101,(구)당일택배그룹3,SELEOO,,,20230430,2360,epark,50:31.2,epark,50:31.2,12:00.1
JCNSLM,20000101,경인지점 정비팀,JCNSL,3,,99991231,1440,epark,50:31.1,epark,50:31.1,12:00.1
SELEOOL,20000101,LMD그룹,SELEOO,,,99991231,2270,epark,50:31.2,epark,50:31.2,12:00.1
SELLRP,20000101,항만물류팀,SELLR,,,99991231,1040,epark,50:31.1,epark,50:31.1,12:00.1
SELSG,20000101,(구)서울국제지점,SELGD,,,20220501,4090,epark,50:31.4,epark,50:31.4,12:00.1
SELLEO,20000101,유류사업팀,SELLM,,SELLOS,99991231,1390,epark,50:31.1,epark,50:31.1,12:00.1
SELGP,20000101,글로벌기획부,SELDG,,,99991231,3270,epark,50:31.3,epark,50:31.3,12:00.1
JPSSO,20000101,(구)증평제2주유영업소,SJGSL,,,20230831,1710,epark,50:31.2,epark,50:31.2,12:00.1
SELGEPS,20000101,(구)이커머스영업그룹,SELGEP,,,20221231,3450,epark,50:31.3,epark,50:31.3,12:00.1
KPOSDP,20000101,영남지점 항만물류팀,KPOSD,,KPOSDS,99991231,1760,epark,50:31.2,epark,50:31.2,12:00.1
KPOSDR,20000101,영남지점 원료하역팀,KPOSD,,KPOSDS,99991231,1770,epark,50:31.2,epark,50:31.2,12:00.1
CJUKL,20000101,제주물류센터,CJUSD,,CJUSDS,99991231,1930,epark,50:31.2,epark,50:31.2,12:00.1
BAEKE,20000101,B2B센터,BAESE,3,,99991231,3260,epark,50:31.3,epark,50:31.3,12:00.1
SWUKE,20000101,수원택배지점,SESSE,3,,99991231,2920,epark,50:31.3,epark,50:31.3,12:00.1
SELPPR,20000101,(구)부동산인프라팀,SELPP,,,20221231,820,epark,50:31.1,epark,50:31.1,12:00.1
SELLP,20000101,물류기획부,SELDL,2,,99991231,940,epark,50:31.1,epark,50:31.1,12:00.1
SELEKKG,20000101,GS홈쇼핑그룹,SELEKK,,,99991231,2190,epark,50:31.2,epark,50:31.2,12:00.1
SELAG,20000101,총무지원실,SELDS,,,99991231,710,epark,50:31.1,epark,50:31.1,12:00.1
JKTCG,20000101,인도네시아법인,SELGO,,,99991231,4040,epark,50:31.4,epark,50:31.4,12:00.1
SELLMOG,20000101,한진그린호,SELLM,,SELLMO,99991231,1230,epark,50:31.1,epark,50:31.1,12:00.1
KPOSDM,20000101,영남지점 정비팀,KPOSD,,KPOSDS,99991231,1780,epark,50:31.2,epark,50:31.2,12:00.1
SELEP,20000101,택배기획부,SELDE,2,,99991231,1990,epark,50:31.2,epark,50:31.2,12:00.1
SELLW,20000101,W&D사업부,SELDL,2,,99991231,1090,epark,50:31.1,epark,50:31.1,12:00.1
SELBIIM,20000101,(구)모니터링그룹,SELBII,,,20230630,130,epark,50:31.0,epark,50:31.0,12:00.1
SELDP,20000101,디지털플랫폼사업본부,T,1,,99991231,70,epark,50:31.0,epark,50:31.0,12:00.1
SELKFS,20000101,(구)K-패션 해외 진출 지원 솔루션팀,SELDPZ,,,20230430,4150,epark,50:31.4,epark,50:31.4,12:00.1
SELGOO,20000101,(구)해외법인지원팀,SELGP,,,20220731,3330,epark,50:31.3,epark,50:31.3,12:00.1
SELEPP,20000101,택배기획팀,SELEP,,,99991231,2000,epark,50:31.2,epark,50:31.2,12:00.1
SELLPM,20000101,물류사업지원팀,SELLP,,,99991231,960,epark,50:31.1,epark,50:31.1,12:00.1
KANSLS,20000101,전남지점 물류영업팀,KANSL,3,,99991231,1850,epark,50:31.2,epark,50:31.2,12:00.1
SELFSXI,20000101,(구)정보보안그룹,SELOYS,,,20221031,550,epark,50:31.1,epark,50:31.1,12:00.1
FRASL,20000101,프랑크푸르트지점,PRGGL,,,99991231,3890,epark,50:31.4,epark,50:31.4,12:00.1
LAXSLI,20000101,미주물류지점 국제물류팀,LAXSL,,LAXSLG,99991231,3730,epark,50:31.3,epark,50:31.3,12:00.1
SELGF,20000101,포워딩사업부,SELDG,2,,99991231,3480,epark,50:31.3,epark,50:31.3,12:00.1
SELGFP,20000101,프로젝트사업팀,SELGF,3,,99991231,3510,epark,50:31.3,epark,50:31.3,12:00.1
HNMKE,20000101,하남택배지점,SEESE,3,,99991231,2820,epark,50:31.3,epark,50:31.3,12:00.1
SELBIR,20000101,감사1팀,SELBI,,,99991231,100,epark,50:31.0,epark,50:31.0,12:00.1
