귀속부서조직GROUP코드,귀속부서조직코드,정렬순서,사용여부,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
OG_HQ,SELLPD,1910,Y,epark,2023-11-27 17:26:02.503000,epark,2023-11-27 17:26:02.503000,2023-12-23 01:07:18.846000
OG_SELHQ,SELLG,400,Y,epark,2023-11-27 17:26:02.374000,epark,2023-11-27 17:26:02.374000,2023-12-23 01:07:18.846000
OG_HQ,SELEIAD,2640,Y,epark,2023-11-27 17:26:02.565000,epark,2023-11-27 17:26:02.565000,2023-12-23 01:07:18.846000
OG_SELDE,SELESN,870,Y,epark,2023-11-27 17:26:02.413000,epark,2023-11-27 17:26:02.413000,2023-12-23 01:07:18.846000
OG_EXPRESS,SEWSET,1310,Y,epark,2023-11-27 17:26:02.450000,epark,2023-11-27 17:26:02.450000,2023-12-23 01:07:18.846000
OG_EXPRESS,HINKE,1550,Y,epark,2023-11-27 17:26:02.472000,epark,2023-11-27 17:26:02.472000,2023-12-23 01:07:18.846000
OG_HQ,SELLPY,1920,Y,epark,2023-11-27 17:26:02.504000,epark,2023-11-27 17:26:02.504000,2023-12-23 01:07:18.846000
OG_HQ,SELLMOC,2110,Y,epark,2023-11-27 17:26:02.520000,epark,2023-11-27 17:26:02.520000,2023-12-23 01:07:18.846000
OG_SELXW,SELXWCF,1830,Y,epark,2023-11-27 17:26:02.496000,epark,2023-11-27 17:26:02.496000,2023-12-23 01:07:18.846000
OG_EXPRESS,GUNKE,1400,Y,epark,2023-11-27 17:26:02.458000,epark,2023-11-27 17:26:02.458000,2023-12-23 01:07:18.846000
OG_EXPRESS,GURKE,1300,Y,epark,2023-11-27 17:26:02.449000,epark,2023-11-27 17:26:02.449000,2023-12-23 01:07:18.846000
OG_EXPRESS,CHWKE,1540,Y,epark,2023-11-27 17:26:02.471000,epark,2023-11-27 17:26:02.471000,2023-12-23 01:07:18.846000
OG_HQ,SELEIAC,2630,Y,epark,2023-11-27 17:26:02.565000,epark,2023-11-27 17:26:02.565000,2023-12-23 01:07:18.846000
OG_HQ,TYOSO,3170,Y,epark,2023-11-27 17:26:02.611000,epark,2023-11-27 17:26:02.611000,2023-12-23 01:07:18.846000
OG_HQ,SELESE,2340,Y,epark,2023-11-27 17:26:02.540000,epark,2023-11-27 17:26:02.540000,2023-12-23 01:07:18.846000
OG_HQ,WEHSO,3050,Y,epark,2023-11-27 17:26:02.601000,epark,2023-11-27 17:26:02.601000,2023-12-23 01:07:18.846000
OG_SELHQ,SELOYC,240,Y,epark,2023-11-27 17:26:02.361000,epark,2023-11-27 17:26:02.361000,2023-12-23 01:07:18.846000
OG_SELDE,SELEP,650,Y,epark,2023-11-27 17:26:02.394000,epark,2023-11-27 17:26:02.394000,2023-12-23 01:07:18.846000
OG_EXPRESS,QTWKE,1580,Y,epark,2023-11-27 17:26:02.474000,epark,2023-11-27 17:26:02.474000,2023-12-23 01:07:18.846000
OG_HQ,SELEISC,2670,Y,epark,2023-11-27 17:26:02.568000,epark,2023-11-27 17:26:02.568000,2023-12-23 01:07:18.846000
OG_SELDE,SELEOO,890,Y,epark,2023-11-27 17:26:02.414000,epark,2023-11-27 17:26:02.414000,2023-12-23 01:07:18.846000
OG_HQ,SELEK,2390,Y,epark,2023-11-27 17:26:02.544000,epark,2023-11-27 17:26:02.544000,2023-12-23 01:07:18.846000
OG_SELXW,SELFSP,1770,Y,epark,2023-11-27 17:26:02.491000,epark,2023-11-27 17:26:02.491000,2023-12-23 01:07:18.846000
