관리회계계정코드,계정명,관리회계상위계정코드,관리회계계정유형코드,관리회계계정속성값1,관리회계계정속성값2,정렬순서,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
525144,기타투자자산손상차손,525100,,,,3770,epark,2023-12-12 21:04:03.027000,epark,2023-12-12 21:04:03.027000,2023-12-23 01:08:04.132000
528121,전기오류수정손실,528100,,,,3850,epark,2023-12-12 21:04:03.036000,epark,2023-12-12 21:04:03.036000,2023-12-23 01:08:04.132000
423115,매각예정자산처분이익,423100,,,,880,epark,2023-12-12 21:04:02.746000,epark,2023-12-12 21:04:02.746000,2023-12-23 01:08:04.132000
421100,금융수익,420000,,,,90,epark,2023-12-12 21:04:02.663000,epark,2023-12-12 21:04:02.663000,2023-12-23 01:08:04.132000
423141,종속기업투자손상환입,423100,,,,970,epark,2023-12-12 21:04:02.756000,epark,2023-12-12 21:04:02.756000,2023-12-23 01:08:04.132000
752000,매출총이익,500000,계산계정11,원가,"+410000,-751000",4010,epark,2023-12-12 21:04:03.052000,epark,2023-12-12 21:04:03.052000,2023-12-23 01:08:04.132000
518142,안전보안활동비,518100,,,,3370,epark,2023-12-12 21:04:02.987000,epark,2023-12-12 21:04:02.987000,2023-12-23 01:08:04.132000
517700,접대비,510000,,,,510,epark,2023-12-12 21:04:02.706000,epark,2023-12-12 21:04:02.706000,2023-12-23 01:08:04.132000
512800,작업비,510000,,,,280,epark,2023-12-12 21:04:02.682000,epark,2023-12-12 21:04:02.682000,2023-12-23 01:08:04.132000
525143,공동기업투자손상차손,525100,,,,3760,epark,2023-12-12 21:04:03.026000,epark,2023-12-12 21:04:03.026000,2023-12-23 01:08:04.132000
515511,판매수수료,515500,,,,2800,epark,2023-12-12 21:04:02.933000,epark,2023-12-12 21:04:02.933000,2023-12-23 01:08:04.132000
514791,기타소모품비,514700,,,,2560,epark,2023-12-12 21:04:02.910000,epark,2023-12-12 21:04:02.910000,2023-12-23 01:08:04.132000
411199,기타사업수익,411100,,,,700,epark,2023-12-12 21:04:02.727000,epark,2023-12-12 21:04:02.727000,2023-12-23 01:08:04.132000
411113,해운사업수익,411100,,,,650,epark,2023-12-12 21:04:02.721000,epark,2023-12-12 21:04:02.721000,2023-12-23 01:08:04.132000
521222,파생상품평가손실,521200,,,,3560,epark,2023-12-12 21:04:03.006000,epark,2023-12-12 21:04:03.006000,2023-12-23 01:08:04.132000
514721,사무용품,514700,,,,2510,epark,2023-12-12 21:04:02.905000,epark,2023-12-12 21:04:02.905000,2023-12-23 01:08:04.132000
511934,항만TOC관리운영비,511900,,,,1560,epark,2023-12-12 21:04:02.812000,epark,2023-12-12 21:04:02.812000,2023-12-23 01:08:04.132000
514913,특송보안용역비,514900,,,,2630,epark,2023-12-12 21:04:02.917000,epark,2023-12-12 21:04:02.917000,2023-12-23 01:08:04.132000
511711,노임,511700,,,,1420,epark,2023-12-12 21:04:02.799000,epark,2023-12-12 21:04:02.799000,2023-12-23 01:08:04.132000
512121,선박 연료유,512100,,,,1740,epark,2023-12-12 21:04:02.830000,epark,2023-12-12 21:04:02.830000,2023-12-23 01:08:04.132000
515731,선전물 설치유지비,515700,,,,2880,epark,2023-12-12 21:04:02.941000,epark,2023-12-12 21:04:02.941000,2023-12-23 01:08:04.132000
511131,급여,511100,인건비,,,1100,epark,2023-12-12 21:04:02.768000,epark,2023-12-12 21:04:02.768000,2023-12-23 01:08:04.132000
516161,고시관리비,516100,,,,3030,epark,2023-12-12 21:04:02.955000,epark,2023-12-12 21:04:02.955000,2023-12-23 01:08:04.132000
512311,장비부속부품대,512300,투자활동,,,1860,epark,2023-12-12 21:04:02.842000,epark,2023-12-12 21:04:02.842000,2023-12-23 01:08:04.132000
511697,우리사주대출이자지원,511600,,,,1360,epark,2023-12-12 21:04:02.793000,epark,2023-12-12 21:04:02.793000,2023-12-23 01:08:04.132000
