기업설립형태코드,기업설립형태명,dt_reg,dt_adjt,폐기일자,yn_abd,처리자사번,last_update_dtm,etl_dtm
A,주식회사,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
B,사단법인,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
C,유한회사,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
D,학교법인,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
E,재단법인,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
F,합명회사,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
G,합자회사,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
H,조합,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
I,국가기관,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
J,공사,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
Z,기타,20011201,,,N,9508203,2023-12-26 03:20:13.883000,2023-12-26 03:20:13.883000
