사유코드,작업코드,사유명,사유명(영문),최종변경일시,ETL일시
01,04,예약 영업점 이관,B,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
16,92,타상품 교환,Change Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
13,03,합포장 발송,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
20,03,요청일미방문,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
21,03,책정운임불만,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
22,03,기타서비스불만,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
19,92,반송(수취거부),B,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
20,92,반송(고객이사),C,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
21,92,반송(장기부재),D,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
22,92,반송(고객부재),E,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
23,92,반송(착지변경요청),F,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
24,92,미배송(반송),Send Back,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
1,92,수취거부 반송,back,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
1,IR,파손화물,damage goods,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
1,08,송하인부재,Consignee Not Home,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
1,91,오분류,miswriting,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
14,03,고객분실,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
15,03,고객파손,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
16,03,타인양도,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
06,92,고객 부재,Consignee Not Home,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
17,92,기업체 휴무,Company Closed,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
18,08,기업체 휴무,Company Closed,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
23,03,발송취소(고객사요청),A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
27,92,기상악화(폭우),Heavy rain,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
25,92,도서지역 배송 인계,Island Delivery Takeover,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
26,92,배송불가지역,Undeliverable area,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
29,92,순차배송예정,First-in first-out,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
19,08,순차집하예정,First-call first-pickup,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
28,92,기상악화(폭설),Heavy snow,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,92,수하인 이사,Consignee Moved,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
10,03,고객주소불명,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,03,송하인 이사,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,03,발송취소,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,92,취급불가 화물,Restricted Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
11,03,고객이사 / 퇴사,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,92,악천후,Bad Weather,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,92,수하인 주소 부정확,Wrong Consignee Address,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,08,화물미준비 및 재고 부족,Shipment Not Ready,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,08,고객 분실,Lost Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
6,08,기 집하,Already Picked Up,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
6,92,고객 부재,Consignee Not Home,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,08,취급불가 화물,Restricted Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
9,03,반품지시부정확,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
10,08,주소 불명,Wrong Address,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,08,송하인 발송취소,Shipper Canceled Order,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
6,03,기집하,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
12,03,타운송사집하,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
7,92,관세지불 거절,Consigne Reject to Pay Duty,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
8,92,송하인 요청,Shipper Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,81,수하인 이사,Damaged Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
7,81,이중예약,Consignee Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
8,81,취급불가화물,Need More Document,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
9,81,반품지시부정확,Wooden Packing Required,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,81,부분분실,Partial Loss Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
01,84,미도착,Not Arrived,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
02,84,수하인 이사,Restricted Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
03,84,추가서류 필요,Need More Document,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
04,84,관세지불거절,Consignee Reject to Pay Duty,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
05,84,수하인 요청,Consignee Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
06,84,수하인 통관,Consignee Cleared Customs,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,85,수하인 이사,Need More Document,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,85,수하인 서류제출 불가,Consignee Failed to Submit Doc,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,85,수하인 요청,Consignee Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,85,파손품,Damaged Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
6,85,부분분실,Partial Loss Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
9,92,분실,Lost Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,98,수하인 이사,Shipper Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,98,통관불가,Unable to Clear Customs,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,98,오도착,Mis-Routed Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,98,취급불가화물,Restricted Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,99,수하인 이사,Consignee Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,99,부폐화물,Perishable Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
7,03,이중예약,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
8,03,취급불가화물,A,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
7,08,고객 파손,Damaged Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
8,08,타인 양도,Alienated shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
9,08,반품지시 부정확,Incorrect Order,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,99,오염화물,Contaminated Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
11,08,고객 이사 및 퇴사,Shipper Moved,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
12,08,타 운송사 집하,Picked Up by Other Carrier,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
5,99,정부지시,Ordered by Government,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,91,C/T 오적입,aaaaaa,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
3,91,주소 오기재,adress miswriting,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
4,91,코드 오기재,code miswriting,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
03,08,취급불가 화물,Restricted Item,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
04,08,송하인 발송취소,Shipper Canceled Order,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
05,08,고객 분실,Lost Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
06,08,기 집하,Already Picked Up,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
07,08,고객 파손,Damaged Shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
08,08,타인 양도,Alienated shipment,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
09,08,반품지시 부정확,Incorrect Order,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
13,08,기타(수기입력),ETC(Handy Input),2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
14,08,업체사정으로 인한 집하지연,Pickup Delay Because of Vendor,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
15,08,변경사항 없이 현행 요청,Request Without Modification,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
16,08,취소건 및 고객요청 (지정일),Cancel And Customer Request,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
0,08,사유미등록,Reason No Register,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
2,IR,오염화물,Pollution Goods,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
10,92,A/S,A/S,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
12,92,재고부족,Shipment Not Ready,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
11,92,고객지정일,Consignee request day,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
13,92,통화불능,impossible telephone call,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
14,92,장기부재,Consignee long absence,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
30,92,오분류,misclassification,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
05,66,3333,1111,2023-12-26 01:04:37.901000,2023-12-26 01:04:37.901000
