회사코드,회사명,본부코드,본부명,지부코드,지부명,지점코드,지점명,팀센터코드,팀센터명,정렬순서,최초생성자ID,최초생성일시,last_update_dtm,etl_dtm
T,회사,SELDE,택배사업본부,SEWSE,수도권서부지부,GNOKE,강서택배지점,GNOKE,강서택배지점,2730,,2023-12-12 21:49:29.358000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDP,디지털플랫폼사업본부,SELDPZ,디지털플랫폼사업본부,SELDPZ,디지털플랫폼사업본부,SELDPM,중개솔루션팀,4140,,2023-12-12 21:49:29.492000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDP,디지털플랫폼사업본부,SELDPZ,디지털플랫폼사업본부,SELDPZ,디지털플랫폼사업본부,SELMQC,(구)CSV팀,4170,,2023-12-12 21:49:29.494000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDG,글로벌사업본부,SELGF,포워딩사업부,SELGFP,프로젝트사업팀,SELGFP,프로젝트사업팀,3590,,2023-12-12 21:49:29.440000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDG,글로벌사업본부,SELGO,해외사업부,VNMGL,베트남법인,VNMGL,베트남법인,3860,,2023-12-12 21:49:29.466000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDL,물류사업본부,SELLP,물류기획부,SELLPP,물류기획팀,SELLPP,물류기획팀,920,,2023-12-12 21:49:29.200000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDE,택배사업본부,SELES,택배영업부,SELESA,(구)이커머스영업팀,SELESAC,(구)C2C그룹,2270,,2023-12-12 21:49:29.317000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDE,택배사업본부,SELEK,전략영업부,SELEK,전략영업부,SELEK,전략영업부,2280,,2023-12-12 21:49:29.318000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDE,택배사업본부,SELEI,서비스혁신부,SELEI,서비스혁신부,SELEI,서비스혁신부,2490,,2023-12-12 21:49:29.336000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDE,택배사업본부,SELEX,elogi-X 사업부,SELEX,elogi-X 사업부,SELEX,elogi-X 사업부,2600,,2023-12-12 21:49:29.346000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDL,물류사업본부,PTKSL,중부지점,PTKSLT,중부지점 물류운송팀,PTKSLT,중부지점 물류운송팀,1570,,2023-12-12 21:49:29.257000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,HJH009,본사직할,SELMQ,마케팅실,SELMQCX,CX그룹,SELMQCX,CX그룹,530,,2023-12-12 21:49:29.166000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
T,회사,SELDL,물류사업본부,PUSSL,부산지점,PUSSLT,부산지점 물류운송팀,PUSSLT,부산지점 물류운송팀,1760,,2023-12-12 21:49:29.273000,2023-12-26 01:11:21.468000,2023-12-26 01:11:21.468000
