터미널조직코드,터미널구분코드,실제터미널조직코드,대표집배조직코드,unitiz_goal,종료목표작업시분,첨부파일ID,터미널영문코드,loading_place_addr,load_chute_cnt,unload_chute_cnt,wheel_sorter_install_yn,usage_cat_cd,등록일시,등록사원번호,최종사원업데이트일시,최종업데이트사원번호,생성일시,생성시스템ID,최종업데이트시스템ID,최종업데이트일시,ETL일시
000,ETC,000,,0,,,,,0,0,N,SELF,,,2023-11-10 18:10:02.000000,1910031,,,KAFKA,2023-11-10 18:10:02.000000,2023-12-23 03:04:26.913000
001,HUB,001,,0,,,MH,,0,,N,,,,2023-12-13 08:45:19.000000,1610114,,,KAFKA,2023-12-13 08:45:20.000000,2023-12-23 03:04:26.913000
002,CUST_WH,002,,0,,,,,0,0,N,,,,2023-10-17 17:36:00.000000,1910031,,,KAFKA,2023-10-17 17:36:02.000000,2023-12-23 03:04:26.913000
003,CUST_WH,003,,0,,,FK,,0,,N,,,,2023-11-07 09:06:35.000000,1910031,,,KAFKA,2023-11-07 09:06:36.000000,2023-12-23 03:04:26.913000
004,CUST_WH,004,,0,,,FL,,0,,N,,,,2023-11-07 09:06:45.000000,1910031,,,KAFKA,2023-11-07 09:06:46.000000,2023-12-23 03:04:26.913000
005,CUST_WH,005,,0,,,FM,,0,,N,,,,2023-11-07 09:10:19.000000,1910031,,,KAFKA,2023-11-07 09:10:20.000000,2023-12-23 03:04:26.913000
006,CUST_WH,006,,0,,,,,0,0,N,,,,2023-07-12 15:40:12.000000,1910031,,,KAFKA,2023-07-12 15:40:18.000000,2023-12-23 03:04:26.913000
007,CUST_WH,007,,0,,,FN,,0,,N,,,,2023-11-07 09:09:51.000000,1910031,,,KAFKA,2023-11-07 09:09:51.000000,2023-12-23 03:04:26.913000
008,CUST_WH,008,,0,,,,,0,0,N,,,,2023-11-03 15:45:08.000000,1910031,,,KAFKA,2023-11-03 15:45:09.000000,2023-12-23 03:04:26.913000
009,CUST_WH,009,,0,,,,,0,,N,,,,2023-11-03 15:45:00.000000,1910031,,,KAFKA,2023-11-03 15:45:01.000000,2023-12-23 03:04:26.913000
