OIO_ORG_COD,OIO_ORG_NAM,OIO_INC_ORG,OIO_ORG_NCD,OIO_PIN_COD,최종변경일시,ETL일시
SELUB,네덱스,,1359,SESBRHT,04:45.4,04:45.4
ICHBR,이천택배지점,,1361,ICHBRHT,04:45.4,04:45.4
HQPLA,경영전략팀,,1362,HQRPLAHT,04:45.4,04:45.4
HQPLD,홍보팀,,1363,HQRPLDHT,04:45.4,04:45.4
KBKOC,강북택배지점,,1364,KBKOCHT,04:45.4,04:45.4
ILSOC,일산택배지점,,1365,ILSOCHT,04:45.4,04:45.4
KANOC,송파택배지점,,1366,KANOCHT,04:45.4,04:45.4
KDCOC,KD물류센터,,1367,KDCOCHT,04:45.4,04:45.4
BUPOC,부평택배지점,,1368,BUPOCHT,04:45.4,04:45.4
POHOC,포항택배지점,,1369,POHOCHT,04:45.4,04:45.4
BUKOC,북대구택배지점,,1370,BUKOCHT,04:45.4,04:45.4
JOCOC,조치원물류센터,,1371,JOCOCHT,04:45.4,04:45.4
JEUOC,제주물류센터,,1372,JEUOCHT,04:45.4,04:45.4
BUMOC,폐)남부산택배지점,,1373,BUMOCHT,04:45.4,04:45.4
SESBR,서울남부지점,,1374,SESBRHT,04:45.4,04:45.4
SKPBR,서울서부지점,,1376,SKPBRHT,04:45.4,04:45.4
KANBR,강원지점,,1378,KANBRHT,04:45.4,04:45.4
TJNBR,대전지점,,1381,TJNBRHT,04:45.4,04:45.4
CGWBR,창원지점,,1382,CGWBRHT,04:45.4,04:45.4
HRMSD,시설관재팀,,1384,HQRMSDHT,04:45.4,04:45.4
HRMSB,법무보험팀,,1385,HQRMSBHT,04:45.4,04:45.4
HRHRB,인력개발팀,,1386,HQRHRBHT,04:45.4,04:45.4
HRLOA,운영기획팀,,1387,HQRLOAHT,04:45.4,04:45.4
HRLOB,해운팀,,1388,HQRLOBHT,04:45.4,04:45.4
HRLOC,물류IT지원팀,,1389,HQRLOCHT,04:45.4,04:45.4
HRTSD,창고사업팀,,1390,HQRTSDHT,04:45.4,04:45.4
HRGBB,해외사업기획팀,,1391,HQRGBBHT,04:45.4,04:45.4
HRLMC,전략영업팀,,1392,HQRLMCHT,04:45.4,04:45.4
HRXCB,택배IT팀,,1393,HQRXCBHT,04:45.4,04:45.4
HRCSA,택배CS팀,,1394,HQRCSAHT,04:45.4,04:45.4
HRCSB,고객서비스팀,,1395,HQRCSBHT,04:45.4,04:45.4
PYUOC,평택물류센터,,1396,PYUOCHT,04:45.4,04:45.4
TAEB1,대구지점,,1379,TAEBRHT,04:45.4,04:45.4
KWGB1,광주지점,,1380,KWJBRHT,04:45.4,04:45.4
CJUB1,제주지점,,1383,CJUBRHT,04:45.4,04:45.4
SEEB1,서울북부지점,,1377,SEEBRHT,04:45.4,04:45.4
SJBBR,서울중부지점,,1399,SESBRHT,04:45.4,04:45.4
SCOB1,서울동부지점,,1375,SCOBRHT,04:45.4,04:45.4
GUNOC,군산물류센터,,1403,GUNOCHT,04:45.4,04:45.4
PGTBR,평택지점,,1159,PGTBRHT,04:45.4,04:45.4
BCNBR,부천택배지점,,1409,BUCOCHT,04:45.4,04:45.4
DPUBR,동부산택배지점,,1410,BUEOCHT,04:45.4,04:45.4
ICNJG,인천정기화물센터,,1421,,04:45.4,04:45.4
BKKJG,부곡정기화물센터,,1422,,04:45.4,04:45.4
CGJJG,대전정기화물센터,,1423,,04:45.4,04:45.4
TAEJG,대구정기화물센터,,1424,,04:45.4,04:45.4
KWJJG,광주정기화물센터,,1425,,04:45.4,04:45.4
PUSJG,부산정기화물센터,,1426,,04:45.4,04:45.4
QWJJG,원주정기화물센터,,1427,,04:45.4,04:45.4
JEJJG,제주정기화물센터,,1428,,04:45.4,04:45.4
YOIOC,용인택배지점,,1429,SCOBRHT,04:45.4,04:45.4
USEOC,울산택배지점,,1431,ULSBRHT,04:45.4,04:45.4
KIMOC,구미택배지점,,1430,TAEBRHT,04:45.4,04:45.4
ICABR,서울국제지점 국제택배팀,,1406,ICABRHT,04:45.4,04:45.4
SUWOC,수원택배지점,,1440,SUWOCNCD,04:45.4,04:45.4
EEBRA,서울동부 판매팀,,,,04:45.4,04:45.4
EWBRA,서울서부 판매팀,,,,04:45.4,04:45.4
ESBRA,서울남부 판매팀,,,,04:45.4,04:45.4
ENBRA,서울북부 판매팀,,,,04:45.4,04:45.4
HRXBB,B2B운영팀,,1510,HQRXBBHT,04:45.4,04:45.4
HRLMT,택배3PL팀,,1507,HQRLMTHT,04:45.4,04:45.4
HRLMS,B2B영업팀,,1506,HQRLMSHT,04:45.4,04:45.4
BAEKE,"	B2B지점",,1515,,04:45.4,04:45.4
SELCB,택배영업관리팀,,1465,HJTBRHT,04:45.4,04:45.4
MPKKE,목포택배지점,,1464,KWJBRHT,04:45.4,04:45.4
HMYKE,서산당진택배지점,,1463,TJNBRHT,04:45.4,04:45.4
LDPT,L.D.P팀,,1489,,04:45.4,04:45.4
ODPDG,당일택배그룹,,1600,,04:45.4,04:45.4
SELES,농협SCM전담팀,,1459,,04:45.4,04:45.4
SELEA,택배영업1팀,,1478,SELEAHT,04:45.4,04:45.4
SELEB,택배영업2팀,,1475,SELEBHT,04:45.4,04:45.4
ETAKE,동대구택배지점,,1370,,04:45.4,04:45.4
PUSKE,부산택배지점,,1410,,04:45.4,04:45.4
YAJKE,양주택배지점,,1131,,04:45.4,04:45.4
YSNKE,양산택배지점,,1166,,04:45.4,04:45.4
ADGDD,안동택배지점,,1111,ADGBRHT,04:45.4,04:45.4
ASNBR,안산택배지점,,1112,ASNBRHT,04:45.4,04:45.4
BKKDD,군포택배지점,,1113,BKKBRHT,04:45.4,04:45.4
CCNDD,춘천택배지점,,1114,QWJBRHT,04:45.4,04:45.4
CGJDD,청주택배지점,,1115,CGJBRHT,04:45.4,04:45.4
CGWBS,창원택배지점,,1117,CGWBRHT,04:45.4,04:45.4
CHNBR,전주택배지점,,1118,CHNBRHT,04:45.4,04:45.4
CHNBS,(폐)전주버스영업소,,1119,CHNDSHT,04:45.4,04:45.4
CHNLS,(폐)전주버스임대,,1120,CHNDSHT,04:45.4,04:45.4
CHUBR,(폐)정읍TML,,1121,CHNBRHT,04:45.4,04:45.4
CJUBR,제주택배지점,,1122,CJUBRHT,04:45.4,04:45.4
CNABR,천안택배지점,,1123,CNABRHT,04:45.4,04:45.4
CNABS,(폐)천안버스영업소,,1124,CNADSHT,04:45.4,04:45.4
CNJDD,진주택배지점,,1125,CGWBRHT,04:45.4,04:45.4
DJNBR,당진물류센터,,1128,DJNBRHT,04:45.4,04:45.4
DKYBS,(폐)동광양버스영업장,,1129,KWJDSHT,04:45.4,04:45.4
DSLBS,(폐)동서울영업소,,1130,DSLDSHT,04:45.4,04:45.4
EJBBX,폐)양주택배지점,,1131,EJNBRHT,04:45.4,04:45.4
GIHWS,(폐)서울여객정비,,1133,SEPBRMHT,04:45.4,04:45.4
SEEBR,하남택배지점,,1134,SEEBRHT,04:45.4,04:45.4
HNMDD,해남TML (해남지점),,1135,SCNBRHT,04:45.4,04:45.4
JCABR,인천공항지점,,1136,JCABRHT,04:45.4,04:45.4
JCNBR,인천지점,,1137,JCNBRHT,04:45.4,04:45.4
JCNBS,(폐)인천버스영업장,,1138,JCNBRHT,04:45.4,04:45.4
JCNDD,인천택배지점,,1139,JCXBRHT,04:45.4,04:45.4
JCNWS,인천지역정비,,1140,JCNBRMHT,04:45.4,04:45.4
KANDD,강릉택배지점,,1141,QWJBRCHT,04:45.4,04:45.4
KNSBR,(폐)군산지점,,1143,CHNBRHT,04:45.4,04:45.4
KNSBS,(폐)군산버스영업장,,1144,HQRPTHT,04:45.4,04:45.4
KPOBR,포항지점,,1146,KPOBRHT,04:45.4,04:45.4
KPOBS,(폐)포항버스영업소,,1147,KPODSHT,04:45.4,04:45.4
KPOWS,영남지역정비,,1148,KPOBRMHT,04:45.4,04:45.4
KUMDD,구미물류센터,,1149,KUMBRHT,04:45.4,04:45.4
KWJBR,광주택배지점,,1150,KWJBRHT,04:45.4,04:45.4
KWJBS,(폐)광주버스영업소,,1151,KWJDSHT,04:45.4,04:45.4
KWSBR,보령물류센터,,1152,KWSBRHT,04:45.4,04:45.4
KWYBR,광양지점,,1153,KWYBRHT,04:45.4,04:45.4
KWYBS,(폐)광양버스영업소,,1154,KWJDSHT,04:45.4,04:45.4
LAXBX,미주물류지점,,1155,LAXBRHT,04:45.4,04:45.4
MAPDD,마포택배지점,,1156,MPOBRHT,04:45.4,04:45.4
MSNBR,마산물류센터,,1157,MSNBRHT,04:45.4,04:45.4
PDGBR,분당택배지점,,1158,PDGBRHT,04:45.4,04:45.4
PGTBX,평택택배지점,,1159,PGTBRHT,04:45.4,04:45.4
PUOBR,부산국제지점,,1161,PUOBRHT,04:45.4,04:45.4
PUPBR,(폐)부산물류지점,,1162,PUSBRHT,04:45.4,04:45.4
PUSSR,부산지역본부,,1163,KPOHQHT,04:45.4,04:45.4
PUSBS,(폐)북부산버스영업소,,1164,PUNDSHT,04:45.4,04:45.4
PUSWS,부산지점정비,,1165,PUPBRM,04:45.4,04:45.4
