사업본부코드,사업본부명,지부코드,지부명,지점코드,지점명,터미널코드,터미널명,집배점코드,집배점명,최종변경일시,ETL일시
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,0320,청주(오),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,0681,청주GS전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3600,청주(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3622,하나(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3630,청주용암(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3640,오창(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3680,내수북이(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3770,청주사천(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3771,청주주성(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3772,건윤(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,3780,청주우암(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,8321,미원(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,320,청주,9320,생명의뿌리 집하(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3211,서청주(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3620,비하(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3621,청주강서(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3641,오송(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3790,가경(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,3810,청주봉명(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,321,서청주,8320,수곡(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,322,보은,3221,보은(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,322,보은,3760,보은(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,328,청주GS,0710,청주GS전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3800,호암(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3801,충주집하점,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3820,주덕(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3830,중원(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3831,충주동량(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,340,충주,3840,충주(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,341,음성,3411,음성(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,341,음성,3580,감곡(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,341,음성,3581,맹동(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,341,음성,3690,금왕(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,342,괴산,3420,괴산(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,342,괴산,3670,괴산(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,343,진천,3650,구 청주진천(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,343,진천,3651,청주덕산(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHGOCHT,청주,343,진천,3652,청주진천(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,002,아산쿠팡,3404,아산쿠팡전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,0310,천안(오),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,0330,성환(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,0390,아산(오),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3111,신세계 평택 전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3122,신세계 천안 전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3300,천안(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3330,쌍용(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3331,불당(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3332,성환(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3333,천안백석(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3341,두정(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3342,천안정기 집하점,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3343,교보문고천안,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3344,직산(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,3460,북천안(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,310,천안,8930,남천안(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3151,동천안(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3152,안서(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3340,목천(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3346,병천(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3349,천안구성(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3350,신부(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,315,동천안,3352,신방(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,318,천안GS,0705,천안GS전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,3400,예산(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,3410,예산(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,3412,신예산(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,3421,미사용,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,3501,예산(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,350,예산,9211,천안 웅진전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,2240,신천안집하(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3345,둔포(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3347,송악(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3348,아산중앙(대),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3351,공수(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3353,인주(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3357,송악(용),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3360,신창(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3361,아산집하점,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3370,탕정(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3371,아산집하점,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3375,온양(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3376,장재(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3377,북수(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3380,모종(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3470,배방(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,360,아산,3660,아산(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,985,쿠팡천안1,9851,천안쿠팡(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,992,쿠팡목천1,9920,쿠팡목천1(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,993,쿠팡천안2,9930,쿠팡천안2(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,CHNOCHT,천안,994,쿠팡천안3,9940,쿠팡천안3(영),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,SEOOCHT,서산당진,329,동서산,3320,석림(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,SEOOCHT,서산당진,330,서산,0709,서산GS전담,2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
SELDE,택배사업본부,CHCSE,충청지부,SEOOCHT,서산당진,330,서산,3301,수석(집),2023-12-26 01:14:39.952000,2023-12-26 01:14:39.952000
