Industry,Activities_Type,Activity_Seq,Activities,Master_ID,Master,Master_Kor_Org,Has_Flag,Our_Master_Org,Master_Kor,Our_Master
물류-택배,Primary ,1,Marketing & Sales,1,채널/캠페인 ,채널/캠페인 ,,,,
물류-택배,Primary ,1,Marketing & Sales,2,영업마스터,조업사 영업관리,,,,
물류-택배,Primary ,1,Marketing & Sales,3,계약,계약마스터,,계약마스터,,
물류-택배,Primary ,1,Marketing & Sales,4,프로모션,프로모션,,,,
물류-택배,Primary ,2,Inbound Logistics,5,집하영업소,영업소마스터,,영업소조직,,
물류-택배,Primary ,2,Inbound Logistics,6,집하점,집하점 마스터 ,,집하점,,
물류-택배,Primary ,2,Inbound Logistics,7,B2C고객,개인고객,,개인고객,,
물류-택배,Primary ,2,Inbound Logistics,8,B2B고객,기업고객,,기업고객,,
물류-택배,Primary ,2,Inbound Logistics,9,OneClick고객,OneClick고객,,OneClick고객,,
물류-택배,Primary ,2,Inbound Logistics,10,기사,기사 마스터,,,,
물류-택배,Primary ,3,Operations,11,상품분류,상품 분류,,상품분류,,
물류-택배,Primary ,3,Operations,12,허브,허브 마스터 ,,허브터미널,,
물류-택배,Primary ,3,Operations,13,서브,서브 마스터 ,,서브터미널,,
물류-택배,Primary ,3,Operations,14,조업,조업사,,,,
물류-택배,Primary ,4,Outbound Logistics,15,배송영업소,영업소마스터,,영업소조직,,
물류-택배,Primary ,4,Outbound Logistics,16,배송점,배송점 마스터 ,,배송점,,
물류-택배,Primary ,4,Outbound Logistics,17,B2B배송고객,B2B배송고객 마스터 ,,개인고객,,
물류-택배,Primary ,4,Outbound Logistics,18,B2C배송고객,B2C배송고객 마스터 ,,기업고객,,
물류-택배,Primary ,4,Outbound Logistics,19,파트너배송,파트너배송 마스터 ,,,,
물류-택배,Primary ,4,Outbound Logistics,20,기사/차량,배송기사,,,,
물류-택배,Primary ,5,Services,21,배송추적,배송추적관리,,,,
물류-택배,Primary ,5,Services,22,CS,Customer Satisfaction,,불량등급,,
물류-택배,Primary ,5,Services,23,반품/파손/유실,반품/파손/유실 사유,,미배송사유코드,,
물류-택배,Primary ,5,Services,24,보상,보상관리,,,,
물류-택배,Support ,6,Finance,25,Profit Center,Profit Center,,관리회계_사업,,
물류-택배,Support ,6,Finance,26,Coster Center,Coster Center,,,,
물류-택배,Support ,6,Finance,27,거래처,벤더&조업사,,,,
물류-택배,Support ,6,Finance,28,고객,고객,,관리회계_고객,,
물류-택배,Support ,7,HR,29,조직,조직마스터,,관리회계_조직,,
물류-택배,Support ,7,HR,30,인사,인사마스터,,사원마스터,,
물류-택배,Support ,7,HR,31,교육이력 ,교육 이력 ,,,,
물류-택배,Support ,7,HR,32,급여,급여마스터,,,,
물류-택배,Support ,7,HR,33,성과,성과측정,,,,
물류-택배,Support ,8,Infrastructure,34,구매처 ,구매처 ,,,,
물류-택배,Support ,8,Infrastructure,35,자산,소모품/자산 ,,,,
물류-택배,Support ,8,Infrastructure,36,거점,물류거점 자산 ,,,,
물류-택배,Support ,8,Infrastructure,37,간선차량,간선차량,,간선사업자,,
