Master_ID,Master,Column_Name,Column_Kor,Mandatory,Reference_Code,Remark
1,채널/캠페인 ,영업경로,영업경로,*,,
1,채널/캠페인 ,마케팅채널,마케팅채널,*,,
1,채널/캠페인 ,제휴업체명,제휴업체명,*,,
2,영업마스터,조업사코드,조업사코드,*,,
2,영업마스터,조업사명,조업사명,*,,
2,영업마스터,소속지점코드,소속지점코드,*,,
2,영업마스터,계약물량,계약물량,*,,
2,영업마스터,계약기간,계약기간,*,,
2,영업마스터,단가,단가,,,
2,영업마스터,할인율,할인율,,,
3,계약,Contract_ID,계약번호,*,,
3,계약,Contract_Name,계약명,*,,
3,계약,Customer_ID,연계된 고객 식별자,*,,
3,계약,Postal_Code,우편번호,*,우편번호3,
3,계약,Address,기본 주소,,Address,
3,계약,Start_Date,계약시작일,,Date,
3,계약,End_Date,계약종료일,,Date,
3,계약,Rate_Type,정액/정률 등 요율 유형,,,
3,계약,Rate_Code,상세 요율 코드,,,
3,계약,Settlement_Type,월 정산 / 건별 정산,,,
3,계약,Penalty_Policy,지연 시 손해배상 조건,,,
3,계약,Payment_Terms,지급 조건 (예: 익월 말 지급),,,
4,프로모션,프로모션명,"프로모션명, 프로모션기간, 내용",,,
4,프로모션,프로모션기간,프로모션기간,,,
4,프로모션,내용,내용,,,
6,집하점,Org_ID,집배점 식별코드,*,,
6,집하점,Org_Name,집배점 명칭,*,,
6,집하점,Org_Type,집하 / 중계 / 배송허브 등,,,
6,집하점,Parent_ID,상위 식별코드,*,,
6,집하점,Postal_Code,우편번호,,우편번호3,
6,집하점,Address,주소,*,Address,
6,집하점,Business_Registration_No,사업자등록번호,,사업자등록번호5,
6,집하점,Capacity,처리 가능 물량,,,
6,집하점,Operation_Hours,가동 시간,,,
6,집하점,Region_Code,관할 지역 코드,*,,
6,집하점,Manager_ID,운영 담당자,,,
7,B2C고객,Customer_ID,고객 고유 식별자 (기업/개인),*,,
7,B2C고객,Contract_ID,연계된 계약번호,*,,
7,B2C고객,Customer_Name,상호 또는 성명,*,,
7,B2C고객,Postal_Code,우편번호,*,우편번호3,
7,B2C고객,Address,기본 주소,*,Address,
7,B2C고객,Phone_Number,전화번호,*,Tel,
7,B2C고객,Pickup_Schedule,정기 수거 요일/시간,,,
7,B2C고객,Default_Rate_Code,적용 요율 코드,,,
8,B2B고객,Customer_ID,고객 고유 식별자 (기업/개인),*,,
8,B2B고객,Contract_ID,연계된 계약번호,*,,
8,B2B고객,Customer_Name,상호 또는 성명,*,,
8,B2B고객,Business_Registration_No,사업자등록번호,*,사업자등록번호5,
8,B2B고객,Postal_Code,우편번호,*,우편번호3,
8,B2B고객,Address,기본 주소,*,Address,
8,B2B고객,Phone_Number,전화번호,*,Tel,
8,B2B고객,Pickup_Schedule,정기 수거 요일/시간,,,
8,B2B고객,Default_Rate_Code,적용 요율 코드,,,
8,B2B고객,Industry,업종,,업종명,
8,B2B고객,Business type,업태,,업태명,
9,OneClick고객,Customer_ID,고객 고유 식별자 (기업/개인),*,,
9,OneClick고객,Contract_ID,연계된 계약번호,,,
9,OneClick고객,Customer_Name,상호 또는 성명,*,,
9,OneClick고객,Business_Registration_No,사업자등록번호 (기업고객일 경우),*,사업자등록번호5,
9,OneClick고객,Postal_Code,우편번호,*,우편번호3,
9,OneClick고객,Address,기본 주소,*,Address,
9,OneClick고객,Phone_Number,전화번호,*,Tel,
9,OneClick고객,Pickup_Schedule,정기 수거 요일/시간,,,
9,OneClick고객,Default_Rate_Code,적용 요율 코드,,,
9,OneClick고객,Industry,업종,,업종명,
9,OneClick고객,Business type,업태,,업태명,
10,기사,Agent_ID,기사 고유 코드,*,,기사(배송/수거 인력)
10,기사,Agent_Name,기사 성명,*,한글성명,
10,기사,Affiliation_Type,위탁/직영 여부,,,
10,기사,Service_Area_Code,담당 배송구역 코드,*,,
10,기사,Vehicle_Type,"운송 수단 (1톤, 전기차 등)",,,
10,기사,Payment_Rate_Code,수수료 요율 코드,*,,
10,기사,Mobile_No,연락처,*,Tel,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
11,상품분류,상품 분류,상품 유형,*,,
11,상품분류,상품 분류,라벨 체계,*,,
11,상품분류,상품 분류,분류코드,*,,
