FilePath,FileName,ColumnName,MasterType,PK,FK,Attribute,Level_Depth,Level_Depth_Internal,Level_Relationship,Level_Relationship_Internal,Level0_Matched(%),Level1_Column,Level1_File,Level1_MasterType,Level1_Matched(%),Level2_Column,Level2_File,Level2_MasterType,Level2_Matched(%),Level3_Column,Level3_File,Level3_MasterType,Level3_Matched(%),Level4_Column,Level4_File,Level4_MasterType,Level4_Matched(%),CodeColumn_1,CodeFile_1,CodeFilePath_1,CodeType_1,Matched_1,Matched(%)_1,CodeColumn_2,CodeFile_2,CodeFilePath_2,CodeType_2,Matched_2,Matched(%)_2,CodeColumn_3,CodeFile_3,CodeFilePath_3,CodeType_3,Matched_3,Matched(%)_3,CodeColumn_4,CodeFile_4,CodeFilePath_4,CodeType_4,Matched_4,Matched(%)_4
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyID,Master,1,,,3,3,택배_고객.csv.집하지대번지 -> CUSTOMER.csv.집하지대번지 -> 기업고객.csv.집하지대번지,택배_고객.csv.집하지대번지 -> CUSTOMER.csv.집하지대번지 -> 기업고객.csv.집하지대번지,,집하지대번지,택배_고객.csv,Master,84.4,집하지대번지,CUSTOMER.csv,Master,60.24,집하지대번지,기업고객.csv,Master,60.24,,,,,집하지대번지,택배_고객.csv,DS_Input/Internal\택배_고객.csv,Master,1244.0,84.4,집하지대번지,CUSTOMER.csv,DS_Input/Internal\CUSTOMER.csv,Master,888.0,60.24,집하지대번지,기업고객.csv,DS_Input/Internal\기업고객.csv,Master,888.0,60.24,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyType,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Registration_Number,Master,0,,유효사업자번호3,1,0,사업자등록번호3.csv.유효사업자번호3,,,유효사업자번호3,사업자등록번호3.csv,Reference,88.39,,,,,,,,,,,,,유효사업자번호3,사업자등록번호3.csv,DS_Input/Reference\사업자등록번호3.csv,Reference,137.0,88.39,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Master,0,,업종명2,3,2,고객마스터.csv.업태 -> OneClick고객.csv.업태 -> 업종명2.csv.업종명2,고객마스터.csv.업태 -> OneClick고객.csv.업태,,업태,고객마스터.csv,Master,25.83,업태,OneClick고객.csv,Master,20.56,업종명2,업종명2.csv,Reference,58.82,,,,,업태,고객마스터.csv,DS_Input/Internal\고객마스터.csv,Master,93.0,25.83,업태,OneClick고객.csv,DS_Input/Internal\OneClick고객.csv,Master,74.0,20.56,업종명2,업종명2.csv,DS_Input/Reference\업종명2.csv,Reference,30.0,58.82,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Master,0,,업종명2,1,0,업종명2.csv.업종명2,,,업종명2,업종명2.csv,Reference,52.87,,,,,,,,,,,,,업종명2,업종명2.csv,DS_Input/Reference\업종명2.csv,Reference,92.0,52.87,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,ZIP_Code,Master,0,,우편번호구3,4,3,택배_고객.csv.사업자등록우편번호 -> 택배_고객.csv.고객 청구지우편번호 -> CUSTOMER.csv.우편번호 -> 우편번호구3.csv.우편번호구3,택배_고객.csv.사업자등록우편번호 -> 택배_고객.csv.고객 청구지우편번호 -> CUSTOMER.csv.우편번호,,사업자등록우편번호,택배_고객.csv,Master,65.16,고객 청구지우편번호,택배_고객.csv,Master,55.0,우편번호,CUSTOMER.csv,Master,58.89,우편번호구3,우편번호구3.csv,Reference,97.5,사업자등록우편번호,택배_고객.csv,DS_Input/Internal\택배_고객.csv,Master,447.0,65.16,고객 청구지우편번호,택배_고객.csv,DS_Input/Internal\택배_고객.csv,Master,444.0,64.72,우편번호,CUSTOMER.csv,DS_Input/Internal\CUSTOMER.csv,Master,404.0,58.89,우편번호구3,우편번호구3.csv,DS_Input/Reference\우편번호구3.csv,Reference,117.0,97.5
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Address,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Insert_Emp_ID,Master,0,,우편번호3,3,2,COMPANY.csv.Update_Emp_ID -> 사용자.csv.사원번호 -> 우편번호3.csv.우편번호3,COMPANY.csv.Update_Emp_ID -> 사용자.csv.사원번호,,Update_Emp_ID,COMPANY.csv,Master,54.84,사원번호,사용자.csv,Master,27.42,우편번호3,우편번호3.csv,Reference,50.0,,,,,Update_Emp_ID,COMPANY.csv,DS_Input/Internal\COMPANY.csv,Master,34.0,54.84,사원번호,사용자.csv,DS_Input/Internal\사용자.csv,Master,17.0,27.42,우편번호3,우편번호3.csv,DS_Input/Reference\우편번호3.csv,Reference,18.0,50.0,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Update_Emp_ID,Master,0,,,3,3,COMPANY.csv.Insert_Emp_ID -> 사용자.csv.사원번호 -> CONTRACT.csv.ENT_EMP,COMPANY.csv.Insert_Emp_ID -> 사용자.csv.사원번호 -> CONTRACT.csv.ENT_EMP,,Insert_Emp_ID,COMPANY.csv,Master,65.38,사원번호,사용자.csv,Master,36.54,ENT_EMP,CONTRACT.csv,Master,25.0,,,,,Insert_Emp_ID,COMPANY.csv,DS_Input/Internal\COMPANY.csv,Master,34.0,65.38,사원번호,사용자.csv,DS_Input/Internal\사용자.csv,Master,19.0,36.54,ENT_EMP,CONTRACT.csv,DS_Input/Internal\CONTRACT.csv,Master,13.0,25.0,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Management_Type,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Management_Date,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Start_Date,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,End_Date,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Defect Grade(C60),Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Transaction_Suspension,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Transaction_extension,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Transaction_Cancellation,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Road_Name_Code,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Last_Date,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\COMPANY.csv,COMPANY.csv,ETLTime,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,Master,1,,우편번호구3,1,0,우편번호구3.csv.우편번호구3,,,우편번호구3,우편번호구3.csv,Reference,32.43,,,,,,,,,,,,,우편번호구3,우편번호구3.csv,DS_Input/Reference\우편번호구3.csv,Reference,60.0,32.43,,,,,,,,,,,,,,,,,,
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CUSTOMER,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CUST_NO,Master,0,,유효사업자번호3,1,0,사업자등록번호3.csv.유효사업자번호3,,,유효사업자번호3,사업자등록번호3.csv,Reference,88.89,,,,,,,,,,,,,유효사업자번호3,사업자등록번호3.csv,DS_Input/Reference\사업자등록번호3.csv,Reference,16.0,88.89,,,,,,,,,,,,,,,,,,
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
