FilePath,FileName,ColumnName,DetailDataType,MasterType,FormatCnt,UniqueCnt,Format,FormatMin,FormatMax,FormatMedian,FormatValue,Format(%),MatchNo
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Address,ADDRESS,Master,456.0,1345.0,KK KKK KKK nnn-n,경기 광주시 오포읍 561-5,인천 부평구 청천동 427-8,서울 강남구 신사동 517-5,91.0,6.19,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Address,ADDRESS,Master,456.0,1345.0,KK KKK KKK KKK nnn-n,경기 고양시 덕양구 토당동 877-12 신명빌딩 4F,충남 천안시 성환읍 대홍리 161-5,경기 안성시 원곡면 칠곡리 325-1,86.0,5.85,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Address,ADDRESS,Master,456.0,1345.0,KKKKK KKK KKK   nnn-,부산광역시 금정구 구서동   420-1,인천광역시 부평구 십정동   170-46 대경빌딩,서울특별시 강동구 둔촌동   426-17 에이션빌딩,70.0,4.76,3
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Text,Master,295.0,814.0,KK,가방,화물,의류,342.0,23.8,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Text,Master,295.0,814.0,KKsKK,"가방,잡화","피혁,잡화","의류,신발",113.0,7.86,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Text,Master,295.0,814.0,KKK,구두류,화장품,아동복,104.0,7.24,3
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Registration_Number,,Master,2.0,1235.0,nnnnnnnnnn,1010360340,8898701965,2042219777,1420.0,99.86,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Registration_Number,,Master,2.0,1235.0,n,0,0,0,2.0,0.14,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Text,Master,126.0,360.0,KKK,도매업,화장품,도소배,307.0,21.32,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Text,Master,126.0,360.0,KK,개인,행랑,제조,203.0,14.1,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Text,Master,126.0,360.0,KKsKKK,"건설,도소매","제조,조소매","제조,도소매",175.0,12.15,3
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyID,UNIQUE,Master,4.0,1474.0,nnn,100,999,550,900.0,61.06,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyID,UNIQUE,Master,4.0,1474.0,nnnn,1000,9999,1237,474.0,32.16,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyID,UNIQUE,Master,4.0,1474.0,nn,10,99,55,90.0,6.11,3
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyType,Num_Flag,Master,1.0,9.0,n,0,9,1,1474.0,100.0,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name,COMPANY,Master,169.0,1400.0,(K)KKKKK,(주)가배어패럴,(주)흥진플러스,(주)에프앤에프,185.0,12.55,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name,COMPANY,Master,169.0,1400.0,(K)KKKK,(주)가감승제,(주)흥일실업,(주)에브리오,177.0,12.01,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name,COMPANY,Master,169.0,1400.0,KKKK,가온애드,흥성기획,성진섬유,128.0,8.68,3
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Text,Master,100.0,1371.0,KKKK,가감승제,흥일실업,알코리아,370.0,25.1,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Text,Master,100.0,1371.0,KKKKK,가나레포츠,흥진플러스,에스앤에이,298.0,20.22,2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Text,Master,100.0,1371.0,KKK,고고마,휀어스,아인씨,162.0,10.99,3
