FilePath,FileName,ColumnName,MasterType,MasterFilePath,MasterFile,ReferenceMasterType,MasterColumn,CompareLength,CompareCount,SourceCount,MatchRate(%)
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Master,DS_Input/Reference\업종명2.csv,업종명2.csv,Reference,업종명2,2,92,174,52.87
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Registration_Number,Master,DS_Input/Reference\사업자등록번호3.csv,사업자등록번호3.csv,Reference,유효사업자번호3,3,137,155,88.39
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Master,DS_Input/Reference\업종명2.csv,업종명2.csv,Reference,업종명2,2,30,51,58.82
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Insert_Emp_ID,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,18,36,50.0
DS_Input/Internal\COMPANY.csv,COMPANY.csv,ZIP_Code,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,117,120,97.5
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,60,185,32.43
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,CUST_NO,Master,DS_Input/Reference\사업자등록번호3.csv,사업자등록번호3.csv,Reference,유효사업자번호3,3,16,18,88.89
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,ENT_EMP,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,27,123,21.95
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,RETURN_ZIP,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,367,622,59.0
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,RETURN_ZIP,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,256,622,41.16
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,SALES_EMP,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,144,251,57.37
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,SALES_EMP,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,57,251,22.71
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,ZIP,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,367,622,59.0
DS_Input/Internal\CONTRACT.csv,CONTRACT.csv,ZIP,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,256,622,41.16
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,법인번호,Master,DS_Input/Reference\법인번호7.csv,법인번호7.csv,Reference,법인번호7,7,129,152,84.87
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,우편번호,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,337,449,75.06
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,우편번호,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,249,449,55.46
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,주민_사업자등록번호,Master,DS_Input/Reference\사업자등록번호3.csv,사업자등록번호3.csv,Reference,유효사업자번호3,3,609,793,76.8
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,집하지우편번호,Master,DS_Input/Reference\우편번호3.csv,우편번호3.csv,Reference,우편번호3,3,419,530,79.06
DS_Input/Internal\CUSTOMER.csv,CUSTOMER.csv,집하지우편번호,Master,DS_Input/Reference\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,3,254,530,47.92
