Industry,Activity_Type,Activity_Seq,Activity,Activity_Kor,Activity_Description
Manufacture,Primary,1,Inbound Logistics,자재입고 및 구매물류,자재입고 및 구매물류
Manufacture,Primary,2,Operations,생산 운영,생산 운영
Manufacture,Primary,3,Outbound Logistics,제품출하 및 물류,제품출하 및 물류
Manufacture,Primary,4,Marketing & Sales,마케팅 및 영업,마케팅 및 영업
Manufacture,Primary,5,Service,서비스 및 A/S,서비스 및 A/S
Manufacture,Support,6,Support,지원 프로세스,지원 프로세스
test,Primary,1,MKT,마케팅,마케팅 활동 영역
test,Primary,2,Sales1,영업_테스트,영업활동 정의 상세
test,Primary,3,Services,서비스,서비스 활동 영역 정의
test,Support,4,재무활동,재무활동설명,재무활동에 대한 상세 정의
test,Support,5,HR,인사관리,인사/급여관리
물류-택배,Primary,1,Marketing & Sales,마케팅&영업,마케팅 활동을 정의합니다.
물류-택배,Primary,2,Inbound Logistics,집하,집하 활동을 정의합니다.
물류-택배,Primary,3,Operations,간선,간선 활동
물류-택배,Primary,4,Outbound Logistics,배송,배송 활동
물류-택배,Primary,5,Services,사후관리,서비스 관리
물류-택배,Support,6,Finance,재무,재무 관리 
물류-택배,Support,8,Infrastructure,기업인프라,인프라 관리 
물류-택배,Support,7,HR,인적자원관리,인사/급여 관리 
