FilePath,FileName,ColumnName,MasterType,PK,DataType,OracleType,DetailDataType,LenCnt,LenMin,LenMax,LenAvg,LenMode,RecordCnt,SampleRows,ValueCnt,NullCnt,Null(%),UniqueCnt,Unique(%),FormatCnt,Format,FormatValue,Format(%),Format2nd,Format2ndValue,Format2nd(%),Format3rd,Format3rdValue,Format3rd(%),MinString,MaxString,ModeString,MedianString,ModeCnt,Mode(%),FormatMin,FormatMax,FormatMode,FormatMedian,Format2ndMin,Format2ndMax,Format2ndMode,Format2ndMedian,Format3rdMin,Format3rdMax,Format3rdMode,Format3rdMedian,HasBlank,HasDash,HasDot,HasAt,HasAlpha,HasKor,HasNum,HasBracket,HasMinus,HasOnlyAlpha,HasOnlyNum,HasOnlyKor,HasOnlyAlphanum,FirstChrKor,FirstChrNum,FirstChrAlpha,FirstChrSpecial,HasBrokenKor,HasSpecial,HasUnicode,HasUnicode2,HasChinese,HasJapanese,HasTab,HasCr,HasLf,Top10,Top10(%),First1M1,First1Cnt1,First1M2,First1Cnt2,First1M3,First1Cnt3,Last1M1,Last1Cnt1,Last1M2,Last1Cnt2,Last1M3,Last1Cnt3,First2M1,First2Cnt1,First2M2,First2Cnt2,First2M3,First2Cnt3,Last2M1,Last2Cnt1,Last2M2,Last2Cnt2,Last2M3,Last2Cnt3,First3M1,First3Cnt1,First3M2,First3Cnt2,First3M3,First3Cnt3,Last3M1,Last3Cnt1,Last3M2,Last3Cnt2,Last3M3,Last3Cnt3,Null_pct,TypeMixed_pct,LengthVol_pct,Duplicate_pct,RuleFail_pct,DQ_Score,DQ_Issues,Issue_Count
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyID,Master,1,object,VARCHAR2(4),UNIQUE,4.0,1.0,4.0,3.2,3.0,1474,1474,1474,0,0.0,1474,100.0,4.0,nnn,900.0,61.06,nnnn,474.0,32.16,nn,90.0,6.11,0,9999,331,410,1.0,0.07,100,999,100,550,1000,9999,1000,1237,10,99,10,55,0,0,0,0,0,0,1474,0,0,0,1474,0,1474,0,1474,0,0,0,0,0,0,0,0,0,0,0,"[""331"", ""1045"", ""1023"", ""312"", ""1007"", ""989"", ""968"", ""952"", ""950"", ""1047""]",0.68,1,501.0,9,194.0,7,112.0,9,149.0,1,148.0,3,148.0,10,111.0,11,111.0,12,111.0,31,15.0,44,15.0,48,15.0,121,11.0,906,11.0,117,11.0,199,3.0,100,3.0,331,2.0,0.0,38.94,75.0,0.0,0.0,79.02,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,CompanyType,Master,0,object,VARCHAR2(1),Num_Flag,1.0,1.0,1.0,1.0,1.0,1474,1474,1474,0,0.0,9,0.61,1.0,n,1474.0,100.0,,0.0,0.0,,0.0,0.0,0,9,1,1,1393.0,94.5,0,9,1,1,,,,,,,,,0,0,0,0,0,0,1474,0,0,0,1474,0,1474,0,1474,0,0,0,0,0,0,0,0,0,0,0,"[""1"", ""8"", ""2"", ""4"", ""9"", ""3"", ""6"", ""0"", ""7""]",100.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,0.0,0.0,0.0,99.39,0.0,90.06,Very low uniqueness,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name,Master,0,object,VARCHAR2(19),COMPANY,19.0,1.0,19.0,7.4,8.0,1474,1474,1474,0,0.0,1400,94.98,169.0,(K)KKKKK,185.0,12.55,(K)KKKK,177.0,12.01,KKKK,128.0,8.68,(유)컨버스코리아,흥진플러스,0,(주)한독에프엔씨,19.0,1.29,(주)가배어패럴,(주)흥진플러스,(주)세정과미래,(주)에프앤에프,(주)가감승제,(주)흥일실업,(주)그린조이,(주)에브리오,가온애드,흥성기획,대광통상,성진섬유,62,3,9,0,57,1447,33,990,3,395,19,381,425,611,19,18,826,0,7,7,7,0,0,0,0,0,"[""0"", ""제이엔씨트레이딩"", ""(주)세정과미래"", ""(주)세정서울지사"", ""주식회사 제이비"", ""(주)세정"", ""(주)신세계인터내셔날"", ""(주)그린조이"", ""(주)지엠아이"", ""성우물산""]",2.71,(,785.0,[,36.0,주,35.0,),175.0,스,108.0,아,67.0,(주,782.0,주식,32.0,[폐,22.0,주),119.0,리아,64.0,패럴,61.0,(주),782.0,주식회,32.0,[폐점,20.0,(주),118.0,코리아,63.0,어패럴,61.0,0.0,87.45,94.73684210526315,5.019999999999996,0.0,63.42,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Master,0,object,VARCHAR2(16),Text,15.0,1.0,16.0,4.9,4.0,1474,1474,1474,0,0.0,1371,93.01,100.0,KKKK,370.0,25.1,KKKKK,298.0,20.22,KKK,162.0,10.99,(주)골프존커머스,흥화,0,아티스,24.0,1.63,가감승제,흥일실업,바바패션,알코리아,가나레포츠,흥진플러스,더휴컴퍼니,에스앤에이,고고마,휀어스,교학사,아인씨,14,1,3,0,33,1444,35,109,1,1298,24,1289,1332,1378,24,10,62,0,17,17,17,0,0,0,0,0,"[""0"", ""바바패션"", ""라인바이린"", ""더휴컴퍼니"", ""현부"", ""신세계인터내셔날"", ""젯아이씨"", ""제이엔씨트레이딩"", ""지엠아이"", ""에이션패션""]",3.46,에,68.0,(,47.0,한,43.0,스,117.0,아,65.0,),62.0,(주,47.0,제이,26.0,에스,26.0,리아,56.0,패럴,49.0,셔날,31.0,(주),47.0,0,24.0,테스트,10.0,코리아,55.0,어패럴,49.0,내셔날,31.0,0.0,74.9,93.75,6.989999999999995,0.0,66.51,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Registration_Number,Master,0,object,NUMBER(10),,2.0,1.0,10.0,10.0,10.0,1474,1474,1422,52,3.53,1235,86.85,2.0,nnnnnnnnnn,1420.0,99.86,n,2.0,0.14,,0.0,0.0,0,8898701965,2068650913,2041947026,21.0,1.42,1010360340,8898701965,2068650913,2042219777,0,0,0,0,,,,,0,0,0,0,0,0,1422,0,0,0,1422,0,1422,0,1422,0,0,0,0,0,0,0,0,0,0,0,"[""2068650913"", ""1108105034"", ""1428120895"", ""1208690057"", ""1208126337"", ""5708102938"", ""2118716331"", ""2018153657"", ""2098107007"", ""1098159281""]",4.78,1,634.0,2,578.0,5,96.0,9,163.0,8,147.0,0,146.0,20,273.0,21,237.0,12,232.0,13,37.0,12,26.0,59,22.0,206,90.0,211,77.0,120,67.0,913,22.0,034,8.0,938,8.0,3.53,0.14000000000000057,90.0,13.150000000000006,0.0,83.74,Length volatility,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Type,Master,0,object,VARCHAR2(19),Text,18.0,1.0,19.0,5.2,6.0,1474,1474,1440,34,2.31,360,25.0,126.0,KKK,307.0,21.32,KK,203.0,14.1,KKsKKK,175.0,12.15,0,화장품 도매업,"제조,도소매",제조,151.0,10.24,도매업,화장품,도소매,도소배,개인,행랑,제조,제조,"건설,도소매","제조,조소매","제조,도소매","제조,도소매",71,0,16,0,0,1431,15,6,0,596,8,596,611,1431,8,0,1,0,0,0,0,0,0,0,0,0,"[""제조,도소매"", ""도소매"", ""제조"", ""제조/도소매"", ""제조업"", ""서비스"", ""도매"", ""제조,도매"", ""제조/도매"", ""도소매/제조""]",52.71,제,748.0,도,421.0,서,95.0,매,780.0,업,215.0,조,176.0,제조,742.0,도소,238.0,도매,161.0,소매,582.0,도매,197.0,제조,176.0,"제조,",293.0,도소매,237.0,제조/,175.0,도소매,442.0,서비스,117.0,제조,109.0,2.31,78.68,94.73684210526315,75.0,0.0,57.7,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Business_Item,Master,0,object,VARCHAR2(33),Text,29.0,1.0,33.0,6.2,2.0,1474,1474,1437,37,2.51,814,56.65,295.0,KK,342.0,23.8,KKsKK,113.0,7.86,KKK,104.0,7.24,0,화장품/잡화,의류,의류,233.0,15.81,가방,화물,의류,의류,"가방,잡화","피혁,잡화","의류,잡화","의류,신발",구두류,화장품,기성복,아동복,103,0,7,0,2,1427,20,21,0,680,9,680,697,1427,9,0,1,0,0,0,0,0,0,0,0,0,"[""의류"", ""의류,잡화"", ""의류,무역"", ""대형할인점"", ""제조"", ""의류/무역"", ""기성복"", ""도소매"", ""도매"", ""무역""]",28.11,의,574.0,기,65.0,무,50.0,류,318.0,역,137.0,화,125.0,의류,566.0,기성,57.0,무역,49.0,의류,301.0,무역,135.0,잡화,124.0,의류,233.0,"의류,",167.0,의류/,97.0,의류,233.0,/무역,56.0,",잡화",52.0,2.51,76.2,96.96969696969697,43.35,0.0,61.07,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,ZIP_Code,Master,0,object,VARCHAR2(6),,3.0,1.0,6.0,6.0,6.0,1474,1474,1474,0,0.0,686,46.54,3.0,nnnnnn,1470.0,99.73,n,3.0,0.2,asnnn,1.0,0.07,0,ﾵ﾿100,135080,143130,43.0,2.92,100011,791922,135080,143130,0,0,0,0,ﾵ﾿100,ﾵ﾿100,ﾵ﾿100,ﾵ﾿100,0,0,0,0,0,0,1474,0,0,0,1473,0,1473,0,1473,1,0,0,1,1,1,0,0,0,0,0,"[""135080"", ""135010"", ""130100"", ""135120"", ""133120"", ""153023"", ""133827"", ""100450"", ""137070"", ""135090""]",16.96,1,921.0,4,394.0,7,78.0,0,963.0,1,109.0,2,99.0,13,576.0,46,154.0,15,141.0,10,143.0,20,131.0,30,112.0,135,215.0,133,89.0,100,75.0,010,92.0,120,68.0,080,66.0,0.0,0.269999999999996,83.33333333333334,53.46,0.0,82.09,Length volatility,1
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Address,Master,0,object,VARCHAR2(48),ADDRESS,40.0,2.0,48.0,21.7,16.0,1474,1474,1471,3,0.2,1345,91.43,456.0,KK KKK KKK nnn-n,91.0,6.19,KK KKK KKK KKK nnn-n,86.0,5.85,KKKKK KKK KKK   nnn-,70.0,4.76,"강원 원주시 행구동 1008-4,5",한국,서울특별시 성동구 성수동2가   333-16 성수이마트 업무시설,서울 광진구 자양동 666-28 경남아너스빌 상가1층,20.0,1.36,경기 광주시 오포읍 561-5,인천 부평구 청천동 427-8,서울 강남구 신사동 517-5,서울 강남구 신사동 517-5,경기 고양시 덕양구 토당동 877-12 신명빌딩 4F,충남 천안시 성환읍 대홍리 161-5,경기 광주시 오포읍 문형리 262-42,경기 안성시 원곡면 칠곡리 325-1,부산광역시 금정구 구서동   420-1,인천광역시 부평구 십정동   170-46 대경빌딩,서울특별시 강남구 삼성동   157-0,서울특별시 강동구 둔촌동   426-17 에이션빌딩,1470,1197,3,0,121,1471,1451,60,1197,1,0,1,1,1471,0,0,0,0,3,5,5,0,0,0,0,0,"[""서울특별시 성동구 성수동2가   333-16 성수이마트 업무시설"", ""서울특별시 중구 서소문동   58-12 대한통운빌딩"", ""서울 금천구 독산동 123"", ""서울 은평구 신사동 1"", ""서울 강동구 길동 385-10"", ""서울 강남구 신사동 517-5"", ""서울 동대문구 장안동 430-18"", ""서울 중구 봉래동1가 48-3"", ""서울특별시 강남구 삼성동   157-0"", ""경기 광주시 도척면 노곡리 64-8""]",4.08,서,923.0,경,389.0,대,81.0,층,203.0,1,165.0,3,111.0,서울,923.0,경기,380.0,대구,74.0,-1,81.0,빌딩,75.0,번지,56.0,서울 ,723.0,경기 ,280.0,서울특,199.0, 2층,42.0, 3층,38.0,-10,27.0,0.2,93.81,95.83333333333334,8.569999999999993,0.0,61.24,"Mixed formats, Length volatility",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Insert_Emp_ID,Master,0,object,VARCHAR2(8),,5.0,4.0,8.0,5.4,5.0,1474,1474,1474,0,0.0,62,4.21,8.0,nnnnn,1111.0,75.37,nnnnnnn,253.0,17.16,nnnnnn,72.0,4.88,1010074,ￇ￑ﾰ￦￈￱,90501,31974,369.0,25.03,23856,90502,90501,52928,1010074,2018203,1112215,1112215,210921,910070,910070,811473,0,0,0,0,33,0,1454,0,0,17,1438,0,1471,0,1438,36,0,0,3,3,3,0,0,0,0,0,"[""90501"", ""31974"", ""31408"", ""23856"", ""23864"", ""1112215"", ""52928"", ""90502"", ""1112171"", ""81146""]",76.46,9,446.0,3,381.0,1,229.0,1,416.0,4,340.0,8,176.0,90,412.0,31,381.0,23,189.0,01,369.0,74,255.0,08,128.0,905,412.0,319,253.0,238,189.0,501,369.0,974,251.0,408,128.0,0.0,24.629999999999995,50.0,95.79,0.0,76.76,"Length volatility, Very low uniqueness",2
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Update_Emp_ID,Master,0,object,VARCHAR2(8),,5.0,4.0,8.0,6.2,7.0,1474,1474,876,598,40.57,52,5.94,9.0,nnnnnnn,461.0,52.63,nnnnn,292.0,33.33,nnnnnn,82.0,9.36,1010236,ￇ￑ﾰ￦￈￱,64519,2120241,192.0,13.03,1010236,2120241,2120241,1610361,23856,82201,64519,64519,210921,931098,645190,645190,0,0,0,0,24,0,869,0,0,6,851,0,875,0,851,25,0,0,1,1,1,0,0,0,0,0,"[""64519"", ""2120241"", ""1510821"", ""645190"", ""1710203"", ""1110196"", ""1210064"", ""1112215"", ""73737"", ""82201""]",75.8,1,299.0,6,253.0,2,186.0,1,272.0,9,192.0,0,99.0,64,252.0,21,159.0,11,82.0,19,192.0,41,157.0,90,80.0,645,251.0,212,157.0,111,82.0,519,192.0,241,157.0,190,79.0,40.57,47.37,50.0,94.06,0.0,55.02,"High NULLs, Mixed formats, Length volatility, Very low uniqueness",4
DS_Input/Internal\COMPANY.csv,COMPANY.csv,Management_Type,Master,0,object,VARCHAR2(1),Alpha_Flag,1.0,1.0,1.0,1.0,1.0,1474,1474,1282,192,13.03,4,0.31,1.0,A,1282.0,100.0,,0.0,0.0,,0.0,0.0,A,D,D,D,927.0,62.89,A,D,D,D,,,,,,,,,0,0,0,0,1282,0,0,0,0,1282,0,0,1282,0,0,1282,0,0,0,0,0,0,0,0,0,0,"[""D"", ""B"", ""C"", ""A""]",100.0,D,927.0,B,125.0,C,118.0,D,927.0,B,125.0,C,118.0,D,927.0,B,125.0,C,118.0,D,927.0,B,125.0,C,118.0,D,927.0,B,125.0,C,118.0,D,927.0,B,125.0,C,118.0,13.03,0.0,0.0,99.69,0.0,84.82,Very low uniqueness,1
