No,FilePath,FileName,MasterType,ColumnName,DataType,OracleType,DetailDataType,PK,ValueCnt,RecordCnt,Null(%),UniqueCnt,Unique(%),CompareLength,Format,FormatValue,Format(%),FormatMin_1,FormatMax_1,FormatMedian_1,Format_2,Format_2Value,Format_2(%),FormatMin_2,FormatMax_2,FormatMedian_2,Format_3,Format_3Value,Format_3(%),FormatMin_3,FormatMax_3,FormatMedian_3,FormatCnt,Format2nd,Format2ndValue,Format2nd(%),Format3rd,Format3rdValue,Format3rd(%),LenMin,LenMax,LenAvg,MinString,MaxString,ModeString,ModeCnt,Top10,Top10(%),First1M1,First1Cnt1,First1M2,First1Cnt2,First1M3,First1Cnt3,Last1M1,Last1Cnt1,Last1M2,Last1Cnt2,Last1M3,Last1Cnt3,First2M1,First2Cnt1,First2M2,First2Cnt2,First2M3,First2Cnt3,Last2M1,Last2Cnt1,Last2M2,Last2Cnt2,Last2M3,Last2Cnt3,First3M1,First3Cnt1,First3M2,First3Cnt2,First3M3,First3Cnt3,Last3M1,Last3Cnt1,Last3M2,Last3Cnt2,Last3M3,Last3Cnt3,TotalRecords,Null_pct,TypeMixed_pct,LengthVol_pct,Duplicate_pct,RuleFail_pct,DQ_Score,DQ_Issues,Issue_Count,Rule,MatchedScoreList,CodeFilePath_1,CodeFile_1,CodeType_1,CodeColumn_1,Matched_1,Matched(%)_1,CodeFilePath_2,CodeFile_2,CodeType_2,CodeColumn_2,Matched_2,Matched(%)_2,CodeFilePath_3,CodeFile_3,CodeType_3,CodeColumn_3,Matched_3,Matched(%)_3,CodeFilePath_4,CodeFile_4,CodeType_4,CodeColumn_4,CompareLength_ref,Matched_4,SourceCount,Matched(%)_4,Attribute,FK
1,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,CompanyID,object,VARCHAR2(4),UNIQUE,1,1474,1474,0.0,1474,100.0,1.0,nnn,900.0,61.06,100,999,550,nnnn,474.0,32.16,1000,9999,1237,nn,90.0,6.11,10,99,55,4.0,nnnn,474.0,32.16,nn,90.0,6.11,1.0,4.0,3.2,0,9999,0,1.0,"[""331"", ""1045"", ""1023"", ""312"", ""1007"", ""989"", ""968"", ""952"", ""950"", ""1047""]",0.68,1,501.0,9,194.0,7,112.0,9,149.0,1,148.0,3,148.0,10,111.0,11,111.0,12,111.0,31,15.0,44,15.0,48,15.0,121,11.0,906,11.0,117,11.0,199,3.0,100,3.0,331,2.0,1474,0.0,38.94,75.0,0.0,0.0,79.02,"Mixed formats, Length volatility",2,,,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,집하지대번지,10.0,100.0,DataSense/1_Master_Code/Source\ORGNIZATION.csv,ORGNIZATION.csv,Master,상위조직코드,10.0,100.0,DataSense/1_Master_Code/Source\기업고객.csv,기업고객.csv,Master,집하지대번지,10.0,100.0,,,,,,,,,,
2,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,CompanyType,object,VARCHAR2(1),Num_Flag,0,1474,1474,0.0,9,0.61,0.0,n,1474.0,100.0,0,9,1,,0.0,0.0,,,,,0.0,0.0,,,,1.0,,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0,9,1,1393.0,"[""1"", ""8"", ""2"", ""4"", ""9"", ""3"", ""6"", ""0"", ""7""]",100.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1,1393.0,8,28.0,2,21.0,1474,0.0,0.0,0.0,99.39,0.0,90.06,Very low uniqueness,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Company_Name,object,VARCHAR2(19),COMPANY,0,1474,1474,0.0,1400,94.98,1.0,(K)KKKKK,185.0,12.55,(주)가배어패럴,(주)흥진플러스,(주)에프앤에프,(K)KKKK,177.0,12.01,(주)가감승제,(주)흥일실업,(주)에브리오,KKKK,128.0,8.68,가온애드,흥성기획,성진섬유,169.0,(K)KKKK,177.0,12.01,KKKK,128.0,8.68,1.0,19.0,7.4,(유)컨버스코리아,흥진플러스,0,19.0,"[""0"", ""제이엔씨트레이딩"", ""(주)세정과미래"", ""(주)세정서울지사"", ""주식회사 제이비"", ""(주)세정"", ""(주)신세계인터내셔날"", ""(주)그린조이"", ""(주)지엠아이"", ""성우물산""]",2.71,(,785.0,[,36.0,주,35.0,),175.0,스,108.0,아,67.0,(주,782.0,주식,32.0,[폐,22.0,주),119.0,리아,64.0,패럴,61.0,(주),782.0,주식회,32.0,[폐점,20.0,(주),118.0,코리아,63.0,어패럴,61.0,1474,0.0,87.45,94.73684210526315,5.019999999999996,0.0,63.42,"Mixed formats, Length volatility",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Company_Name_Abbreviation,object,VARCHAR2(16),Text,0,1474,1474,0.0,1371,93.01,1.0,KKKK,370.0,25.1,가감승제,흥일실업,알코리아,KKKKK,298.0,20.22,가나레포츠,흥진플러스,에스앤에이,KKK,162.0,10.99,고고마,휀어스,아인씨,100.0,KKKKK,298.0,20.22,KKK,162.0,10.99,1.0,16.0,4.9,(주)골프존커머스,흥화,0,24.0,"[""0"", ""바바패션"", ""라인바이린"", ""더휴컴퍼니"", ""현부"", ""신세계인터내셔날"", ""젯아이씨"", ""제이엔씨트레이딩"", ""지엠아이"", ""에이션패션""]",3.46,에,68.0,(,47.0,한,43.0,스,117.0,아,65.0,),62.0,(주,47.0,제이,26.0,에스,26.0,리아,56.0,패럴,49.0,셔날,31.0,(주),47.0,0,24.0,테스트,10.0,코리아,55.0,어패럴,49.0,내셔날,31.0,1474,0.0,74.9,93.75,6.989999999999995,0.0,66.51,"Mixed formats, Length volatility",2,,,DataSense/1_Master_Code/Source\관리회계_고객.csv,관리회계_고객.csv,Master,고객명,270.0,92.47,DataSense/2_Operation_Code/Source\사업자등록번호정보.csv,사업자등록번호정보.csv,Operation,고객명,265.0,90.75,DataSense/1_Master_Code/Source\계약마스터.csv,계약마스터.csv,Master,고객명,259.0,88.7,DataSense/5_Reference_Code/Source\사업자명5.csv,사업자명5.csv,Reference,사업자명5,1.0,251.0,292.0,85.96,사업자명5,FK
5,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Business_Registration_Number,object,NUMBER(10),,0,1422,1474,3.53,1235,86.85,1.0,nnnnnnnnnn,1420.0,99.86,1010360340,8898701965,2042219777,n,2.0,0.14,0,0,0,,0.0,0.0,,,,2.0,n,2.0,0.14,,0.0,0.0,1.0,10.0,10.0,0,8898701965,2068650913,21.0,"[""2068650913"", ""1108105034"", ""1428120895"", ""1208690057"", ""1208126337"", ""5708102938"", ""2118716331"", ""2018153657"", ""2098107007"", ""1098159281""]",4.78,1,634.0,2,578.0,5,96.0,9,163.0,8,147.0,0,146.0,20,273.0,21,237.0,12,232.0,13,37.0,12,26.0,59,22.0,206,90.0,211,77.0,120,67.0,913,22.0,034,8.0,938,8.0,1474,3.53,0.14000000000000057,90.0,13.150000000000006,0.0,83.74,Length volatility,1,,,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,주민_사업자등록번호,9.0,100.0,DataSense/1_Master_Code/Source\개인고객.csv,개인고객.csv,Master,사업자등록번호,9.0,100.0,DataSense/1_Master_Code/Source\관리회계_고객.csv,관리회계_고객.csv,Master,사업자등록번호,9.0,100.0,DataSense/5_Reference_Code/Source\HS부호.csv,HS부호.csv,Reference,HS부호,1.0,9.0,9.0,100.0,HS부호,
6,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Business_Type,object,VARCHAR2(19),Text,0,1440,1474,2.31,360,25.0,1.0,KKK,307.0,21.32,도매업,화장품,도소배,KK,203.0,14.1,개인,행랑,제조,KKsKKK,175.0,12.15,"건설,도소매","제조,조소매","제조,도소매",126.0,KK,203.0,14.1,KKsKKK,175.0,12.15,1.0,19.0,5.2,0,화장품 도매업,"제조,도소매",151.0,"[""제조,도소매"", ""도소매"", ""제조"", ""제조/도소매"", ""제조업"", ""서비스"", ""도매"", ""제조,도매"", ""제조/도매"", ""도소매/제조""]",52.71,제,748.0,도,421.0,서,95.0,매,780.0,업,215.0,조,176.0,제조,742.0,도소,238.0,도매,161.0,소매,582.0,도매,197.0,제조,176.0,"제조,",293.0,도소매,237.0,제조/,175.0,도소매,442.0,서비스,117.0,제조,109.0,1474,2.31,78.68,94.73684210526315,75.0,0.0,57.7,"Mixed formats, Length volatility",2,,,DataSense/1_Master_Code/Source\CONTRACT.csv,CONTRACT.csv,Master,CUSTOMER,34.0,87.18,DataSense/2_Operation_Code/Source\택배_고객.csv,택배_고객.csv,Operation,한글고객명,34.0,87.18,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,고객명,33.0,84.62,DataSense/5_Reference_Code/Source\농림축산품종명.csv,농림축산품종명.csv,Reference,농림축산품종명,1.0,35.0,39.0,89.74,농림축산품종명,
7,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Business_Item,object,VARCHAR2(33),Text,0,1437,1474,2.51,814,56.65,1.0,KK,342.0,23.8,가방,화물,의류,KKsKK,113.0,7.86,"가방,잡화","피혁,잡화","의류,신발",KKK,104.0,7.24,구두류,화장품,아동복,295.0,KKsKK,113.0,7.86,KKK,104.0,7.24,1.0,33.0,6.2,0,화장품/잡화,의류,233.0,"[""의류"", ""의류,잡화"", ""의류,무역"", ""대형할인점"", ""제조"", ""의류/무역"", ""기성복"", ""도소매"", ""도매"", ""무역""]",28.11,의,574.0,기,65.0,무,50.0,류,318.0,역,137.0,화,125.0,의류,566.0,기성,57.0,무역,49.0,의류,301.0,무역,135.0,잡화,124.0,의류,233.0,"의류,",167.0,의류/,97.0,의류,233.0,/무역,56.0,",잡화",52.0,1474,2.51,76.2,96.96969696969697,43.35,0.0,61.07,"Mixed formats, Length volatility",2,,,DataSense/2_Operation_Code/Source\택배_고객.csv,택배_고객.csv,Operation,업종상세내역,103.0,94.5,DataSense/1_Master_Code/Source\OneClick고객.csv,OneClick고객.csv,Master,업종명,102.0,93.58,,,,,,,DataSense/5_Reference_Code/Source\업종명2.csv,업종명2.csv,Reference,업종명2,1.0,101.0,109.0,92.66,업종명2,
8,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,ZIP_Code,object,VARCHAR2(6),,0,1474,1474,0.0,686,46.54,1.0,nnnnnn,1470.0,99.73,100011,791922,143130,n,3.0,0.2,0,0,0,asnnn,1.0,0.07,ﾵ﾿100,ﾵ﾿100,ﾵ﾿100,3.0,n,3.0,0.2,asnnn,1.0,0.07,1.0,6.0,6.0,0,ﾵ﾿100,135080,43.0,"[""135080"", ""135010"", ""130100"", ""135120"", ""133120"", ""153023"", ""133827"", ""100450"", ""137070"", ""135090""]",16.96,1,921.0,4,394.0,7,78.0,0,963.0,1,109.0,2,99.0,13,576.0,46,154.0,15,141.0,10,143.0,20,131.0,30,112.0,135,215.0,133,89.0,100,75.0,010,92.0,120,68.0,080,66.0,1474,0.0,0.269999999999996,83.33333333333334,53.46,0.0,82.09,Length volatility,1,,,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,우편번호,8.0,88.89,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,집하지우편번호,8.0,88.89,DataSense/1_Master_Code/Source\CUSTOMER.csv,CUSTOMER.csv,Master,청구지우편번호,8.0,88.89,DataSense/5_Reference_Code/Source\우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,1.0,7.0,9.0,77.78,우편번호구3,
9,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Address,object,VARCHAR2(48),ADDRESS,0,1471,1474,0.2,1345,91.43,1.0,KK KKK KKK nnn-n,91.0,6.19,경기 광주시 오포읍 561-5,인천 부평구 청천동 427-8,서울 강남구 신사동 517-5,KK KKK KKK KKK nnn-n,86.0,5.85,경기 고양시 덕양구 토당동 877-12 신명빌딩 4F,충남 천안시 성환읍 대홍리 161-5,경기 안성시 원곡면 칠곡리 325-1,KKKKK KKK KKK   nnn-,70.0,4.76,부산광역시 금정구 구서동   420-1,인천광역시 부평구 십정동   170-46 대경빌딩,서울특별시 강동구 둔촌동   426-17 에이션빌딩,456.0,KK KKK KKK KKK nnn-n,86.0,5.85,KKKKK KKK KKK   nnn-,70.0,4.76,2.0,48.0,21.7,"강원 원주시 행구동 1008-4,5",한국,서울특별시 성동구 성수동2가   333-16 성수이마트 업무시설,20.0,"[""서울특별시 성동구 성수동2가   333-16 성수이마트 업무시설"", ""서울특별시 중구 서소문동   58-12 대한통운빌딩"", ""서울 금천구 독산동 123"", ""서울 은평구 신사동 1"", ""서울 강동구 길동 385-10"", ""서울 강남구 신사동 517-5"", ""서울 동대문구 장안동 430-18"", ""서울 중구 봉래동1가 48-3"", ""서울특별시 강남구 삼성동   157-0"", ""경기 광주시 도척면 노곡리 64-8""]",4.08,서,923.0,경,389.0,대,81.0,층,203.0,1,165.0,3,111.0,서울,923.0,경기,380.0,대구,74.0,-1,81.0,빌딩,75.0,번지,56.0,서울,723.0,경기,280.0,서울특,199.0,2층,42.0,3층,38.0,-10,27.0,1474,0.2,93.81,95.83333333333334,8.569999999999993,0.0,61.24,"Mixed formats, Length volatility",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DataSense/1_Master_Code/Source\COMPANY.csv,COMPANY.csv,Master,Insert_Emp_ID,object,VARCHAR2(8),,0,1474,1474,0.0,62,4.21,1.0,nnnnn,1111.0,75.37,23856,90502,52928,nnnnnnn,253.0,17.16,1010074,2018203,1112215,nnnnnn,72.0,4.88,210921,910070,811473,8.0,nnnnnnn,253.0,17.16,nnnnnn,72.0,4.88,4.0,8.0,5.4,1010074,ￇ￑ﾰ￦￈￱,90501,369.0,"[""90501"", ""31974"", ""31408"", ""23856"", ""23864"", ""1112215"", ""52928"", ""90502"", ""1112171"", ""81146""]",76.46,9,446.0,3,381.0,1,229.0,1,416.0,4,340.0,8,176.0,90,412.0,31,381.0,23,189.0,01,369.0,74,255.0,08,128.0,905,412.0,319,253.0,238,189.0,501,369.0,974,251.0,408,128.0,1474,0.0,24.629999999999995,50.0,95.79,0.0,76.76,"Length volatility, Very low uniqueness",2,,,DataSense/2_Operation_Code/Source\선박.csv,선박.csv,Operation,총중량,8.0,61.54,,,,,,,,,,,,,DataSense/5_Reference_Code/Source\우편번호3.csv,우편번호3.csv,Reference,우편번호3,1.0,5.0,13.0,38.46,우편번호3,
