No,FilePath,FileName,MasterType,ColumnName,PK,DetailDataType,Unique(%),FormatCnt,Format,Format(%),MinString,MaxString,CodeColumn_1,CodeFile_1,CodeFilePath_1,CodeType_1,Matched(%)_1,FK
1,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업체코드,1,UNIQUE,100,1,nnnn,100,0000,9999,조직코드,택배_조직도.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_조직도.csv,Operation,35.28,FK
2,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업체구분,0,Num_Flag,0.61,1,n,100,0,9,Num_Flag,Rule,Rule,Rule,100,
3,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업체명,0,COMPANY,95.25,173,(K)KKKKK,12.55,(유)컨버스코리아,흥진플러스,,,,,,
4,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업체명약어,0,Text,93.28,104,KKKK,25.1,(주)골프존커머스,흥화,상호명5,상호명5.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/상호명5.csv,Reference,46.5,FK
5,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,사업자등록번호,0,,83.79,1,nnnnnnnnnn,100,0000000000,8898701965,사업자등록번호5,사업자등록번호5.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/사업자등록번호5.csv,Reference,92.74,FK
6,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업태,0,Text,24.56,128,KKK,21.32,0,화장품 도매업,업종명2,업종명2.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/업종명2.csv,Reference,57.69,FK
7,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업종,0,Text,55.36,297,KK,23.8,0,화장품/잡화,업종명2,업종명2.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/업종명2.csv,Reference,52.57,FK
8,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,우편번호,0,,46.54,2,nnnnnn,99.93,000000,ﾵ﾿100,우편번호구3,우편번호구3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/우편번호구3.csv,Reference,97.5,FK
9,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,주소,0,ADDRESS,91.25,456,KK KKK KKK nnn-n,6.19,"강원 원주시 행구동 1008-4,5",한국,ADDRESS,Rule,Rule,Rule,100,
10,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,최초등록자,0,,4.21,6,nnnnnn,75.58,003190,ￇ￑ﾰ￦￈￱,사원번호,사용자.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/사용자.csv,Operation,40.32,FK
11,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,최종변경자,0,,3.53,7,nnnnnnn,61.87,003190,ￇ￑ﾰ￦￈￱,최초등록자,COMPANY.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,Master,65.38,
12,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,업체관리구분,0,Alpha_Flag,0.27,1,A,100,A,D,Alpha_Flag,Rule,Rule,Rule,100,
13,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,영업사원관리일자,0,DATECHAR,10.52,1,nnnnnnnn,100,20110122,20220429,DATECHAR,Rule,Rule,Rule,100,
14,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,계약시작일,0,DATECHAR,52.58,1,nnnnnnnn,100,00000000,20230920,연월일,연월일.csv,C:/projects/myproject/QDQM/DataSense/6_Validation_Code/Source/연월일.csv,Validation,99.87,FK
15,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,계약종료일,0,DATECHAR,26.46,1,nnnnnnnn,100,20020812,20241231,DATECHAR,Rule,Rule,Rule,100,
16,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,불량등급관리(C60),0,Alpha_Flag,0.75,1,A,100,A,Y,불량등급코드,불량등급.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/불량등급.csv,Master,100,FK
17,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,거래정지사유,0,,0.61,6,KK,47.93,기타불량,���ㅽ�� ���� 遺��� �깅�,,,,,,
18,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,거래연장사유,0,,0.61,6,KK,42.03,O,회생,,,,,,
19,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,거래해제사유,0,,0.2,3,KK,99.47,거래해제사유,����,,,,,,
20,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,도로명코드,0,,7.33,2,n.nnnnnAsnn,99.68,1.11103E+11,4.87303E+11,,,,,,
21,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,최종변경일시,0,TIME,0.07,1,nn:nn.n,100,04:59.8,04:59.8,TIME,Rule,Rule,Rule,100,
22,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,ETL일시,0,TIME,0.07,1,nn:nn.n,100,04:59.8,04:59.8,TIME,Rule,Rule,Rule,100,
23,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,계약번호,1,UNIQUE,100,3,nnnnnnn,76.81,0000849,ㄱ헌,고객번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,FK
24,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,계약명,0,Text,91.5,727,KKK,27.93,(WN)지에이플러스,힙합,KOR_NAME,Rule,Rule,Rule,100,
25,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,고객번호,0,,92.17,4,nnnnnnnnnn,99.83,1000000025,94429,유효사업자번호3,사업자등록번호3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/사업자등록번호3.csv,Reference,88.89,FK
26,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,판매일자,0,DATECHAR,40.66,1,nnnnnnnn,100,19990101,20240101,DATECHAR,Rule,Rule,Rule,100,
27,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,판매조직코드,0,,0.91,4,AAAAAAA,73.43,ANDOCHT,YONOCHT,판매점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
28,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,판매사원번호,0,,9.94,2,nnnnnnn,99.96,0010010,HJT0103,판매원사번,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,99.9,
29,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,판매유형코드,0,,0.04,2,AAAAA,97.71,3,GROUP,,,,,,
30,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,우편번호,0,,63.83,2,nnnnnn,62.63,01002,799821,우편번호3,우편번호3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/우편번호3.csv,Reference,78.91,FK
31,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,주소,0,ADDRESS,57.61,1308,KKKKK KKK KKK,5.36,"107동 1804호 ((민락동, 송산푸르지오))",화성  반송,ADDRESS,Rule,Rule,Rule,100,
32,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,상세주소,0,,73.33,3245,nK,3.84,((주)광진상사),흰주택 1층,,,,,,
33,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,반품배송우편번호,0,,63.84,2,nnn-nnn,62.75,01002,799-821,우편번호3,우편번호3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/우편번호3.csv,Reference,78.95,FK
34,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,반품배송기본주소,0,ADDRESS,56.44,1252,KKKKK KKK KKK,5.58,"107동 1804호 ((민락동, 송산푸르지오))",화성  반송,ADDRESS,Rule,Rule,Rule,100,
35,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,반품배송상세주소,0,,73.36,3246,nK,3.83,((주)광진상사),흰주택 1층,,,,,,
36,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,계약시작일자,0,DATECHAR,40.36,2,nnnn-nn-nn,99.86,--,2024-01-01,DATECHAR,Rule,Rule,Rule,99.86000061035156,
37,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,계약종료일자,0,DATECHAR,37.94,2,nnnn-nn-nn,76.82,//,3021-12-31,DATECHAR,Rule,Rule,Rule,76.81999969482422,
38,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,거래중지여부,0,YN_Flag,0.02,1,A,100,N,Y,YN_Flag; Alpha_Flag,Rule,Rule,Rule,100,
39,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,거래중지사유,0,ADDRESS,0.84,41,KKKK KKK KK KKKK,27.8,1082546507,폐업,,,,,,
40,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,거래중지일자,0,DATECHAR,1.55,1,nnnnnnnn,100,20230410,20231225,DATECHAR,Rule,Rule,Rule,100,
41,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,수하인관리여부,0,YN_Flag,0.02,1,A,100,N,Y,YN_Flag; Alpha_Flag,Rule,Rule,Rule,100,
42,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,조직코드,0,,11.66,2,nnnn,99.96,0000,AT1,집하점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
43,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,사원번호,0,,12.16,1,nnnnnnn,100,0055613,9599354,사원번호,사원기본.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/사원기본.csv,Operation,100,FK
44,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,청구조직코드,0,,1.1,4,AAAAA,99.06,ADGDD,YSNKE,HJT청구점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
45,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,수금조직코드,0,,1.1,3,AAAAA,97.72,ADGDD,YSNKE,HJT수금점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
46,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,수입조직코드,0,,0.97,1,nnnn,100,1111,1613,요청일련번호,WAM_표준단어.csv,C:/projects/myproject/QDQM/DataSense/3_Attribute_Code/Source/WAM_표준단어.csv,Attribute,100,
47,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,지불구분코드,0,,0.02,2,AAAA,55.69,CASH,CREDIT,,,,,,
48,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,계약단가,0,,2.05,5,nnnn,83.15,0,8800,계약단가,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
49,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,착불수수료_COD수수료,0,,0.04,3,n,99.96,0,500,,,,,,
50,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,개발조직코드,0,,4.33,2,nnnn,99.64,0000,AT1,집하점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
51,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,체적이미지관리여부,0,YN_Flag,0.02,1,A,100,N,Y,YN_Flag; Alpha_Flag,Rule,Rule,Rule,100,
52,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,우수계약여부,0,YN_Flag,0.02,1,A,100,N,Y,YN_Flag; Alpha_Flag,Rule,Rule,Rule,100,
53,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,등록사원번호,0,,4.01,5,nnnnnnn,97.58,0010021,TJNBRHT,최종변경자사번,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,99.75,
54,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,최종사원업데이트일시,0,TIME,1.17,1,nn:nn.n,100,00:00.0,58:08.0,TIME,Rule,Rule,Rule,100,
55,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,Master,최종업데이트사원번호,0,,0.67,2,nnnnnnn,99.63,0011550,CntractApi,등록사원번호,CONTRACT.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,Master,97.01,
56,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,고객번호,1,UNIQUE,100,2,nnnnnnn,77.35,0000203,S183980,고객번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,FK
57,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,개인기업고객구분,0,Alpha_Flag,0.02,1,A,100,C,P,Alpha_Flag,Rule,Rule,Rule,100,
58,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,사업구분,0,Alpha_Flag,0.02,1,A,100,D,I,Alpha_Flag,Rule,Rule,Rule,100,
59,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,고객명,0,Text,91.97,723,KKK,27.08,(EDP)평촌점,힙합보이,KOR_NAME,Rule,Rule,Rule,100,
60,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,영문고객명,0,,2.69,180,A,6.14,.,youngsangdang,,,,,,
61,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,국가코드,0,,0.07,1,AA,100,AU,US,,,,,,
62,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,주민_사업자등록번호,0,,89.95,3,nnnnnnnnnn,99.98,0000000000,9999999999,주민_사업자등록번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
63,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,우편번호,0,,32.18,3,nnnnnn,83.35,01325,791947,사업자등록우편번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
64,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,주소,0,,77.47,3079,nnn-n,6.83,"""823-22 성곡빌딩7,8층""",？앙로109번길 54,,,,,,
65,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,청구부서,0,Text,3.53,49,KK,41.02,(주)에세텔,횡성권건설단,고객 청구부서,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
66,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,청구지우편번호,0,YYMMDD,36.14,2,nnnnnn,84.14,01070,791947,고객 청구지우편번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
67,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,청구지주소,0,,54.35,2075,nnn-n,8.75,"""823-22 성곡빌딩7,8층""",힐헤븐 빌딩,,,,,,
68,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,판매일,0,DATECHAR,40.82,1,nnnnnnnn,100,19981231,20240101,DATECHAR,Rule,Rule,Rule,100,
69,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,판매점소,0,,0.95,4,AAAAA,60.32,ANDOCHT,YSUDSHT,판매점소,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
70,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,판매원사번,0,,10.03,2,nnnnnnn,99.97,0010010,HJT0103,판매원사번,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
71,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,담당부서,0,Text,7.95,113,KK,48.23,(유)푸드원,희망몰,담당부서,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
72,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,집하지우편번호,0,,63.39,3,nnnnnn,62.71,01002,791910,집하지우편번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,100,
73,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,집하지대번지,0,,13.84,35,nnn,53.96,.,황산리,집하지대번지,기업고객.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/기업고객.csv,Master,100,
74,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,Master,집하지소번지,0,,2.03,16,n,57.75,-,홈플,집하지소번지,기업고객.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/기업고객.csv,Master,100,
