FilePath,FileName,ColumnName,DetailDataType,MasterType,CompareLength,FormatCnt,UniqueCnt,Format,FormatMin,FormatMax,FormatMedian,FormatValue,Format(%),MatchNo
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,ETL일시,TIME,Master,0,1,1,nn:nn.n,04:59.8,04:59.8,04:59.8,1474,100.0,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래연장사유,,Master,0,6,9,KK,부도,회생,폐업,58,42.03,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래연장사유,,Master,0,6,9,KKKK,기타불량,기타불량,기타불량,42,30.43,2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래연장사유,,Master,0,6,9,A,O,O,O,18,13.04,3
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래정지사유,,Master,0,6,9,KK,부도,회생,폐업,58,47.93,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래정지사유,,Master,0,6,9,KKKK,기타불량,기타불량,기타불량,42,34.71,2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래정지사유,,Master,0,6,9,KKKK(nnKKK),단기연체(60일이만),단기연체(60일이만),단기연체(60일이만),17,14.05,3
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래해제사유,,Master,0,3,3,KK,정상,정상,정상,374,99.47,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,계약시작일,DATECHAR,Master,0,1,775,nnnnnnnn,00000000,20230920,20060808,1428,100.0,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,계약종료일,DATECHAR,Master,0,1,390,nnnnnnnn,20020812,20241231,20161231,1474,100.0,1
