Level1_File,Level1_Column,Level1_MasterType,Level2_File,Level2_Column,Level2_MasterType,Level3_File,Level3_Column,Level3_MasterType,Level4_File,Level4_Column,Level4_MasterType,Level5_File,Level5_Column,Level5_MasterType
COMPANY.csv,업체명약어,Reference,상호명5.csv,상호명5,,,,,,,,,,
COMPANY.csv,사업자등록번호,Reference,사업자등록번호5.csv,사업자등록번호5,,,,,,,,,,
COMPANY.csv,업태,Reference,업종명2.csv,업종명2,,,,,,,,,,
COMPANY.csv,업종,Reference,업종명2.csv,업종명2,,,,,,,,,,
COMPANY.csv,우편번호,Reference,우편번호구3.csv,우편번호구3,,,,,,,,,,
COMPANY.csv,최초등록자,Operation,사용자.csv,사원번호,,,,,,,,,,
COMPANY.csv,계약시작일,Validation,연월일.csv,연월일,,,,,,,,,,
CONTRACT.csv,고객번호,Reference,사업자등록번호3.csv,유효사업자번호3,,,,,,,,,,
CONTRACT.csv,우편번호,Reference,우편번호3.csv,우편번호3,,,,,,,,,,
CONTRACT.csv,반품배송우편번호,Reference,우편번호3.csv,우편번호3,,,,,,,,,,
CUSTOMER.csv,수입조직,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
OneClick고객.csv,사업자등록번호,Reference,사업자등록번호7.csv,사업자등록번호7,,,,,,,,,,
OneClick고객.csv,업태,Reference,업종명2.csv,업종명2,,,,,,,,,,
OneClick고객.csv,사업우편번호,Reference,우편번호3.csv,우편번호3,,,,,,,,,,
ORGNIZATION.csv,수입신규조직코드,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
PRM계약.csv,사업자번호,Common,VENDOR.csv,VENDOR,Reference,사업자등록번호5.csv,사업자등록번호5,,,,,,,
PRM계약.csv,사업자명,Common,VENDOR_name.csv,VENDOR_name,Reference,상호명5.csv,상호명5,,,,,,,
PRM계약.csv,상호명,Common,VENDOR_name.csv,VENDOR_name,Reference,상호명5.csv,상호명5,,,,,,,
PRM계약.csv,업태,Reference,업종명2.csv,업종명2,,,,,,,,,,
PRM계약.csv,업종,Reference,업종명2.csv,업종명2,,,,,,,,,,
간선사업자.csv,사업자번호,Reference,사업자등록번호7.csv,사업자등록번호7,,,,,,,,,,
계약마스터.csv,계약적용월,Validation,연월.csv,연월,,,,,,,,,,
계약마스터.csv,소사업코드,Operation,사업코드관리.csv,business_level6_cd,Master,관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,
계약마스터.csv,물량단위,Reference,단위대문자.csv,단위_대문자,,,,,,,,,,
계약마스터.csv,예상물량년,Reference,우편번호3.csv,우편번호3,,,,,,,,,,
고객마스터.csv,고객번호,Reference,사업자등록번호3.csv,유효사업자번호3,,,,,,,,,,
고객마스터.csv,고객명,Reference,상호명5.csv,상호명5,,,,,,,,,,
고객마스터.csv,사업자등록번호,Reference,사업자등록번호7.csv,사업자등록번호7,,,,,,,,,,
고객마스터.csv,업태,Reference,업종명2.csv,업종명2,,,,,,,,,,
관리회계_고객.csv,고객명,Reference,상호명5.csv,상호명5,,,,,,,,,,
관리회계_고객.csv,법인번호,Reference,법인번호7.csv,법인번호7,,,,,,,,,,
관리회계_고객.csv,법인번호,Operation,법인정보.csv,법인번호,Reference,법인번호7.csv,법인번호7,,,,,,,
관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,,,,,,,
관리회계_사업.csv,사업명,Reference,업종명2.csv,업종명2,,,,,,,,,,
관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,,,,
관리회계_조직.csv,상위부서조직코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
기업고객.csv,수입조직,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
수입관리_고객.csv,고객번호,Reference,사업자등록번호5.csv,사업자등록번호5,,,,,,,,,,
수입관리_고객.csv,수금점소코드,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
수입관리_고객.csv,불량등급코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
수입관리_고객.csv,기업설립형태코드,Attribute,기업설립형태.csv,기업설립형태코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,
수입관리_고객.csv,신용공여기간코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
수입관리_고객.csv,등록자사번,Operation,사용자.csv,사원번호,,,,,,,,,,
수입관리점소.csv,부가세신고점소코드,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
수입관리점소.csv,사업자번호,Reference,사업자등록번호5.csv,사업자등록번호5,,,,,,,,,,
수입관리점소.csv,처리자사번,Operation,사용자.csv,사원번호,,,,,,,,,,
영업소.csv,우편번호,Reference,우편번호구3.csv,우편번호구3,,,,,,,,,,
영업소.csv,업태,Reference,업종명2.csv,업종명2,,,,,,,,,,
영업소.csv,업종,Reference,업종명2.csv,업종명2,,,,,,,,,,
영업소.csv,계약영업소코드,Master,영업소.csv,영업소코드,,,,,,,,,,
영업소.csv,상위영업소코드,Master,영업소.csv,영업소코드,,,,,,,,,,
지점코드.csv,OIO_ORG_NCD,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
계정코드관리.csv,계정과목명,Reference,계정과목.csv,계정과목,,,,,,,,,,
관리회계BI_사업.csv,중사업코드,Master,관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,,,,
관리회계BI_사업.csv,중사업,Reference,업종명2.csv,업종명2,,,,,,,,,,
관리회계BI_사업.csv,소사업,Reference,업종명2.csv,업종명2,,,,,,,,,,
관리회계BI_조직.csv,지부코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
관리회계BI_조직.csv,지점코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
관리회계BI_조직.csv,귀속부서조직코드,Operation,관리회계_조직.csv,귀속부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
관리회계QLIK_조직.csv,귀속부서조직코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
관리회계QLIK_조직.csv,지점코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
관리회계_공통코드.csv,관리회계공통코드명,Reference,업종명2.csv,업종명2,,,,,,,,,,
관리회계_조직.csv,귀속부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,,,,
관리회계_조직그룹상세.csv,귀속부서조직코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
법인정보.csv,법인번호,Reference,법인번호7.csv,법인번호7,,,,,,,,,,
법인정보.csv,법인명,Reference,상호명5.csv,상호명5,,,,,,,,,,
사업자등록번호정보.csv,고객명,Reference,상호명5.csv,상호명5,,,,,,,,,,
사업자등록번호정보.csv,법인번호,Operation,법인정보.csv,법인번호,Reference,법인번호7.csv,법인번호7,,,,,,,
사업코드관리.csv,중사업명,Operation,사업코드관리.csv,소사업명,,,,,,,,,,
사업코드관리.csv,소사업코드,Operation,사업코드관리.csv,business_level5_cd,,,,,,,,,,
사업코드관리.csv,business_level6_cd,Master,관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,,,,
사업코드관리.csv,사업코드,Master,관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,,,,
사업코드관리.csv,사업명,Operation,사업코드관리.csv,business_level6_name,,,,,,,,,,
사용자.csv,점소코드,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
사용자.csv,직급,Reference,업종명2.csv,업종명2,,,,,,,,,,
사용자.csv,처리자사번,Operation,사용자.csv,사원번호,,,,,,,,,,
사용자.csv,직책2,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
사용자.csv,한웨이 ID,Operation,사용자.csv,사원번호,,,,,,,,,,
사용자.csv,HR시스템소속코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
선박.csv,선박코드,Reference,선박코드.csv,선박코드,,,,,,,,,,
선박.csv,선사코드,Reference,선사코드.csv,선사코드,,,,,,,,,,
선박.csv,총중량,Reference,우편번호3.csv,우편번호3,,,,,,,,,,
선석.csv,항구코드,Reference,Airport_IATA.csv,Airport_IATA,,,,,,,,,,
선석.csv,조직코드,Validation,주민번호6자리.csv,주민번호6자리,Reference,우편번호구3.csv,우편번호구3,,,,,,,
원가인명정보.csv,적용년월,Validation,연월.csv,연월,,,,,,,,,,
원가인명정보.csv,직원번호,Operation,사용자.csv,사원번호,,,,,,,,,,
원가인명정보.csv,급여조직코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
조직코드관리.csv,지부코드,Operation,조직코드관리.csv,지점코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,
조직코드관리.csv,지부코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
조직코드관리.csv,지점코드,Operation,조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,
조직코드관리.csv,팀센터코드,Master,관리회계_조직.csv,부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
택배BI_조직.csv,지부명,Operation,관리회계BI_조직.csv,지부명,,,,,,,,,,
택배_고객.csv,개발수수료적용일,Validation,연월일.csv,연월일,,,,,,,,,,
택배_고객.csv,운송장등록요율미체크사유,Reference,업종명2.csv,업종명2,,,,,,,,,,
택배_고객.csv,중량3,Reference,우편번호구3.csv,우편번호구3,,,,,,,,,,
택배_고객.csv,법인번호,Operation,법인정보.csv,법인번호,Reference,법인번호7.csv,법인번호7,,,,,,,
택배_조직도.csv,수입신규조직코드,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
택배_조직도.csv,정렬순서,Common,RSN_NOT_PICK.csv,RSN_NOT_PICK,,,,,,,,,,
택배_조직도.csv,ERP코드,Operation,관리회계_조직.csv,귀속부서조직코드,Operation,관리회계BI_조직.csv,팀센터코드,,,,,,,
WAM_코드값.csv,코드값,Reference,Country_ISO2.csv,Country_ISO2,,,,,,,,,,
WAM_표준단어.csv,영문의미,Reference,질병영문명5.csv,질병영문명5,,,,,,,,,,
WAM_표준항목.csv,도메인ID,Attribute,WAM_도메인.csv,도메인ID,,,,,,,,,,
결제조건.csv,결제조건코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
기업설립형태.csv,기업설립형태코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
불량등급.csv,불량등급코드,Attribute,신용공여기간.csv,신용공여기간코드,,,,,,,,,,
사업구분.csv,사업구분코드,Reference,Airport_IATA.csv,Airport_IATA,,,,,,,,,,
사업구분.csv,계정코드,Reference,우편번호구3.csv,우편번호구3,,,,,,,,,,
사업구분.csv,한글CHARGE명,Reference,업종명2.csv,업종명2,,,,,,,,,,
사업구분.csv,처리자사번,Operation,사용자.csv,사원번호,,,,,,,,,,
사업구분.csv,ERP_COA_DIVS,Master,관리회계_사업.csv,사업코드,Common,GL_COA_SEGMENT2.csv,GL_COA_SEGMENT2,,,,,,,
신용공여기간.csv,처리자사번,Operation,사용자.csv,사원번호,,,,,,,,,,
조직_수입관리.csv,OIO_ORG_NCD,Master,수입관리점소.csv,수입점소코드,,,,,,,,,,
조직터미널마스터.csv,터미널영문코드,Reference,Airline_IATA.csv,Airline_IATA,,,,,,,,,,
BANK_CD_name.csv,BANK_CD_name,Reference,금융회사명.csv,금융회사명,,,,,,,,,,
BANK_CURRENCY_CODE_name.csv,BANK_CURRENCY_CODE_name,Reference,Currency_Code.csv,Currency_Code,,,,,,,,,,
CGO_TYP.csv,CGO_TYP,Reference,상병코드.csv,상병코드,,,,,,,,,,
ETR_COUNTRY_CODE.csv,ETR_COUNTRY_CODE,Reference,Country_ISO2.csv,Country_ISO2,,,,,,,,,,
ETR_COUNTRY_CODE_desc.csv,ETR_COUNTRY_CODE_desc,Reference,국가명.csv,국가명,,,,,,,,,,
ETR_CURRENCY_CODE.csv,ETR_CURRENCY_CODE,Reference,Airport_IATA.csv,Airport_IATA,,,,,,,,,,
INCOME_ORG_name.csv,INCOME_ORG_name,Common,INCOME_ORG_desc.csv,INCOME_ORG_desc,,,,,,,,,,
MNG_ACTN_ALLOCATE_FACTOR_CD.csv,MNG_ACTN_ALLOCATE_FACTOR_CD,Operation,관리회계_공통코드.csv,관리회계공통코드,,,,,,,,,,
ORG_CAT_name.csv,ORG_CAT_name,Common,ORG_CAT_desc.csv,ORG_CAT_desc,,,,,,,,,,
SMS_CAT.csv,SMS_CAT,Reference,Airline_IATA.csv,Airline_IATA,,,,,,,,,,
SYSTEM.csv,SYSTEM,Reference,Airport_IATA.csv,Airport_IATA,,,,,,,,,,
VENDOR.csv,VENDOR,Reference,사업자등록번호5.csv,사업자등록번호5,,,,,,,,,,
VENDOR_name.csv,VENDOR_name,Reference,상호명5.csv,상호명5,,,,,,,,,,
WORK_PLACE_CAT_name.csv,WORK_PLACE_CAT_name,Common,CUST_EDI_name.csv,CUST_EDI_name,,,,,,,,,,
전화지역번호.csv,전화지역번호,Common,ETR_BANK_CODE.csv,ETR_BANK_CODE,,,,,,,,,,
주민번호6자리.csv,주민번호6자리,Reference,우편번호구3.csv,우편번호구3,,,,,,,,,,
