FilePath,FileName,ColumnName,MasterType,PK,FK,Attribute,Level_Depth,Level_Relationship,Level0_Matched(%),Level1_Column,Level1_File,Level1_MasterType,Level1_Matched(%),Level2_Column,Level2_File,Level2_MasterType,Level2_Matched(%),Level3_Column,Level3_File,Level3_MasterType,Level3_Matched(%),Level4_Column,Level4_File,Level4_MasterType,Level4_Matched(%),Level5_Column,Level5_File,Level5_MasterType,Level5_Matched(%),Level6_Column,Level6_File,Level6_MasterType,Level6_Matched(%),CodeColumn_1,CodeFile_1,CodeFilePath_1,CodeType_1,Matched_1,Matched(%)_1,CodeColumn_2,CodeFile_2,CodeFilePath_2,CodeType_2,Matched_2,Matched(%)_2,CodeColumn_3,CodeFile_3,CodeFilePath_3,CodeType_3,Matched_3,Matched(%)_3,CodeColumn_4,CodeFile_4,CodeFilePath_4,CodeType_4,Matched_4,Matched(%)_4
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,CompanyID,Master,1,,,3,택배_고객.csv.집하지대번지 -> CUSTOMER.csv.집하지대번지 -> 기업고객.csv.집하지대번지,,집하지대번지,택배_고객.csv,Operation,94.23,집하지대번지,CUSTOMER.csv,Master,97.62,집하지대번지,기업고객.csv,Master,99.86,,,,,,,,,,,,,집하지대번지,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,1389.0,94.23,집하지대번지,CUSTOMER.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,Master,888.0,60.24,집하지대번지,기업고객.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/기업고객.csv,Master,888.0,60.24,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,CompanyType,Master,0,,Num_Flag,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Company_Name,Master,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Company_Name_Abbreviation,Master,0,,상호명5,2,택배_고객.csv.한글고객명 -> 상호명5.csv.상호명5,,한글고객명,택배_고객.csv,Operation,24.58,상호명5,상호명5.csv,Reference,46.57,,,,,,,,,,,,,,,,,한글고객명,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,337.0,24.58,상호명5,상호명5.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/상호명5.csv,Reference,617.0,46.57,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Business_Registration_Number,Master,0,,사업자등록번호5,3,택배_고객.csv.주민_사업자등록번호 -> 사업자등록번호정보.csv.사업자등록번호 -> 사업자등록번호5.csv.사업자등록번호5,,주민_사업자등록번호,택배_고객.csv,Operation,47.77,사업자등록번호,사업자등록번호정보.csv,Operation,28.02,사업자등록번호5,사업자등록번호5.csv,Reference,92.74,,,,,,,,,,,,,주민_사업자등록번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,590.0,47.77,사업자등록번호,사업자등록번호정보.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/사업자등록번호정보.csv,Operation,346.0,28.02,사업자등록번호5,사업자등록번호5.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/사업자등록번호5.csv,Reference,383.0,92.74,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Business_Type,Master,0,,업태,3,고객마스터.csv.업태 -> OneClick고객.csv.업태 -> 업종명2.csv.업종명2,,업태,고객마스터.csv,Master,25.83,업태,OneClick고객.csv,Master,21.39,업종명2,업종명2.csv,Reference,58.82,,,,,,,,,,,,,업태,고객마스터.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/고객마스터.csv,Master,93.0,25.83,업태,OneClick고객.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/OneClick고객.csv,Master,77.0,21.39,업종명2,업종명2.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/업종명2.csv,Reference,30.0,58.82,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Business_Item,Master,0,,업종,1,업종명2.csv.업종명2,,업종명2,업종명2.csv,Reference,52.87,,,,,,,,,,,,,,,,,,,,,업종명2,업종명2.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/업종명2.csv,Reference,92.0,52.87,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,ZIP_Code,Master,0,,우편번호구3,4,택배_고객.csv.집하지우편번호 -> CUSTOMER.csv.집하지우편번호 -> 기업고객.csv.기업우편번호 -> 우편번호구3.csv.우편번호구3,,집하지우편번호,택배_고객.csv,Operation,95.63,집하지우편번호,CUSTOMER.csv,Master,100.0,기업우편번호,기업고객.csv,Master,58.89,우편번호구3,우편번호구3.csv,Reference,97.5,,,,,,,,,집하지우편번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,656.0,95.63,사업자등록우편번호,택배_고객.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/택배_고객.csv,Operation,600.0,87.46,기업우편번호,기업고객.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/기업고객.csv,Master,404.0,58.89,우편번호구3,우편번호구3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/우편번호구3.csv,Reference,117.0,97.5
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Address,Master,0,,ADDRESS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Insert_Emp_ID,Master,0,,우편번호3,3,COMPANY.csv.Update_Emp_ID -> 사용자.csv.사원번호 -> 우편번호3.csv.우편번호3,,Update_Emp_ID,COMPANY.csv,Master,54.84,사원번호,사용자.csv,Operation,27.42,우편번호3,우편번호3.csv,Reference,50.0,,,,,,,,,,,,,Update_Emp_ID,COMPANY.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,Master,34.0,54.84,사원번호,사용자.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/사용자.csv,Operation,17.0,27.42,우편번호3,우편번호3.csv,C:/projects/myproject/QDQM/DataSense/5_Reference_Code/Source/우편번호3.csv,Reference,18.0,50.0,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Update_Emp_ID,Master,0,,,3,COMPANY.csv.Insert_Emp_ID -> 사용자.csv.사원번호 -> CONTRACT.csv.ENT_EMP,,Insert_Emp_ID,COMPANY.csv,Master,65.38,사원번호,사용자.csv,Operation,36.54,ENT_EMP,CONTRACT.csv,Master,25.0,,,,,,,,,,,,,Insert_Emp_ID,COMPANY.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,Master,34.0,65.38,사원번호,사용자.csv,C:/projects/myproject/QDQM/DataSense/2_Operation_Code/Source/사용자.csv,Operation,19.0,36.54,ENT_EMP,CONTRACT.csv,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,Master,13.0,25.0,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Management_Type,Master,0,,Alpha_Flag,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Management_Date,Master,0,,DATECHAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Start_Date,Master,0,,DATECHAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,End_Date,Master,0,,DATECHAR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Defect Grade(C60),Master,0,,Alpha_Flag,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Transaction_Suspension,Master,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Transaction_extension,Master,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Transaction_Cancellation,Master,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Road_Name_Code,Master,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
