FilePath,FileName,Column #,PK Column #,PK Column List,FK Column #,FK Column List,Related File List,Related File #,L_PK Column #,L_PK Column List,L_FK Column #,L_FK Column List,L_Related File List,L_Related File #,L_Related Column List,L_Related Column #
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,22,1,CompanyID,0,,,0,1,CompanyID,1,CompanyID,"사업코드관리.csv, 영업소.csv",2,"business_level6_cd, 영업소코드",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,32,1,CONTRACT_NO,0,,,0,1,CONTRACT_NO,7,"CONTRACT_ORG_CD, CORRECT_ORG, ENT_EMP, ORG_CODE, REQUEST_ORG, RETURN_ZIP, ZIP","CUSTOMER.csv, 기업고객.csv, 사용자.csv, 택배_고객.csv, 택배_조직도.csv",5,"사원번호, 수금점소, 조직코드, 집하지우편번호, 청구점소, 최종변경자사번, 판매점소",7
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CUSTOMER.csv,CUSTOMER.csv,31,1,고객번호,2,"고객번호, 법인번호","고객마스터.csv, 법인정보.csv, 수입관리_고객.csv, 택배_고객.csv",4,1,고객번호,14,"고객명, 고객번호, 담당부서, 수금점소, 우편번호, 주민_사업자등록번호, 집하점소, 집하지대번지, 집하지소번지, 집하지우편번호, 청구점소, 최종변경자사번, 판매원사번, 판매점소","CONTRACT.csv, CUSTOMER.csv, GL_COA_SEGMENT3.csv, 기업고객.csv, 조직_수입관리.csv, 택배_고객.csv",6,"GL_COA_SEGMENT3, HJT수금점소, HJT청구점소, OIO_ORG_COD, SALES_EMP, 고객번호, 담당부서, 사업자등록우편번호, 주민_사업자등록번호, 집하점소, 집하지대번지, 집하지소번지, 집하지우편번호, 최종변경자사번, 판매점소, 한글고객명",16
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/ORGNIZATION.csv,ORGNIZATION.csv,22,1,조직코드,2,"사업자등록번호, 조직코드","관리회계_고객.csv, 사업자등록번호정보.csv, 택배_조직도.csv",3,1,조직코드,6,"사업자등록번호, 상위조직코드, 우편번호, 조직명, 조직코드, 최종수정자","CONTRACT.csv, CUSTOMER.csv, ORGNIZATION.csv, VENDOR_name.csv, 사원기본.csv, 사원마스터.csv, 조직터미널마스터.csv, 집하점.csv, 택배BI_조직.csv, 택배_조직도.csv",10,"PRICE, VENDOR_name, 사업자등록번호, 상위조직코드, 소속조직코드, 우편번호, 조직명, 조직코드, 집배점코드, 집하점소, 최종수정자, 최종업데이트사원번호",12
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/OneClick고객.csv,OneClick고객.csv,11,3,"고객구분코드, 고객명, 사업자등록번호",1,사업자등록번호,"관리회계_고객.csv, 사업자등록번호정보.csv",2,3,"고객구분코드, 고객명, 사업자등록번호",5,"고객명, 법인등록번호, 사업우편번호, 업종명, 업태","CUSTOMER.csv, OneClick고객.csv, 고객마스터.csv, 기업고객.csv, 택배_고객.csv",5,"기업법인번호, 법인등록번호, 업태, 집하지우편번호, 한글고객명",5
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/PRM계약.csv,PRM계약.csv,18,1,PRM계약번호,2,"사업자번호, 업종","간선사업자.csv, 업종.csv",2,1,PRM계약번호,3,"상호명, 업종, 업태","PRM계약.csv, VENDOR_name.csv, 고객마스터.csv",3,"VENDOR_name, 업종, 업태",3
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test.csv,test.csv,21,1,ID,1,Country,Country.csv,1,1,ID,1,Name2,test.csv,1,"Name, Name2",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test1.csv,test1.csv,7,2,"CompanyCode, ID",4,"City, CompanyCode, Dept, ID","test.csv, test1_sum.csv, test1_sum2.csv, test3.csv",4,2,"CompanyCode, ID",1,Name,test.csv,1,Name2,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test1_sum.csv,test1_sum.csv,3,2,"CompanyCode, Dept",0,,,0,2,"CompanyCode, Dept",0,,,0,,0
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test1_sum2.csv,test1_sum2.csv,3,2,"City, CompanyCode",1,City,test3.csv,1,2,"City, CompanyCode",0,,,0,,0
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test2.csv,test2.csv,3,1,DeptName,2,"CompanyCode, Dept",test1_sum.csv,1,1,DeptName,0,,,0,,0
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test3.csv,test3.csv,2,1,City,0,,,0,1,City,1,City,영업소.csv,1,영업소명,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/간선사업자.csv,간선사업자.csv,6,1,사업자번호,0,,,0,1,사업자번호,0,,,0,,0
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/개인고객.csv,개인고객.csv,23,1,개인고객번호,1,사업자등록번호,"관리회계_고객.csv, 사업자등록번호정보.csv",2,1,개인고객번호,1,개인고객번호,"CUSTOMER.csv, 택배_고객.csv",2,고객번호,1
