Child Table,Parent Table,FK Columns
고객마스터,CUSTOMER,고객번호
고객마스터,OneClick고객,"고객명, 고객구분코드, 사업자등록번호"
고객마스터,관리회계_고객,사업자등록번호
고객마스터,수입관리_고객,고객번호
고객마스터,사업자등록번호정보,사업자등록번호
고객마스터,택배_고객,고객번호
수입관리_고객,CUSTOMER,고객번호
수입관리_고객,고객마스터,고객번호
수입관리_고객,법인정보,법인번호
수입관리_고객,택배_고객,고객번호
수입관리_고객,결제조건,결제조건코드
수입관리_고객,기업설립형태,기업설립형태코드
수입관리_고객,불량등급,불량등급코드
수입관리_고객,신용공여기간,신용공여기간코드
수입관리_고객,신용등급,신용등급코드
택배_고객,CUSTOMER,고객번호
택배_고객,고객마스터,고객번호
택배_고객,수입관리_고객,고객번호
택배_고객,법인정보,법인번호
사원마스터,ORGNIZATION,조직코드
사원마스터,사용자,사원번호
사원마스터,사원기본,사원번호
사원마스터,택배_조직도,조직코드
선석,ORGNIZATION,조직코드
선석,택배_조직도,조직코드
택배_조직도,ORGNIZATION,조직코드
택배_조직도,관리회계_고객,사업자등록번호
택배_조직도,관리회계_사업,정렬순서
택배_조직도,관리회계_조직그룹상세,정렬순서
택배_조직도,사업자등록번호정보,사업자등록번호
택배_조직도,사업코드관리,정렬순서
test1,test,ID
test1,test1_sum,"CompanyCode, Dept"
test1,test1_sum2,"CompanyCode, City"
test1,test3,City
test2,test1_sum,"CompanyCode, Dept"
test1_sum2,test3,City
PRM계약,간선사업자,사업자번호
PRM계약,업종,업종
계약마스터,간선사업자,사업자번호
수입관리점소,간선사업자,사업자번호
CUSTOMER,고객마스터,고객번호
CUSTOMER,수입관리_고객,고객번호
CUSTOMER,법인정보,법인번호
CUSTOMER,택배_고객,고객번호
OneClick고객,관리회계_고객,사업자등록번호
OneClick고객,사업자등록번호정보,사업자등록번호
ORGNIZATION,관리회계_고객,사업자등록번호
ORGNIZATION,사업자등록번호정보,사업자등록번호
ORGNIZATION,택배_조직도,조직코드
개인고객,관리회계_고객,사업자등록번호
개인고객,사업자등록번호정보,사업자등록번호
배송점,관리회계_고객,사업자등록번호
배송점,사업자등록번호정보,사업자등록번호
서브터미널,관리회계_고객,사업자등록번호
서브터미널,사업자등록번호정보,사업자등록번호
영업소,관리회계_고객,사업자등록번호
영업소,사업자등록번호정보,사업자등록번호
영업소,업종,업종
집하점,관리회계_고객,사업자등록번호
집하점,사업자등록번호정보,사업자등록번호
터미널마스터,관리회계_고객,사업자등록번호
터미널마스터,사업자등록번호정보,사업자등록번호
터미널마스터,조직터미널마스터,터미널조직코드
허브터미널,관리회계_고객,사업자등록번호
허브터미널,사업자등록번호정보,사업자등록번호
사업자등록번호정보,관리회계_고객,사업자등록번호
사업자등록번호정보,법인정보,법인번호
관리회계_조직,관리회계_사업,정렬순서
관리회계_조직,관리회계_조직그룹상세,정렬순서
관리회계_조직,사업코드관리,정렬순서
계정코드관리,관리회계_사업,정렬순서
계정코드관리,계정과목코드,계정과목코드
계정코드관리,관리회계BI_계정,하위계정과목코드
계정코드관리,관리회계_조직그룹상세,정렬순서
계정코드관리,사업코드관리,정렬순서
관리회계_계정그룹,관리회계_사업,정렬순서
관리회계_계정그룹,관리회계_조직그룹상세,정렬순서
관리회계_계정그룹,사업코드관리,정렬순서
관리회계_계정그룹상세,관리회계_사업,정렬순서
관리회계_계정그룹상세,관리회계_계정그룹,배부계정GROUP코드
관리회계_계정그룹상세,관리회계_조직그룹상세,정렬순서
관리회계_계정그룹상세,사업코드관리,정렬순서
관리회계_공통코드,관리회계_사업,정렬순서
관리회계_공통코드,관리회계_분류공통코드,관리회계분류공통코드
관리회계_공통코드,관리회계_조직그룹상세,정렬순서
관리회계_공통코드,사업코드관리,정렬순서
관리회계_조직_test,관리회계_사업,정렬순서
관리회계_조직_test,관리회계QLIK_조직,귀속부서조직코드
관리회계_조직_test,관리회계_조직그룹상세,정렬순서
관리회계_조직_test,사업코드관리,정렬순서
관리회계_조직그룹,관리회계_사업,정렬순서
관리회계_조직그룹,관리회계_조직그룹상세,정렬순서
관리회계_조직그룹,사업코드관리,정렬순서
관리회계_조직그룹상세,관리회계_사업,정렬순서
관리회계_조직그룹상세,관리회계QLIK_조직,귀속부서조직코드
관리회계_조직그룹상세,관리회계_조직그룹,귀속부서조직GROUP코드
관리회계_조직그룹상세,사업코드관리,정렬순서
관리회계계정,관리회계_사업,정렬순서
관리회계계정,관리회계_조직그룹상세,정렬순서
관리회계계정,사업코드관리,정렬순서
사업코드관리,관리회계_사업,정렬순서
사업코드관리,관리회계_조직그룹상세,정렬순서
조직코드관리,관리회계_사업,정렬순서
조직코드관리,관리회계BI_조직,팀센터코드
조직코드관리,관리회계_조직그룹상세,정렬순서
조직코드관리,사업코드관리,정렬순서
사용자,사원마스터,사원번호
사용자,사원기본,사원번호
사용자,직책,직책
