Child Table,Child FilePath,Parent Table,Parent FilePath,FK Columns
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,CUSTOMER,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\CUSTOMER.csv,고객번호
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,OneClick고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\OneClick고객.csv,"고객명, 고객구분코드, 사업자등록번호"
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,관리회계_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\관리회계_고객.csv,사업자등록번호
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,고객번호
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,사업자등록번호정보,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\사업자등록번호정보.csv,사업자등록번호
고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,고객번호
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,CUSTOMER,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\CUSTOMER.csv,고객번호
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,고객번호
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,법인정보,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\법인정보.csv,법인번호
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,고객번호
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,결제조건,C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\결제조건.csv,결제조건코드
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,기업설립형태,C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\기업설립형태.csv,기업설립형태코드
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,불량등급,C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\불량등급.csv,불량등급코드
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,신용공여기간,C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\신용공여기간.csv,신용공여기간코드
수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,신용등급,C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\신용등급.csv,신용등급코드
택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,CUSTOMER,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\CUSTOMER.csv,고객번호
택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,고객마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\고객마스터.csv,고객번호
택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,수입관리_고객,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\수입관리_고객.csv,고객번호
택배_고객,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\택배_고객.csv,법인정보,C:\projects\myproject\QDQM\DataSense\2_Operation_Code\Source\법인정보.csv,법인번호
사원마스터,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\사원마스터.csv,ORGNIZATION,C:\projects\myproject\QDQM\DataSense\1_Master_Code\Source\ORGNIZATION.csv,조직코드
