FileName,FilePath,Column #,Parent Table #,Child Table #
ACCUSE_PROCESS_STUS,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ACCUSE_PROCESS_STUS.csv,1,0,0
ACCUSE_PROCESS_STUS_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ACCUSE_PROCESS_STUS_name.csv,1,0,0
ACC_TYP_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ACC_TYP_CD_name.csv,1,0,0
ACEPTANCE_TYP_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ACEPTANCE_TYP_CD_name.csv,1,0,0
ACEPTANCE_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ACEPTANCE_TYP_name.csv,1,0,0
ADD_SVC_TYP,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ADD_SVC_TYP.csv,1,0,0
ADD_SVC_TYP_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ADD_SVC_TYP_desc.csv,1,0,0
ADD_SVC_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ADD_SVC_TYP_name.csv,1,0,0
AIR_TML_GBN_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\AIR_TML_GBN_name.csv,1,0,0
ALIMTALK_WRK_CD,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ALIMTALK_WRK_CD.csv,1,0,0
ALIMTALK_WRK_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ALIMTALK_WRK_CD_name.csv,1,0,0
ALLOCATE_SOURCE_TYPE_CD,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ALLOCATE_SOURCE_TYPE_CD.csv,1,0,0
ALLOCATE_SOURCE_TYPE_CD_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ALLOCATE_SOURCE_TYPE_CD_desc.csv,1,0,0
ALLOCATE_SOURCE_TYPE_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ALLOCATE_SOURCE_TYPE_CD_name.csv,1,0,0
APRV_STUS,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\APRV_STUS.csv,1,0,0
APRV_STUS_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\APRV_STUS_name.csv,1,0,0
APR_PRCR_RSLT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\APR_PRCR_RSLT.csv,1,0,0
APR_PRCR_RSLT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\APR_PRCR_RSLT_name.csv,1,0,0
AREA_CAT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\AREA_CAT.csv,1,0,0
AREA_CAT_DTL,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\AREA_CAT_DTL.csv,1,0,0
AREA_CAT_DTL_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\AREA_CAT_DTL_name.csv,1,0,0
AREA_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\AREA_CAT_name.csv,1,0,0
ARRV_SCAN_CAT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ARRV_SCAN_CAT.csv,1,0,0
ARRV_SCAN_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\ARRV_SCAN_CAT_name.csv,1,0,0
ATC명5,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\ATC명5.csv,1,0,0
ATC코드,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\ATC코드.csv,1,0,0
Aircraft_Manufacturer,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Aircraft_Manufacturer.csv,1,0,0
Aircraft_Manufacturer_Name,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Aircraft_Manufacturer_Name.csv,1,0,0
Aircraft_Model,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Aircraft_Model.csv,1,0,0
Aircraft_Type,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Aircraft_Type.csv,1,0,0
Airline_IATA,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airline_IATA.csv,1,0,0
Airline_ICAO,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airline_ICAO.csv,1,0,0
Airline_Name,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airline_Name.csv,1,0,0
Airline_Name_Eng,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airline_Name_Eng.csv,1,0,0
Airport_IATA,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airport_IATA.csv,1,0,0
Airport_ICAO,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airport_ICAO.csv,1,0,0
Airport_Name,C:\projects\myproject\QDQM\DataSense\5_Reference_Code\Source\Airport_Name.csv,1,0,0
B2B_BOX_TYP,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\B2B_BOX_TYP.csv,1,0,0
B2B_BOX_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\B2B_BOX_TYP_name.csv,1,0,0
BANK_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BANK_CD_name.csv,1,0,0
BANK_CURRENCY_CODE_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BANK_CURRENCY_CODE_desc.csv,1,0,0
BANK_CURRENCY_CODE_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BANK_CURRENCY_CODE_name.csv,1,0,0
BIZ_PARTNER,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_PARTNER.csv,1,0,0
BIZ_PARTNER_CAT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_PARTNER_CAT.csv,1,0,0
BIZ_PARTNER_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_PARTNER_CAT_name.csv,1,0,0
BIZ_PARTNER_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_PARTNER_name.csv,1,0,0
BIZ_TYP,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_TYP.csv,1,0,0
BIZ_TYP_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_TYP_desc.csv,1,0,0
BIZ_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BIZ_TYP_name.csv,1,0,0
BLDG_DTL_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BLDG_DTL_CAT_name.csv,1,0,0
BLDG_SERCH_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BLDG_SERCH_CAT_name.csv,1,0,0
BOX_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\BOX_TYP_name.csv,1,0,0
CALC_LABOR_ACCOUNT_CD,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALC_LABOR_ACCOUNT_CD.csv,1,0,0
CALC_LABOR_ACCOUNT_CD_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALC_LABOR_ACCOUNT_CD_desc.csv,1,0,0
CALC_LABOR_ACCOUNT_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALC_LABOR_ACCOUNT_CD_name.csv,1,0,0
CALENDAR_DOW,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALENDAR_DOW.csv,1,0,0
CALENDAR_DOW_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALENDAR_DOW_desc.csv,1,0,0
CALENDAR_DOW_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CALENDAR_DOW_name.csv,1,0,0
CASH_SEARCH_TYPE,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CASH_SEARCH_TYPE.csv,1,0,0
CASH_SEARCH_TYPE_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CASH_SEARCH_TYPE_name.csv,1,0,0
CERT_DOC_KIND,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CERT_DOC_KIND.csv,1,0,0
CERT_DOC_KIND_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CERT_DOC_KIND_name.csv,1,0,0
CGO_CAT_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CGO_CAT_CD_name.csv,1,0,0
CGO_TYP,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CGO_TYP.csv,1,0,0
CGO_TYP_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CGO_TYP_name.csv,1,0,0
CHANEL,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CHANEL.csv,1,0,0
CHANEL_desc,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CHANEL_desc.csv,1,0,0
CHANEL_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CHANEL_name.csv,1,0,0
CLAIM_CAT_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CLAIM_CAT_CD_name.csv,1,0,0
CLM_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CLM_CD_name.csv,1,0,0
CLM_CUST_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CLM_CUST_CD_name.csv,1,0,0
CLM_DTL_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CLM_DTL_CD_name.csv,1,0,0
CLM_STUS_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CLM_STUS_CD_name.csv,1,0,0
CNFM_STUS_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CNFM_STUS_CD_name.csv,1,0,0
CNTRACT_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CNTRACT_CAT_name.csv,1,0,0
CNTRACT_CLOSE_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CNTRACT_CLOSE_name.csv,1,0,0
CNTRACT_EDI_RELATED_CAT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CNTRACT_EDI_RELATED_CAT.csv,1,0,0
CNTRACT_EDI_RELATED_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\CNTRACT_EDI_RELATED_CAT_name.csv,1,0,0
COLLECT_SHAPE_CD_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\COLLECT_SHAPE_CD_name.csv,1,0,0
COMODITY,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\COMODITY.csv,1,0,0
COMODITY_CAT,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\COMODITY_CAT.csv,1,0,0
COMODITY_CAT_name,C:\projects\myproject\QDQM\DataSense\4_Common_Code\csv\COMODITY_CAT_name.csv,1,0,0
