Child_Table,Parent_Table,FK_Columns,Parent_PK_Columns
CUSTOMER.csv,택배_고객.csv,"고객명, 고객번호, 담당부서, 수금점소, 우편번호, 주민_사업자등록번호, 집하점소, 집하지대번지, 집하지소번지, 집하지우편번호, 청구점소, 최종변경자사번, 판매점소","HJT수금점소, HJT청구점소, 고객번호, 담당부서, 사업자등록우편번호, 주민_사업자등록번호, 집하점소, 집하지대번지, 집하지소번지, 집하지우편번호, 최종변경자사번, 판매점소, 한글고객명"
기업고객.csv,CUSTOMER.csv,"기업고객명, 기업사업자등록번호, 기업우편번호, 담당부서, 집하지대번지, 집하지소번지, 청구부서, 최종변경자사번, 판매점소","고객명, 담당부서, 주민_사업자등록번호, 집하지대번지, 집하지소번지, 집하지우편번호, 청구부서, 최종변경자사번, 판매점소"
상호명5.csv,택배_고객.csv,상호명5,한글고객명
사업자등록번호정보.csv,택배_고객.csv,"고객명, 사업자등록번호","주민_사업자등록번호, 한글고객명"
사업자등록번호5.csv,사업자등록번호정보.csv,사업자등록번호5,사업자등록번호
OneClick고객.csv,고객마스터.csv,"법인등록번호, 업종명, 업태","법인등록번호, 업태"
업종명2.csv,OneClick고객.csv,업종명2,"업종명, 업태"
우편번호구3.csv,기업고객.csv,우편번호구3,기업우편번호
사용자.csv,COMPANY.csv,사원번호,"Insert_Emp_ID, Update_Emp_ID"
우편번호3.csv,사용자.csv,우편번호3,사원번호
CONTRACT.csv,사용자.csv,ENT_EMP,사원번호
택배_고객.csv,기업고객.csv,"HJT청구점소, 담당부서, 집하지대번지, 집하지소번지, 판매원사번, 한글고객명","담당부서, 수금점소, 집하지대번지, 집하지소번지, 청구부서, 판매원사번"
사원기본.csv,택배_고객.csv,"사원번호, 소속조직코드","계약단가, 판매원사번"
우편번호3.csv,사원기본.csv,우편번호3,사원번호
CONTRACT.csv,CUSTOMER.csv,"CONTRACT_ORG_CD, CORRECT_ORG, ENT_EMP, REQUEST_ORG, RETURN_ZIP, ZIP","수금점소, 집하지우편번호, 청구점소, 최종변경자사번, 판매점소"
우편번호3.csv,CONTRACT.csv,우편번호3,RETURN_ZIP
택배_고객.csv,CONTRACT.csv,"집하지우편번호, 최종변경자사번","ENT_EMP, ZIP"
택배_고객.csv,택배_고객.csv,"HJT수금점소, HJT청구점소, 규격1, 담당부서, 사업자등록우편번호, 업종상세내역, 중량3, 집하지대번지, 집하지소번지, 집하지우편번호, 한글고객명","HJT수금점소, HJT청구점소, 고객 청구부서, 규격1, 담당부서, 사업자등록우편번호, 집하지대번지, 집하지소번지, 집하지우편번호"
우편번호3.csv,택배_고객.csv,우편번호3,"사업자등록우편번호, 집하지대번지, 집하지우편번호, 판매원사번"
ORGNIZATION.csv,택배_조직도.csv,"상위조직코드, 우편번호, 조직명, 조직코드, 최종수정자","상위조직코드, 우편번호, 조직명, 조직코드, 최종업데이트사원번호"
사원기본.csv,ORGNIZATION.csv,"사원번호, 소속조직코드","조직코드, 최종수정자"
