테이블명,PK 컬럼
COMPANY,CompanyID
CONTRACT,CONTRACT_NO
CUSTOMER,고객번호
OneClick고객,"고객명, 고객구분코드, 사업자등록번호"
ORGNIZATION,조직코드
PRM계약,PRM계약번호
test,ID
test1,"CompanyCode, ID"
test1_sum,"CompanyCode, Dept"
test1_sum2,"CompanyCode, City"
test2,DeptName
test3,City
간선사업자,사업자번호
개인고객,개인고객번호
계약마스터,"계약적용월, 계약관리번호, 계약번호"
고객마스터,고객번호
관리회계_고객,사업자등록번호
관리회계_사업,정렬순서
관리회계_조직,부서조직코드
기업고객,기업고객번호
배송점,배송점코드
사원마스터,사원번호
상품분류,상품코드
서브터미널,N/A
수입관리_고객,고객번호
수입관리점소,수입점소코드
영업소,영업소코드
지점코드,OIO_ORG_COD
집하점,집하점코드
터미널마스터,터미널조직코드
허브터미널,허브코드
계정과목코드,계정과목코드
계정코드관리,하위계정과목코드
관리회계BI_계정,하위계정과목코드
관리회계BI_사업,"사업유형코드, 전사업코드, 전사업명, 대사업코드, 대사업명, 대사업, 중사업코드, 중사업명, 중사업, 소사업코드, 소사업명, 소사업, 사업코드"
관리회계BI_조직,팀센터코드
관리회계QLIK_조직,귀속부서조직코드
관리회계_계정그룹,배부계정GROUP코드
관리회계_계정그룹상세,계정코드
관리회계_공통코드,"관리회계분류공통코드, 관리회계공통코드"
관리회계_분류공통코드,관리회계분류공통코드
관리회계_조직_test,"귀속부서조직코드, 유효시작일자V, 귀속부서조직명, 상위귀속부서조직코드"
관리회계_조직그룹,귀속부서조직GROUP코드
관리회계_조직그룹상세,정렬순서
관리회계계정,관리회계계정코드
법인정보,법인번호
사업자등록번호정보,사업자등록번호
사업코드관리,정렬순서
사용자,사원번호
사원기본,사원번호
상품코드,상품코드
선박,선박코드
선석,"항구코드, 국가코드, 선석코드"
원가인명정보,"적용년월, 직원번호"
작업코드,작업구분코드
조직코드관리,팀센터코드
택배BI_조직,"사업본부코드, 사업본부명, 지부코드, 지부명, 지점코드, 지점명, 터미널코드, 터미널명, 집배점코드"
택배_고객,고객번호
택배_조직도,조직코드
