FilePath,FileName,ColumnName,MasterType,PK,DetailDataType,Reference_Code,Reference_Type,Code_Type,Matched(%),Reference_Column,Reference_Matched,Reference_Matched(%),Internal_Column,Internal_Type,Internal_File,Internal_Matched,Internal_Matched(%)
C:/projects/myproject/QDQM/DataSense/3_Attribute_Code/Source/UnitCode.csv,UnitCode.csv,Unit,Attribute,1,Text,Unit,Self,Attribute,100,,,,,,,,
C:/projects/myproject/QDQM/DataSense/3_Attribute_Code/Source/한글성명.csv,한글성명.csv,한글성명,Attribute,1,KOR_NAME,KOR_NAME,Reference,Reference,100,KOR_NAME,100,100,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,ETL일시,Master,,TIME,TIME,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Unnamed: 19,Master,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래연장사유,Master,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래정지사유,Master,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,거래해제사유,Master,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,계약시작일,Master,,DATECHAR,DATECHAR,Rule,Rule,99.72,DATECHAR,99.72,99.72,판매일,Operation,택배_고객.csv,98.71,98.71
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,계약종료일,Master,,DATECHAR,DATECHAR,Rule,Rule,100,DATECHAR,100,100,계약기간종료일,Operation,택배_고객.csv,99.49,99.49
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,불량등급관리(C60),Master,,Alpha_Flag,Alpha_Flag,Rule,Rule,,,,,불량등급코드,Master,불량등급.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,사업자등록번호,Master,,,사업자등록번호5,Reference,Reference,92.74,사업자등록번호5,92.74,92.74,주민_사업자등록번호,Operation,택배_고객.csv,47.85,47.85
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업종,Master,,Text,업종명2,Reference,Reference,52.57,업종명2,52.57,52.57,업종상세내역,Operation,택배_고객.csv,19.73,19.73
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업체관리구분,Master,,Alpha_Flag,Alpha_Flag,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업체구분,Master,,Num_Flag,Num_Flag,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업체명,Master,,COMPANY,COMPANY,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업체명약어,Master,,Text,상호명5,Reference,Reference,46.5,상호명5,46.5,46.5,한글고객명,Operation,택배_고객.csv,24.51,24.51
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업체코드,Master,1,UNIQUE,조직코드,Internal,Master,35.28,,,,조직코드,Master,ORGNIZATION.csv,35.28,35.28
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,업태,Master,,Text,업종명2,Reference,Reference,57.69,업종명2,57.69,57.69,업태,Master,고객마스터.csv,25.69,25.69
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,영업사원관리일자,Master,,DATECHAR,DATECHAR,Rule,Rule,100,DATECHAR,100,100,UPDATE일자,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,우편번호,Master,,,우편번호구3,Reference,Reference,97.5,우편번호구3,97.5,97.5,집하지우편번호,Operation,택배_고객.csv,95.63,95.63
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,주소,Master,,ADDRESS,ADDRESS,Rule,Rule,99.05,ADDRESS,99.05,99.05,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,최종변경일시,Master,,TIME,TIME,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,최종변경자,Master,,,최초등록자,Internal,Master,65.38,,,,최초등록자,Master,COMPANY.csv,65.38,65.38
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,최초등록자,Master,,,최종변경자사번,Internal,Operation,20.97,,,,최종변경자사번,Operation,택배_고객.csv,20.97,20.97
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,개발조직코드,Master,,,집하점소,Internal,Operation,100,,,,집하점소,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,거래중지사유,Master,,Text,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,거래중지여부,Master,,YN_Flag,YN_Flag,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,거래중지일자,Master,,DATECHAR,DATECHAR,Rule,Rule,100,DATECHAR,100,100,UPDATE일자,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,계약단가,Master,,,계약단가,Internal,Operation,100,,,,계약단가,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,계약명,Master,,Text,한글고객명,Internal,Operation,98.37,상호명5,17.98,17.98,한글고객명,Operation,택배_고객.csv,98.37,98.37
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,계약번호,Master,1,UNIQUE,고객번호,Internal,Operation,100,,,,고객번호,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,계약시작일자,Master,,DATECHAR,DATECHAR,Rule,Rule,99.86,DATECHAR,99.86,99.86,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,계약종료일자,Master,,DATECHAR,DATECHAR,Rule,Rule,76.82,DATECHAR,76.82,76.82,계약시작일자,Master,CONTRACT.csv,51.11,51.11
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,고객번호,Master,,,사업자등록번호5,Reference,Reference,80,사업자등록번호5,80,80,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,등록사원번호,Master,,,최종변경자사번,Internal,Operation,99.75,,,,최종변경자사번,Operation,택배_고객.csv,99.75,99.75
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,반품배송기본주소,Master,,ADDRESS,ADDRESS,Rule,Rule,95.72,ADDRESS,95.72,95.72,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,반품배송상세주소,Master,,Text,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,반품배송우편번호,Master,,,우편번호3,Reference,Reference,78.95,우편번호3,78.95,78.95,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,사원번호,Master,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,상세주소,Master,,Text,,,,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,수금조직코드,Master,,,HJT수금점소,Internal,Operation,100,,,,HJT수금점소,Operation,택배_고객.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,수입조직코드,Master,,,수입점소코드,Internal,Master,100,,,,수입점소코드,Master,수입관리점소.csv,100,100
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,수하인관리여부,Master,,YN_Flag,YN_Flag,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,우수계약여부,Master,,YN_Flag,YN_Flag,Rule,Rule,,,,,,,,,
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,우편번호,Master,,,우편번호3,Reference,Reference,78.91,우편번호3,78.91,78.91,반품배송우편번호,Master,CONTRACT.csv,46.78,46.78
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/CONTRACT.csv,CONTRACT.csv,조직코드,Master,,,집하점소,Internal,Operation,100,,,,집하점소,Operation,택배_고객.csv,100,100
