FilePath,FileName,ColumnName,MasterType,DataType,OracleType,PK,DetailDataType,LenCnt,LenMin,LenMax,LenAvg,LenMode,RecordCnt,SampleRows,ValueCnt,NullCnt,Null(%),UniqueCnt,Unique(%),FormatCnt,Format,FormatLength,FormatValue,Format(%),Format2nd,Format2ndValue,Format2nd(%),Format3rd,Format3rdValue,Format3rd(%),MinString,MaxString,ModeString,ModeCnt,Mode(%),FormatMin,FormatMax,FormatMode,FormatMedian,Format2ndMin,Format2ndMax,Format2ndMode,Format2ndMedian,Format3rdMin,Format3rdMax,Format3rdMode,Format3rdMedian,HasBlank,HasDash,HasDot,HasAt,HasAlpha,HasKor,HasNum,HasBracket,HasMinus,HasOnlyAlpha,HasOnlyNum,HasOnlyKor,HasOnlyAlphanum,FirstChrKor,FirstChrNum,FirstChrAlpha,FirstChrSpecial,CompareLength,Format1st,Null_pct,TypeMixed_pct,LengthVol_pct,Duplicate_pct,RuleFail_pct,DQ_Score,DQ_Issues,Issue_Count
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,부서조직코드,Master,object,VARCHAR2(7),1,UNIQUE,4,1,7,5,6,420,420,420,0,0.00,420,100.00,7,AAAAAA,6,201,47.86,AAAAA,164,39.05,AAAAAAA,47,11.19,ASNKE,YSNKE,ASNKE,1,0.24,BUGSLA,USNSDS,BUGSLA,SELESN,ASNKE,YSNKE,ASNKE,PTKSL,ATLANTA,SELXWDF,ATLANTA,SELESBF,0,0,0,0,420,0,7,0,0,413,0,0,420,0,0,420,0,5,AAAAAA,0.0,52.14,85.71428571428571,0.0,0.0,74.11,"Mixed formats, Length volatility",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,유효시작일자V,Master,int64,DATE,0,DateChar,1,8,8,8,8,420,420,420,0,0.00,1,0.24,1,nnnnnnnn,8,420,100.00,,0,0.00,,0,0.00,20000101,20000101,20000101,420,100.00,20000101,20000101,20000101,20000101,,,,,,,,,0,0,0,0,0,0,420,0,0,0,420,0,420,0,420,0,0,5,nnnnnnnn,0.0,0.0,0.0,99.76,0.0,90.02,Very low uniqueness,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,부서조직명,Master,object,VARCHAR2(27),0,Text,16,2,27,7,6,420,420,420,0,0.00,413,98.33,86,KKKKKK,6,79,18.81,KKKKK,59,14.05,KKKKKKK,31,7.38,(구)C2C그룹,회사,(구)건축그룹,2,0.48,강릉택배지점,해운통제센터,강릉택배지점,안산택배지점,경영개선팀,해운사업팀,경영개선팀,운영지원팀,고객서비스센터,해외재무관리팀,고객서비스센터,안전보건기획팀,47,8,1,0,59,419,32,128,0,0,0,225,0,273,1,20,126,5,KKKKKK,0.0,81.19,92.5925925925926,1.6700000000000017,0.0,65.65,"Mixed formats, Length volatility",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,상위부서조직코드,Master,object,VARCHAR2(6),0,,3,1,6,5,5,420,420,419,1,0.24,95,22.62,4,AAAAA,5,352,84.01,AAAAAA,49,11.69,AAAnnn,12,2.86,BAESE,VNMGL,SELGO,23,5.49,BAESE,VNMGL,SELGO,SELEO,SELABF,SELXWD,SELDPZ,SELEOO,HJH009,HJH009,HJH009,HJH009,0,0,0,0,419,0,12,0,0,407,0,0,419,0,0,419,0,5,AAAAA,0.24,15.989999999999995,83.33333333333334,77.38,0.0,75.67,Length volatility,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,조직LEVEL코드,Master,float64,VARCHAR2(3),0,Num_Flag,1,3,3,3,3,420,420,132,288,68.57,3,0.71,1,n,1,132,100.00,,0,0.00,,0,0.00,1.0,3.0,3.0,89,67.42,1,3,3,3,,,,,,,,,0,0,132,0,0,0,132,0,0,0,0,0,0,0,132,0,0,1,n,68.57,0.0,0.0,99.29,0.0,62.64,"High NULLs, Very low uniqueness",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,조직유형코드,Master,object,VARCHAR2(8),0,,2,6,8,6,6,420,420,55,365,86.90,29,6.90,2,AAAAAA,6,43,78.18,nsAAAAAA,12,21.82,,0,0.00,4_BUGSLS,USNSDS,SELLMO,10,18.18,BUGSLS,USNSDS,SELLMO,PTKSLS,4_BUGSLS,4_USNSDS,4_BUGSLS,4_KUMSDS,,,,,0,0,0,0,55,0,12,0,0,43,0,0,43,0,12,43,0,5,AAAAAA,86.9,21.819999999999993,25.0,93.1,0.0,46.72,"High NULLs, Very low uniqueness",2
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,유효종료일자V,Master,int64,DATE,0,DateChar,1,8,8,8,8,420,420,420,0,0.00,11,2.62,1,nnnnnnnn,8,420,100.00,,0,0.00,,0,0.00,20220501,99991231,99991231,302,71.90,20220501,99991231,99991231,99991231,,,,,,,,,0,0,0,0,0,0,420,0,0,0,420,0,420,0,420,0,0,5,nnnnnnnn,0.0,0.0,0.0,97.38,0.0,90.26,Very low uniqueness,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,정렬순서,Master,int64,NUMBER(4),0,UNIQUE,3,2,4,3,4,420,420,420,0,0.00,420,100.00,3,nnnn,4,321,76.43,nnn,90,21.43,nn,9,2.14,10,990,10,1,0.24,1000,4200,1000,2600,100,990,100,540,10,90,10,50,0,0,0,0,0,0,420,0,0,0,420,0,420,0,420,0,0,4,nnnn,0.0,23.569999999999993,50.0,0.0,0.0,86.61,Length volatility,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,최초생성자ID,Master,object,VARCHAR2(5),0,SINGLE VALUE,1,5,5,5,5,420,420,420,0,0.00,1,0.24,1,aaaaa,5,420,100.00,,0,0.00,,0,0.00,epark,epark,epark,420,100.00,epark,epark,epark,epark,,,,,,,,,0,0,0,0,420,0,0,0,0,420,0,0,420,0,0,420,0,5,aaaaa,0.0,0.0,0.0,99.76,0.0,90.02,Very low uniqueness,1
C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source\관리회계_조직.csv,관리회계_조직.csv,최초생성일시,Master,object,VARCHAR2(7),0,Time,1,7,7,7,7,420,420,420,0,0.00,5,1.19,1,nn:nn.n,7,420,100.00,,0,0.00,,0,0.00,50:31.0,50:31.4,50:31.1,117,27.86,50:31.0,50:31.4,50:31.1,50:31.2,,,,,,,,,0,0,420,0,0,0,420,0,0,0,0,0,0,0,420,0,0,5,nn:nn.n,0.0,0.0,0.0,98.81,0.0,90.12,Very low uniqueness,1
