FileNo,FilePath,FileName,MasterType,FileSize,RecordCnt,ColumnCnt,SamplingRows,Sampling(%),WorkDate
1,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/결제조건.csv,결제조건.csv,Master,901,19,7,19,100.0,2025-10-21
2,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/간선사업자.csv,간선사업자.csv,Master,47384,801,6,801,100.0,2025-10-21
3,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/계정과목코드.csv,계정과목코드.csv,Master,31559,410,11,410,100.0,2025-10-21
4,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/test.csv,test.csv,Master,8765,32,20,32,100.0,2025-10-21
5,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/관리회계_사업.csv,관리회계_사업.csv,Master,38768,412,13,412,100.0,2025-10-21
6,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/관리회계_조직.csv,관리회계_조직.csv,Master,40517,420,13,420,100.0,2025-10-21
7,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/미배송사유코드.csv,미배송사유코드.csv,Master,9741,104,6,104,100.0,2025-10-21
8,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/COMPANY.csv,COMPANY.csv,Master,298809,1474,22,1474,100.0,2025-10-21
9,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/불량등급.csv,불량등급.csv,Master,1892,19,9,19,100.0,2025-10-21
10,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/개인고객.csv,개인고객.csv,Master,356892,2272,23,2272,100.0,2025-10-21
11,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/상품분류.csv,상품분류.csv,Master,28199,152,11,152,100.0,2025-10-21
12,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/ORGNIZATION.csv,ORGNIZATION.csv,Master,570805,3836,22,3836,100.0,2025-10-21
13,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/PRM계약.csv,PRM계약.csv,Master,714974,3825,18,3825,100.0,2025-10-21
14,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/배송점.csv,배송점.csv,Master,339271,2530,17,2530,100.0,2025-10-21
15,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/수입관리점소.csv,수입관리점소.csv,Master,45912,358,14,358,100.0,2025-10-21
16,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/관리회계_고객.csv,관리회계_고객.csv,Master,726648,10000,9,10000,100.0,2025-10-21
17,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/지점코드.csv,지점코드.csv,Master,11040,196,7,196,100.0,2025-10-21
18,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/고객마스터.csv,고객마스터.csv,Master,1315475,10000,15,10000,100.0,2025-10-21
19,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/영업소.csv,영업소.csv,Master,31749,146,28,146,100.0,2025-10-21
20,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/서브터미널.csv,서브터미널.csv,Master,14708589,1048316,13,10000,0.95,2025-10-21
21,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/터미널마스터.csv,터미널마스터.csv,Master,74402,557,14,557,100.0,2025-10-21
22,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/집하점.csv,집하점.csv,Master,339271,2530,17,2530,100.0,2025-10-21
23,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/사원마스터.csv,사원마스터.csv,Master,720123,10000,17,10000,100.0,2025-10-21
24,C:/projects/myproject/QDQM/DataSense/1_Master_Code/Source/OneClick고객.csv,OneClick고객.csv,Master,6269069,46966,11,10000,21.29,2025-10-21
