파일경로,파일명,컬럼명,pandas_데이터타입
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\UnitCode.csv,UnitCode.csv,Unit,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,도메인ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,도메인논리명,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,도메인물리명,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,논리명기준구분,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,도메인그룹ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,인포타입ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,상위도메인ID,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,주제영역ID,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록엔터티ID,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록엔터티물리명,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록엔터티논리명,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록어트리뷰트ID,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록어트리뷰트물리명,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,목록어트리뷰트논리명,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,코드값유형코드,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,코드값부여방식코드,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,표준항목자동생성여부,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,데이터형식,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,담당사용자ID,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,도메인출처구분,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,요청번호,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,요청일련번호,int64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,객체설명,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,객체버전,int64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,등록유형코드,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,최초요청일시,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,최초요청사용자ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,요청일시,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,요청사용자ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,승인일시,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,승인사용자ID,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,전체경로,float64
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,물리명기준구분,object
C:\projects\myproject\QDQM\DataSense\3_Attribute_Code\Source\WAM_도메인.csv,WAM_도메인.csv,암호화여부,object
