법인번호,법인명,최초생성자ID,최초생성일시,최종갱신자ID,최종변경일시,ETL일시
1914710001811,하성영농조합법인,kimin,2021-04-12 08:59:49.690000,kimin,2021-04-12 08:59:49.690000,2023-12-23 01:07:28.047000
1401110023165,춘천엘지씨,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1601113365894,인엔아웃에프엔씨,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1801110488147,신어금속,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101111620239,현대엠앤소프트,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1311110333630,푸드위즈,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2841140002003,스타웨이,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1713110021035,신진교역,bumskim,2022-07-08 16:15:46.694000,hanjinrpa,2022-07-09 05:03:43.972000,2023-12-23 01:07:28.047000
1647110082963,부원산업,bumskim,2022-01-19 16:35:20.116000,hanjinrpa,2022-01-20 05:02:26.485000,2023-12-23 01:07:28.047000
1801110507054,송월,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2849110074820,엑스젠테크놀러지,kimin,2021-04-12 08:59:49.696000,kimin,2021-04-12 08:59:49.696000,2023-12-23 01:07:28.047000
1413110023186,제이코스,bumskim,2023-06-14 08:08:27.633000,hanjinrpa,2023-06-20 04:56:59.677000,2023-12-23 01:07:28.047000
1651110011872,미래이앤씨,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101117115268,프롬나드컴퍼니,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101111293119,로지시스,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1801110467430,리즈,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1955110112014,일산,bumskim,2023-03-30 08:01:29.714000,hanjinrpa,2023-03-31 04:59:41.238000,2023-12-23 01:07:28.047000
1101116291829,푸드맘에이스,test,2021-01-20 17:00:29.047000,bumskim,2021-05-26 17:01:17.936000,2023-12-23 01:07:28.047000
2850110337986,옥콤,bumskim,2023-01-16 18:16:13.865000,hanjinrpa,2023-01-17 09:53:02.563000,2023-12-23 01:07:28.047000
2101140044326,현춘식품,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1501110269832,트루넥스,bumskim,2022-06-02 08:06:31.370000,hanjinrpa,2022-06-03 04:22:01.787000,2023-12-23 01:07:28.047000
2802110159133,엠케이플러스,epark,2021-05-12 19:45:14.089000,hanjinrpa,2021-05-18 15:49:07.625000,2023-12-23 01:07:28.047000
1345110325933,카페판다,test,2021-01-20 17:00:29.056000,test,2021-01-20 17:00:29.056000,2023-12-23 01:07:28.047000
1714710004158,한울농원,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1311110258599,코락스인터내셔날,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1748110064222,에코팜,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2841110118799,비앤제이,bumskim,2022-09-15 07:59:41.712000,hanjinrpa,2022-09-16 04:33:11.512000,2023-12-23 01:07:28.047000
1201110566391,이도,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2001110295505,지엠메디텍,epark,2021-05-12 19:45:14.087000,hanjinrpa,2021-05-18 15:38:58.337000,2023-12-23 01:07:28.047000
1101114954297,시즈까코리아,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1341110021414,벨란,test,2021-01-20 17:00:29.055000,test,2021-01-20 17:00:29.055000,2023-12-23 01:07:28.047000
1355110121372,씨와이씨,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1701110594748,한일,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1211110195214,아카바,kyehkim,2022-03-03 17:11:43.811000,hanjinrpa,2022-03-04 04:42:56.068000,2023-12-23 01:07:28.047000
1101116495190,애드윈코리아미디어센터,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101113830589,유니마케팅,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2001140061611,문화산업,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101115377430,다이닝플러스,bumskim,2023-01-16 18:16:13.827000,hanjinrpa,2023-01-17 09:38:02.860000,2023-12-23 01:07:28.047000
2055110020602,듀얼라이프,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101114825365,제이에스에프앤씨,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
2112710011330,베리코리아팜,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1311110521615,현은,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1101116310819,티에스티코리아,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
1801110631639,대한벌크쉬핑,ADMIN,2020-12-03 10:54:00.000000,ADMIN,2020-12-03 10:54:00.000000,2023-12-23 01:07:28.047000
