불량등급코드,불량등급명,dt_reg,dt_adjt,폐기일자,yn_abd,처리자사번,last_update_dtm,etl_dtm
P,단기연체(60일미만)-2차,20210324,,,N,1410124,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
M,신용거래한도초과,20131115,,,N,1210473,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
N,미청구,20180411,,,N,1710203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
O,담보미확보,20180411,,,N,1710203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
A,부도,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
B,회생,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
C,화의,20011201,,,Y,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
D,파산,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
E,폐업,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
F,해산,20011201,,,Y,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
G,기타,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
Y,정상,20011201,,,N,9508203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
H,채무불이행(금융권),20100621,,,N,0710743,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
I,법적조치,20100621,,,N,0710743,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
J,장기연체(60일이상),20100621,,,N,0710743,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
K,단기연체(60일미만)-1차,20100621,,,N,0710743,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
L,계약일종료,20100621,,,N,0710743,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
Q,담보부족/등급하락,20210727,,,N,1710203,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
R,계약서미작성,20211005,,,N,1410124,2023-12-26 03:28:56.479000,2023-12-26 03:28:56.479000
