사업구분코드,사업입체구분,계정코드,사업구분한글명,사업구분영문명,한글CHARGE명,영문CHARCE명,등록일자,수정일자,폐기일자,폐기여부,처리자사번,부대청구대상여부,기타미수금여부,면세청구대상여부,ERP_COA_ACCOUNT,ERP_COA_DIVS,최종변경일시,ETL일시
QBD,,512791,기타복리후생비,기타복리후생비,기타복리후생비,기타복리후생비,20210414,,,N,9620306,Y,Y,N,511691,901,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAE,1,411711,쌀마대,,,,20030901,20070214,,N,9510034,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAF,1,411711,임대료,,,,20030901,20070214,,N,9510034,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAG,1,411711,수탁관리비,,,,20030901,20070214,,N,9510034,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAH,1,411711,샤시임대료,,,,20030901,20070214,,N,9510034,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAI,1,411711,PDA사용료,,,,20050930,20070214,,N,9510034,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAJ,,411711,국내택배 부대,EXPRESS CARGO TRANSPORTATION-OTHER,특송료,,20080516,20120605,,N,0611015,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAK,,411711,스마트폰판매료,,,,20091029,,,N,0611015,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAL,,411711,수도료,,,,20170712,,,N,0711830,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAM,,411711,전기료,,,,20170712,,,N,0711830,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAN,,411711,조업사 임대료,,,,20170922,,,N,0711830,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAO,,411711,주차료,,주차료,,20170922,,,N,0711830,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GAP,,411711,폐기물처리비(택배),,폐기물처리비,,20170705,20170705,,N,0711830,N,N,N,411117,153,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GB,1,,택배사업 노선화물,EXPRESS CARGO TRANSPORTATION-ROUTE,특송료,EXPRESS CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GBA,1,411721,택배사업 노선화물,EXPRESS CARGO TRANSPORTATION-ROUTE,,,20011201,20070214,20011202,Y,9510034,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GC,1,,택배사업 항공택배,EXPRESS CARGO TRANSPORTATION-AIR,특송료,EXPRESS CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GCA,1,411731,택배사업 항공택배,EXPRESS CARGO TRANSPORTATION-AIR,,,20011201,20070214,20011202,Y,9510034,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GD,,0,택배사업 창고,warehouse operation- express cargo,택배사업 창고,,20070220,20120608,,N,0611015,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GDA,,411751,택배사업 창고,warehouse operation- express cargo,택배사업 창고,,20070220,20070221,,N,9510034,N,N,N,411117,163,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GE,,411761,EC사업,EC business,EC사업,EC business,20100531,20120608,,N,0611015,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GEA,,411761,E market place사업,E market place business,E market place사업,E market place business,20100531,20210113,20210113,Y,9620306,N,N,N,411117,158,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GF,1,,TC사업,,운송료,,20141223,,,N,1012465,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GFA,1,411771,TC사업,,운송료,,20141223,,,N,1012465,N,N,N,411117,165,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GG,1,411781,DC사업,,물류대행료,,20141223,20191001,,N,9620306,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGA,1,411781,DC용인,,물류대행료,,20141223,20191001,,N,9620306,Y,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGB,1,411781,DC이천,,물류대행료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGC,1,411781,자원재생,,물류대행료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGD,1,411781,신선물류,,물류대행료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGE,1,411781,DC광주,,물류대행료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGF,1,411781,DC안성,,물류대행료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GGG,,411781,DC 서이천,,물류대행료,,20150305,,,N,0310435,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GH,1,411782,중계사업,,중계배송수수료,,20141223,20150102,,N,9620306,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
GHA,1,411782,중계사업,,중계배송수수료,,20141223,,,N,1012465,N,N,N,411117,164,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
H,1,,대리점사업,ON-TIME ROUTE TRANSPORTATION,대리점료,ON-TIME ROUTE CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
HA,1,,대리점사업 항공화물대리점,ON-TIME ROUTE TRANSPORTATION(A),항공대리점료,ON-TIME ROUTE CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
HB,1,,대리점사업 해운화물대리점,ON-TIME ROUTE TRANSPORTATION(B),해운대리점료,ON-TIME ROUTE CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
I,1,,해외사업,OVERSEAS BUSINESS,해외작업비,OVERSEAS CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
IA,1,,해외사업 담맘하역수입,OVERSEAS STEVEDORING,담맘작업비,OVERSEAS CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
IB,1,,해외사업 미주운송수입,OVERSEAS STEVEDORING,미주작업비,OVERSEAS CHG,20011201,,20011202,Y,9508203,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
IBA,1,412011,해외사업 미주운송수입,OVERSEAS STEVEDORING,,,20011201,20070214,20011202,Y,9510034,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
IC,1,,해외사업 프놈펜운송수입,OVERSEAS STEVEDORING,프놈펜사업,OVERSEAS CHG,20100219,20180103,,N,1410124,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
ICA,,412023,프놈펜 육상운송,PNH TRUCKING,프놈펜 육상운송,PNH TRUCKING,20100219,20210113,20210113,Y,9620306,N,N,N,411116,178,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
ICB,,412022,프놈펜 주선사업,PNH SEA,프놈펜 주선사업,PNH SEA,20100219,20210113,20210113,Y,9620306,N,N,N,411116,178,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
ICC,,412024,프놈펜 항공운송,PNH AIR,프놈펜 항공운송,PNH AIR,20110131,20130628,20120905,Y,0611015,Y,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
ID,,0,캄보디아 사업,pnh,캄보디아 사업,pnh,20110131,20180103,,N,1410124,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
IDA,,412025,캄보디아 항공운송,PNH AIR,캄보디아 항공운송,PNH AIR,20110131,20210113,20210113,Y,9620306,N,N,N,411116,178,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
J,1,,주선업,FORWARDING & CONSOLIDATING,포워딩료,FORWARDING CHG,20011201,20120608,,N,0611015,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JA,1,,주선업 해상포워딩사업,OCEAN CARGO FORWARDING,해상포워딩료,SEA FORWARDING CHG,20011201,20120608,,N,0611015,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JAA,1,411911,컨테이너 해상포워딩사업,OCEAN CARGO FORWARDING,,,20011201,20120608,,N,0611015,N,N,N,411116,167,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JAB,1,411913,벌크 해상포워딩사업,CONTAINER OCEAN CARGO FORWARDING,,,20050519,20070307,,N,0620174,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JAC,,411911,컨테이너 해상포워딩사업,,,,20201221,,,N,9620306,N,N,N,411116,166,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JB,1,,주선업 항공포워딩사업,AIR CARGO FORDING,항공포워딩료,AIR FORWARDING CHG,20011201,20120608,,N,0611015,N,N,N,,,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JBA,1,411921,주선업 항공포워딩사업,AIR CARGO FORDING,,,20011201,20110927,,N,0611015,N,N,N,411116,170,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
JBC,,411921,주선업 항공포워딩사업,,,,20201221,,,N,9620306,N,N,N,411116,168,2023-12-26 03:28:52.972000,2023-12-26 03:28:52.972000
