사업유형코드,전사업코드,전사업명,대사업코드,대사업명,중사업코드,중사업명,소사업코드,소사업명,business_level5_cd,business_level5_name,business_level6_cd,business_level6_name,사업코드,사업명,정렬순서,최초생성자ID,최초생성일시,last_update_dtm,etl_dtm
TYPE 2,901,전사업공통비,701,물류사업본부,501,P&D공통,502,P&D육운공통,401,일반화물운송공통,303,일반화물운송,303,일반화물운송,1770,epark,2023-12-19 14:11:48.109000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,608,이커머스사업,430,국제특송공통,175,특송창고,175,특송창고,175,특송창고,1460,epark,2023-12-19 14:11:47.656000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,607,포워딩사업,427,해상포워딩공통,167,해상포워딩수입,167,해상포워딩수입,167,해상포워딩수입,1320,epark,2023-12-19 14:11:47.448000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,504,W&D공통,506,W&D창고공통,417,자가창고공통,142,시흥창고,142,시흥창고,2120,epark,2023-12-19 14:11:48.622000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,504,W&D공통,506,W&D창고공통,417,자가창고공통,143,안산창고,143,안산창고,2130,epark,2023-12-19 14:11:48.632000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,703,글로벌사업본부,607,포워딩사업,607,포워딩사업,607,포워딩사업,607,포워딩사업,607,포워딩사업,3040,epark,2023-12-19 14:11:49.185000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,601,육운사업,406,내륙CD공통,406,내륙CD공통,406,내륙CD공통,406,내륙CD공통,220,epark,2023-12-19 14:11:46.366000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,501,P&D공통,502,P&D육운공통,401,일반화물운송공통,303,일반화물운송,101,일반화물운송(자차),1780,epark,2023-12-19 14:11:48.141000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,702,택배사업본부,606,택배사업,422,택배사업,422,B2C공통,197,일반택배,197,일반택배,1070,epark,2023-12-19 14:11:47.260000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,702,택배사업본부,606,택배사업,424,택배창고공통,160,대전택배창고,160,대전택배창고,160,대전택배창고,1180,epark,2023-12-19 14:11:47.362000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,604,창고사업,604,창고사업,604,창고사업,604,창고사업,604,창고사업,680,epark,2023-12-19 14:11:46.896000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,507,해운사업공통,440,사선공통,414,철제품선공통,135,한진3008호,135,한진3008호,2490,epark,2023-12-19 14:11:48.899000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,504,W&D공통,505,W&D육운공통,403,유통운송공통,110,유통운송,110,유통운송,2080,epark,2023-12-19 14:11:48.604000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,507,해운사업공통,307,중량물운송공통,307,중량물운송공통,307,중량물운송공통,307,중량물운송공통,2570,epark,2023-12-19 14:11:48.943000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,609,해외사업,432,해외해상포워딩공통,178,해외해상수출,178,해외해상수출,178,해외해상수출,1520,epark,2023-12-19 14:11:47.792000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,609,해외사업,432,해외해상포워딩공통,432,해외해상포워딩공통,432,해외해상포워딩공통,432,해외해상포워딩공통,1510,epark,2023-12-19 14:11:47.769000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,605,E&S사업,436,에너지사업공통,437,충전사업공통,191,전기차충전,191,전기차충전,2700,epark,2023-12-19 14:11:48.984000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,507,해운사업공통,440,사선공통,414,철제품선공통,414,철제품선공통,414,철제품선공통,2450,epark,2023-12-19 14:11:48.877000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,601,육운사업,302,육운사업 용차 공통,302,육운사업 용차 공통,302,육운사업 용차 공통,302,육운사업 용차 공통,290,epark,2023-12-19 14:11:46.485000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,501,P&D공통,502,P&D육운공통,404,철제품운송공통,404,철제품운송공통,404,철제품운송공통,1820,epark,2023-12-19 14:11:48.222000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,603,해운사업,440,사선공통,414,철제품선공통,132,한진3005호,132,한진3005호,550,epark,2023-12-19 14:11:46.767000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,608,이커머스사업,431,이하넥스공통,176,배송대행,176,배송대행,176,배송대행,1480,epark,2023-12-19 14:11:47.694000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,609,해외사업,433,해외항공포워딩공통,433,해외항공포워딩공통,433,해외항공포워딩공통,433,해외항공포워딩공통,1540,epark,2023-12-19 14:11:47.824000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,507,해운사업공통,416,용선공통,416,용선공통,138,내항용선,138,내항용선,2540,epark,2023-12-19 14:11:48.929000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,702,택배사업본부,606,택배사업,422,B2C공통,306,터미널간선공통,306,터미널간선공통,306,터미널간선공통,1040,epark,2023-12-19 14:11:47.215000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,603,해운사업,440,사선공통,415,중량물선공통,415,중량물선공통,415,중량물선공통,590,epark,2023-12-19 14:11:46.858000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,508,터미널공통,510,터미널하역공통,126,PCTC,126,PCTC,126,PCTC,2350,epark,2023-12-19 14:11:48.797000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,607,포워딩사업,429,포워딩3PL공통,429,포워딩3PL공통,429,포워딩3PL공통,429,포워딩3PL공통,1370,epark,2023-12-19 14:11:47.474000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,701,물류사업본부,605,E&S사업,435,유류사업공통,421,유류판매부대사업공통,421,유류판매부대사업공통,421,유류판매부대사업공통,860,epark,2023-12-19 14:11:47.081000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,704,본사직할,698,기타부대사업,498,신사업개발,190,K패션해외진출지원,190,K패션해외진출지원,190,K패션해외진출지원,3430,epark,2023-12-19 14:11:49.524000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 2,901,전사업공통비,701,물류사업본부,501,P&D공통,503,P&D하역공통,503,P&D하역공통,503,P&D하역공통,503,P&D하역공통,1870,epark,2023-12-19 14:11:48.313000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
TYPE 1,901,전사업공통비,703,글로벌사업본부,609,해외사업,434,해외3PL공통,184,해외조업,184,해외조업,184,해외조업,1600,epark,2023-12-19 14:11:47.944000,2023-12-26 01:07:37.831000,2023-12-26 01:07:37.831000
