상품코드,사업구분,상품명,설명,판매중지일,서비스금액,화물종류,배송이상지역,접수시주의사항,당일익일구분,최종수정일,수정자 터미널코드,수정자 사번,서비스지역 및 요율,최종변경일시,ETL일시
02L,D,골프택배,"1. 제주도, 단체골프여행, 해외골프 고객 대상으로 골프백을 집에서부터 전국 골프장(해외골프의 경우는 인천공항)까지 배달하는 서비스",,,,,http://nhanex.hanjin.co.kr:7777/_html/golf_20070112.htm,1,,,,"┌──────────┬──────────┐
│    편도 이용시     │    왕복 이용시     │
├──────────┼──────────┤
│      13,000원      │      23,000원      │
├──────────┴──────────┤
│■ 골프백 판매(이용)                      │
├──────────┬──────────┤
│● 1회용     5,000원│● 일반형   20,000원│
├──────────┼──────────┤
│● 고급형   35,000원│● 임대형       무료│
└──────────┴──────────┘
  * 임대형은 왕복 이용시에만 사용 가능
  * 운송료는 전국 동일 가격(제주포함) 적용
  * 예약은 골프경기 4일전까지",17:42.9,17:42.9
11A,D,항공당일편,"○ 항공기가 취항하는 국내 주요 도시간에 긴급 서류 및 소화물을 보내고자 하실 경우, 
   항공기 및 오토바이 등을 이용해 3~5시간내 신속.정확하게 
   배송해 드리는 서비스입니다.",20070129,,,,,2,,,,"┌───────────────────────────────┐
│■ 항공특급서비스                                             │
├─────┬─────┬───────┬───────────┤
│          │          │              │       택배운임       │
│서비스구분│서비스시간│   화물규격   ├───┬───┬───┤
│          │          │              │ 1권역│ 2권역│ 3권역│
├─────┼─────┼───────┼───┼───┼───┤
│공항↔공항│   3시간  │      -       │15,000│  -   │  -   │
├─────┼─────┼───────┼───┼───┼───┤
│공항↔DOOR│   4시간  │대형(30kg이하)│25,000│35,000│45,000│
├─────┼─────┼───────┼───┼───┼───┤
│DOOR↔DOOR│   5시간  │대형(30kg이하)│35,000│45,000│55,000│
├─────┼─────┼───────┼───┼───┼───┤
│          │          │소형(10kg이하)│20,000│27,000│35,000│
│          │          │───────┼───┼───┼───┤
│DOOR↔DOOR│  12시간  │중형(20kg이하)│25,000│32,000│40,000│
│          │          │───────┼───┼───┼───┤
│          │          │대형(30kg이하)│30,000│37,000│45,000│
├─────┴─────┴───────┴───┴───┴───┤
│※ 서비스 대상지역 : 대한항공 운항 주요도시,                  │
│                     공항내 택배 카운터 운영                  │
├───────────────────────────────┤
│               ● 권역안내(수도권 및 제주권) ●               │
├───┬──────┬──────────────┬─────┤
│ 권역 │서비스 범위 │        서울/수도권         │  제주권  │
├───┼──────┼──────────────┼─────┤
│      │            │강서,양천,영등포,구로,마포, │          │
│ 1권역│집배송 가능 │금천,광명,관악,동작,서대문, │ 제주시내 │
│      │            │용산,중구,종로,서초         │          │
├───┼──────┼──────────────┼─────┤
│      │            │과천,고양,강남,송파,강동    │          │
│ 2권역│집배송 가능 │성동,광진,중랑,동대문,성북, │    -     │
│      │            │강북,노원,도봉,부천,부평    │          │
├───┼──────┼──────────────┼─────┤
│ 3권역│배송만 가능 │       군포시,안양시        │서귀포시내│
├───┴──────┴──────────────┴─────┤
│                                  ■ 요율표 적용일:2002. 1. 1 │
└───────────────────────────────┘",17:42.9,17:42.9
06L,D,COD택배,"○ 서비스 내용
   - 통신판매, 인터넷 쇼핑몰에서 신청한 상품을 먼저 확인하고 구입하실 수  
     있는 서비스입니다. 거래관계상 도착지에서 상품대금을 수납하여야 할 때도 
     편리한 서비스입니다",,,N,,http://nhanex.hanjin.co.kr:7777/_html/cod_20070112.htm,1,,,,"○ 서비스 요금
  - 계약에 의해 협의 후 요금 책정(건당 1,000원 수준)",17:42.9,17:42.9
HY1,D,한약택배,"○ 매년 봄, 가을 전국 한의원, 한약방, 한방병원 등을 대상으로 ""한약""을 보내시는 
   분들께 요금을 할인하여 주는 서비스",,,,,http://nhanex.hanjin.co.kr:7777/_html/hanyak_20070112.htm,1,,,,"○ 별도요금 없음
   ※ 행사시마다 할인율 상이",17:42.9,17:42.9
APD,D,공항택배,"국제여행시 무거운 여행짐 or 가방을 ""집에서 공항간"", ""공항서 집간""에 갖고다니기
불편할때 한진택배에 맡기고 업무를 보시면 편리한 택배서비스",,,,,http://nhanex.hanjin.co.kr:7777/_html/air_20070406.htm,1,,,,"1.이용공항: 인천국제공항 (3층 한진택배 카운터)
            
2.서비스지역: 서울시,인천시,경기도 주요 도시

 ───────────────────────────────── ────┐
│■ 기본운임(입, 출국시 적용)                                              │
├───────┬─────┬─────┬─────┬─────┬─────┤
│     구분     │   초소형 │   소형   │   중형   │    대형  │  특대형  │
├───────┼─────┼─────┼─────┼───────────┤
│     중량     │ 1kg 이하 │10kg 이하 │ 20kg 이하│ 30kg 이하│ 40kg 이하│
 ──────────────────────────────────-───┤
│   동일권역   │          │          │          │          │          │
│ 인천국제공항 │  5,000원 │  6,000원 │  7,000원 │  8,000원 │ 15,000원 │
│  ↔ 인천시   │          │          │          │          │          │
├───────┼─────┼─────┼─────┼─────┼─────┤
│    타권역    │          │          │          │          │          │   
│   인천공항   │  7,000원 │  8,000원 │  9,000원 │ 10,000원 │ 20,000원 │
│↔ 인천외 지역│          │          │          │          │          │
├───────┼─────┼─────┼─────┼─────┼─────┤
│   제주권역   │          │          │          │          │          │
│ 인천국제공항 │  9,000원 │ 10,000원 │ 12,000원 │ 15,000원 │ 25,000원 │
│  ↔ 제주도   │          │          │          │          │          │
├───────┴─────┴─────┴─────┴─────┴─────┤
│■ 당일배송(입국시 적용)                          │
├─────────┬───────────────┤
│    서비스지역    │       대형(30kg 이하)        │
├─────────┼───────────────┤
│     인천지역     │           20,000원           │
├─────────┼───────────────┤
│  서울/부천지역   │           30,000원           │
├─────────┼───────────────┤
│    수도권지역    │           40,000원           │
├─────────┴───────────────┤
│·접수마감시간:오후2시                            │
│  (이후 접수화물은 익일배송)                      │
│·출국 경우 출발2일전까지 예약                    │
└─────────────────────────┘",17:42.9,17:42.9
A17,D,기숙사택배,"○ 기숙사에서 생활하던 대학교(또는 고등학교) 학생들이 방학을 맞아
   생활용품을 택배를 이용하여 발송시 배달하는 서비스",,,,,http://nhanex.hanjin.co.kr:7777/_html/kisuksa_20070112.htm,1,,,,○ 요금 : 기숙사 사생회와 별도 협의,17:42.9,17:42.9
HP,D,휴일집하한 상품,휴일 집하후 평일 배송될 상품,20170502,,,,http://nhanex.hanjin.co.kr:7777/_html/Freeday_pic.htm,1,,,,,17:42.9,17:42.9
HD,D,휴일배송할 상품,평일 집하하였으나 휴일 배송될 상품,20170502,,,,http://nhanex.hanjin.co.kr:7777/_html/Freeday_dlv.htm,1,,,,,17:42.9,17:42.9
10X,D,KTX 당일 택배,"전국 5개도시(서울,대전, 대구, 부산, 목포) 한하여 당일 택배
서비스 수행",20090915,,,,http://nhanex.hanjin.co.kr:7777/_html/ktx_20070406.htm,3,,,,,17:42.9,17:42.9
12M,D,오전배송편,"○ 익일 오전에 배송하는 상품
",20170502,,,,http://nhanex.hanjin.co.kr:7777/_html/AM_dlv.htm,1,,,,"○ 서비스 지역 : 서울시
    - 전국에서 판매하여 배송처가 서울인 경우

○ 택배운임
    - 개인고객 : 택배 표준운임에 +1,000원
    - 신용고객 : 現 계약운임에 +1,000원
",17:42.9,17:42.9
