선박코드,선박명_한글,선박명_영문,선사코드,선박종류코드,총길이,총중량,외내항구분,사용여부,비고,처리일시,최종변경일시,ETL일시
BPGN,자옥란,ZI YU LAN,KMC0711,41,150,16071,1,Y,,2.01402E+13,01:47.4,01:47.4
926635,오대양9호,오대양9호,ICZ2045,99,,24,1,Y,,2.01309E+13,01:47.4,01:47.4
BAMF,씬유2,씬유2,ICC2010,21,,497,1,Y,,2.01309E+13,01:47.4,01:47.4
040520,유진2호,유진2호,ICK0031,99,,191,1,Y,,2.01309E+13,01:47.4,01:47.4
3FZR6,MARITIME EMERALD,MARITIME EMERALD,KMS8802,21,,32379,1,Y,,2.01309E+13,01:47.4,01:47.4
T3NU,XING GUANG 5,XING GUANG 5,ICC2065,21,,2398,1,Y,,2.01309E+13,01:47.4,01:47.4
XUGW6,TONG YUAN HAI,TONG YUAN HAI,ICC1011,21,,2958,1,Y,,2.01309E+13,01:47.4,01:47.4
MAQJ,TOKYO TOWER,TOKYO TOWER,KMC0826,41,,17229,1,Y,,2.01309E+13,01:47.4,01:47.4
040116,장원2호,장원2호,ICK0038,99,,63,1,Y,,2.01309E+13,01:47.4,01:47.4
BFAI,TIAN RONG,TIAN RONG,KMC0102,41,114,6144,1,Y,,2.01402E+13,01:47.4,01:47.4
3EHP8,MOL ABILITY,MOL ABILITY,KMS8832,41,,12545,1,Y,,2.01309E+13,01:47.4,01:47.4
C6AA6,THORSRIVER,THORSRIVER,KMS8832,41,,18326,1,Y,,2.01309E+13,01:47.4,01:47.4
9HOS9,HEUNG A GREEN,HEUNG A GREEN,KMS8831,41,,18327,1,Y,,2.01309E+13,01:47.4,01:47.4
HSED2,SUJITRA NAREE,SUJITRA NAREE,ICZ1093,21,,18302,1,Y,,2.01309E+13,01:47.4,01:47.4
HOVE,NAVIOS MERCATOR,NAVIOS MERCATOR,KMS8802,21,,29988,1,Y,,2.01309E+13,01:47.4,01:47.4
D8ML,모닝 레이디,MORNING LADY,OST0078,99,,79,1,Y,,2.01309E+13,01:47.4,01:47.4
3EUR4,로랜즈스켈드,로랜즈스켈드,ICC1006,21,,21483,1,Y,,2.01309E+13,01:47.4,01:47.4
3ERO8,GOLDEN YOSA,GOLDEN YOSA,ICC2014,51,,11645,1,Y,,2.01309E+13,01:47.4,01:47.4
3FYU5,TOKI ARROW,TOKI ARROW,KMC0322,21,,36925,1,Y,,2.01309E+13,01:47.4,01:47.4
BKWQ3,ZHONG TAI 8,ZHONG TAI 8,KMC0415,41,,8564,1,Y,,2.01309E+13,01:47.4,01:47.4
VRCP7,DAHLIA,DAHLIA,KMS8831,41,,28927,1,Y,,2.01309E+13,01:47.4,01:47.4
XUTL3,GUANG YUAN,GUANG YUAN,ICC2074,21,89,2470,1,Y,,2.01403E+13,01:47.4,01:47.4
020762,모아호,모아호,ICK0038,99,,141,1,Y,,2.01309E+13,01:47.4,01:47.4
062606,오대양 1호,오대양 1호,ICZ2500,99,,55,1,Y,,2.01309E+13,01:47.4,01:47.4
3FFS4,T PRIME,T PRIME,OST0179,21,,20867,1,Y,,2.01309E+13,01:47.4,01:47.4
972902,만송2호,만송2호,ICZ1341,99,,43,1,Y,,2.01309E+13,01:47.4,01:47.4
5BNF2,REGULA,REGULA,KMS8817,41,,7170,1,Y,,2.01309E+13,01:47.4,01:47.4
BATD,MING YUE,MING YUE,KMC0300,41,,2453,1,Y,,2.01309E+13,01:47.4,01:47.4
DSFE7,마루카,마루카,ICC2052,21,,499,1,Y,,2.01309E+13,01:47.4,01:47.4
9VDB7,WAN HAI 301,WAN HAI 301,KMC0211,41,,26681,1,Y,,2.01309E+13,01:47.4,01:47.4
D8VY,창영,창영,KMS8817,21,,1160,1,Y,,2.01309E+13,01:47.4,01:47.4
972828,원 진 호,원 진 호,ICK0008,99,,211,1,Y,,2.01309E+13,01:47.4,01:47.4
790095,덕운호,덕운호,ICZ2162,99,,39,1,Y,,2.01309E+13,01:47.4,01:47.4
892021,진성호,진성호,ICZ3050,99,,19,1,Y,,2.01309E+13,01:47.4,01:47.4
XUGL8,CAPTAIN KANG,CAPTAIN KANG,ICC2010,21,,6545,1,Y,,2.01309E+13,01:47.4,01:47.4
