항구코드,국가코드,선석코드,선석명,정산용선석명,수심,선석길이,접안능력,업체코드,항구상세코드,조직코드,한진소유여부,조회순번,사용여부,비고,처리일시,본선구분,최종변경일시,ETL일시
POH,KR,MB3-01,화물부두 1선석,,0~7.5,200,,,P-POH003,311111,N,999,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-01,신부두 1 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-02,신부두 2 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-03,신부두 3 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-04,신부두 4 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-05,신부두 5 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-06,신부두 6 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBS-07,신부두 7 선석,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MW1-01,1물량장,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MW2-01,2물량장,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MW3-01,3물량장,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MW4-01,4물량장,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MWS-01,어선물량장(송도부두),,4~4,260,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MYS-01,모든 조선소,,0~0,0,,,P-POH003,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBC-01,컨테이너부두-1선석,,12~12,250,,C-POH009,P-POH002,311111,Y,999,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBC-02,컨테이너부두-2선석,,12~12,250,,C-POH009,P-POH002,311111,Y,999,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBC-03,컨테이너부두-3선석,Y - 03,12~12,250,,C-POH001,P-POH002,311111,Y,999,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBC-04,컨테이너부두-4선석,Y - 04,12~12,250,,C-POH001,P-POH002,311111,Y,999,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBG-01,일반부두-1선석,,11~11,210,,C-POH004,P-POH002,311111,N,999,Y,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBG-02,일반부두-2선석,,11~11,210,,C-POH004,P-POH002,311111,N,999,Y,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MBY-01,역무선 부두,,10~10,250,,,P-POH002,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
POH,KR,MWY-01,어선물량장(영일만항),,2.5~5,426,,,P-POH002,311111,N,999,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB1-01,1부두 11선석,1 - 1,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB1-02,1부두 12선석,1 - 2,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB1-03,1부두 13선석,1 - 3,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB1-04,1부두 14선석,1 - 4,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB2-01,2부두 21선석,2 - 1,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB2-02,2부두 22선석,2 - 2,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB2-03,2부두 23선석,2 - 3,111.1~111.1,120,,,P-CHW001,212211,N,12,N,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB3-01,3부두 31선석,3 - 1,111.1~111.1,120,,C-CHW001,P-CHW001,212211,Y,12,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB3-02,3부두 32선석,3 - 2,111.1~111.1,120,,C-CHW001,P-CHW001,212211,Y,12,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB3-03,3부두 33선석,3 - 3,111.1~111.1,120,,C-CHW001,P-CHW001,212211,Y,12,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB3-04,3부두 34선석,3 - 4,111.1~111.1,120,,C-CHW001,P-CHW001,212211,Y,12,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
CHW,KR,MB4-01,4부두 41선석,4 - 1,111.1~111.1,120,,C-CHW001,P-CHW001,212211,Y,12,Y,,,V,2023-12-26 03:02:42.412000,2023-12-26 03:02:42.412000
