고객번호,수금점소코드,불량등급코드,신용등급코드,기업설립형태코드,결제조건코드,신용공여기간코드,고객구분,주소,고객명,등록일자,등록자사번,SFDC고객ID,법인번호,최종변경일시,ETL일시
1068173377,,E,Y,A,A,B,2,02월 16일,(주) 토머넷,20030517,0310155,0012000000ADE05AAH,,35:36.3,35:36.3
4081144741,,E,Y,A,A,B,2,715-2 법조타운303호,비엔비,20040507,0011550,0012000000ALrgVAAT,,35:36.3,35:36.3
4038102225,,E,C,A,A,B,2,118,(주)익산석재상사,19990918,9120440,0012000000ALrWIAA1,,35:36.3,35:36.3
6038149325,1163,E,Y,A,O,B,2,653-4,(주)태광글로벌,20060131,H000055,0012000000ALw46AAD,,35:36.3,35:36.3
5022480995,1197,Y,Y,J,A,B,2,1778  2층,샤론,20110320,0710673,001D000000g6W7CIAU,,35:36.3,35:36.3
6078171019,,G,Y,A,S,B,2,(46259) 부산광역시 금정구 개좌로 158-22 (회동동),(주)정우석재,20091222,9321093,0012000000Yf21tAAB,,35:36.3,35:36.3
2152576857,1188,E,C,A,A,A,2,27번지 508동 304호,연방실업,19921022,8321316,,,35:36.3,35:36.3
1303879096,,E,Y,J,A,B,2,412-2대명앤스빌1차617호,간지텐,20090911,0710673,0012000000OGaX0AAL,,35:36.3,35:36.3
2219015396,1114,Y,Y,J,A,Z,2,212-1,화천종균배양소 오봉산농원,20190515,0710673,0014G00002MbBvcQAF,,35:36.3,35:36.3
6918800162,1163,G,Y,A,A,Z,2,(07803) 서울특별시 강서구 마곡중앙6로 66,(주)오션스글로벌,20160607,9406795,001D000001tJOyRIAW,1.10112E+12,35:36.3,35:36.3
6040180900,1165,L,Y,Z,C,B,2,592-9 대광아파트 909 12/5,천지화물,20061220,0210140,,,35:36.3,35:36.3
1698100569,1197,Y,Y,J,A,Z,2,동촌역사로3길 38,(주)다함유통,20180730,0710673,001D000002GDiG4IAL,1.70111E+12,35:36.3,35:36.3
1191263506,1188,E,C,A,A,E,2,984（유 통-19- 319）,서경섬유,19970911,9620214,,,35:36.3,35:36.3
1281213164,,E,C,A,A,B,2,2-38,광림무역,20010111,9942365,0012000000ALhp4AAD,,35:36.3,35:36.3
4098176628,,L,Y,A,A,B,2,347번지,대림티엔에스(주),20040202,0210626,0012000000ALrnnAAD,,35:36.3,35:36.3
6050685408,1192,E,Y,Z,A,B,2,681-2 테크노플라자 A동 219,에디슨산업,20020404,H000004,0012000000ALwHbAAL,,35:36.3,35:36.3
5850800619,,O,Y,J,A,Z,2,(35322) 대전광역시 서구 도마로63번길 11,예원,20210422,0710673,0014G00002adfSuQAI,,35:36.3,35:36.3
1272518429,1358,G,Y,J,A,B,2,도봉로642 외2필지 746-1,서울모터갤러리,20091014,0210125,001D000001FwlLmIAJ,,35:36.3,35:36.3
1081742961,,E,Y,J,A,B,2,661번지,뉴케어,20090904,0710673,0012000000OEMuOAAX,,35:36.3,35:36.3
2208520913,,E,Y,A,A,B,2,840-8  1층,케이투코리아(주)역삼점,20051206,9703945,0012000000ALpeAAAT,,35:36.3,35:36.3
5042478006,,E,Y,Z,A,B,2,(700-082) 대구 중구 계산동2가 200 현대백화점,현대백화점 코오롱스포츠,20110905,0000000,,,35:36.3,35:36.3
1100750432,,E,Y,Z,A,B,2,361-197 2층 3호,한솔패션,20030906,0011082,0012000000ADF67AAH,,35:36.3,35:36.3
1288171160,,E,Y,A,A,B,2,391-7,선일금고제작(주),20020709,9701860,0012000000ALi7ZAAT,,35:36.3,35:36.3
1231793547,,E,Y,Z,A,B,2,451,한조유통,20060306,0511103,0012000000ALgIjAAL,,35:36.3,35:36.3
2110231918,1137,E,Y,Z,A,B,2,1285-8,싸운드아카데미,20050523,H000085,0012000000ALnEUAA1,,35:36.3,35:36.3
6160109477,1140,E,Y,A,C,B,2,Jul-31,제도운수3638.3640,20080430,7903921,0012000000BXTxfAAH,,35:36.3,35:36.3
6160270760,1383,Y,Y,J,A,B,2,Jan-92,동화건기,20130813,9701134,001D000001BQJsRIAX,,35:36.3,35:36.3
1200499260,,E,Y,A,A,B,2,Jan-42,에스비상사,20040629,9420250,0012000000ALf3lAAD,,35:36.3,35:36.3
1225126485,1137,E,Y,A,A,B,2,539-1 한국수출사업5공단본부301호,다카무역,20030331,9320673,0012000000ALg8qAAD,,35:36.3,35:36.3
1308168159,1137,E,Y,A,D,B,2,1057,우진종합조명(주),20030806,H000011,0012000000ALiq2AAD,,35:36.3,35:36.3
1058605828,,E,Y,A,A,B,2,213-17 윤현빌딩2층,(주)아벤츄라,20020712,9402164,0012000000ADDWfAAP,,35:36.3,35:36.3
1288186381,,G,Y,A,A,Z,2,송포로425번길 97-21,(주)웰시스,20140509,9200251,001D000001OXRJ1IAP,1.11611E+12,35:36.3,35:36.3
3158502324,1115,E,Y,A,A,Z,2,(361-817) 충북 청주시 흥덕구 월명로 249,(주)오리온제4청주공장,20150626,0710673,001D000001jVO48IAG,1.10111E+12,35:36.3,35:36.3
5038111397,1163,L,Y,J,A,B,2,1129,미키코리아(주),20100218,0011605,0012000000SSQKlAAP,,35:36.3,35:36.3
6108137623,,G,Y,A,A,B,2,1599- 4,(주)거화물류,20000311,8003586,0012000000ALxXwAAL,2.30111E+12,35:36.3,35:36.3
6188115827,,G,B,A,A,C,2,(50920) 경남 김해시 서상동 262-1 4번지,(주)넥센,19921221,9121626,0012000000ALzDIAA1,1.84611E+12,35:36.3,35:36.3
6081416939,,L,Y,Z,A,B,2,10-3 신세계백화점 5층,켐브리지 멤버스,20070306,0210873,0012000000ALx8AAAT,,35:36.3,35:36.3
2220744515,1137,G,Y,A,A,Z,2,448-1,솔향석예원,20141021,9400241,001D000001W5JL1IAN,,35:36.3,35:36.3
5038117300,,E,C,A,A,B,2,118,(주)영신,20011120,9120366,0012000000AD0Q0AAL,,35:36.3,35:36.3
1021305878,,R,Y,A,A,Z,2,(14059) 경기도 안양시 동안구 흥안대로427번길 57-2 (평촌동) 1116호,뉴모즈,20220225,0000000,,,35:36.3,35:36.3
1218163091,,E,Y,A,D,B,2,1220-5 기성빌딩2층,(주)서호어패럴,20040114,9420972,0012000000ALfsmAAD,,35:36.3,35:36.3
2148146939,,E,C,A,A,B,2,118,한국쉔크(주),19990802,9402234,0012000000ALoELAA1,,35:36.3,35:36.3
2148607038,,Y,Y,A,A,Z,2,(11916) 경기도 구리시 동구릉로136번길 90 (인창동) 310호,국제수산(주),20230306,0000000,0012000000YffaiAAB,1.10111E+12,35:36.3,35:36.3
6058544095,,E,Y,J,A,B,2,자유평화로 11(누리엔빌딩 9층),더리본(주)리안에스스튜디오,20150331,0710673,001D000001fhjorIAA,1.80111E+12,35:36.3,35:36.3
1288188657,,Y,Y,A,A,Z,2,(411-450) 경기도 고양시 일산서구 덕산로 311,이피이큅먼트코리아(주),20140918,0011082,001D000001TkvshIAB,1.11611E+12,35:36.3,35:36.3
5058302700,1192,L,Y,I,A,B,2,12,경주시상수도사업본부,20040730,0011443,0012000000AD24NAAT,,35:36.3,35:36.3
1358116184,,E,C,A,A,B,2,118,(주)코스카,19950928,7200130,0012000000ALkCyAAL,,35:36.3,35:36.3
2068195517,,E,Y,A,A,V,2,473-23서립빌딩7층,세로텔레콤,20050708,9508214,0012000000ALme7AAD,,35:36.3,35:36.3
6160774607,,E,Y,Z,A,B,2,Feb-06,광주철재고물상,20030303,9701134,0012000000ALy2yAAD,,35:36.3,35:36.3
2037494296,1163,E,C,A,A,A,2,805-1 6　14／ 5,우영교역-변경-,19960426,8301716,,,35:36.3,35:36.3
1131841511,,E,Y,Z,A,B,2,233-10,BNI CORPORATION,20070612,9606553,0012000000ALdpXAAT,,35:36.3,35:36.3
1292242448,,Y,Y,Z,A,B,2,903-7 302,토이믹스,20060906,0011082,0012000000ALiHzAAL,,35:36.3,35:36.3
4021766619,1380,E,Y,Z,A,B,2,876-4,다모아스포츠용품,20071221,0511173,0012000000ALrTtAAL,,35:36.3,35:36.3
4168175554,1153,G,Y,A,A,A,2,(545-020) 전남 광양시 컨부두로 460(도이동),(주)삼한,20150413,9710245,001D000001fiLfwIAE,2.04611E+12,35:36.3,35:36.3
1293295454,,E,C,A,A,B,2,151아파 트형공장 마／205,에레프인터내셔날,19971108,9403925,0012000000ALiNMAA1,,35:36.3,35:36.3
2043227562,1370,G,Y,A,A,Z,2,(38905) 경상북도 영천시 북안면 대경로 2334 .,다올수산,20231201,0000000,AC2312000675307,,35:36.3,35:36.3
1058670770,,E,Y,A,P,F,2,"(137-060) 서울특별시 서초구 남부순환로 2159(방배동, 3층)",(주)사조해표,20041124,9201636,0012000000ADDgkAAH,1.10111E+12,35:36.3,35:36.3
6098209745,,L,Y,D,A,B,2,9 창원대학교내,창원대학교 산학협력단,20060316,0320014,0012000000ALxONAA1,,35:36.3,35:36.3
5877200071,,Y,Y,J,A,Z,2,학장대림아파트 106동 602호,BS물류,20171102,0710673,001D0000027tUwRIAU,,35:36.3,35:36.3
5038134366,1163,Y,Y,A,A,B,2,Dec-45,(주)대성나사산업,20110120,0011605,0012000000YfAYDAA3,,35:36.3,35:36.3
6350201677,,Y,Y,J,A,Z,2,"(04553) 서울특별시 중구 삼일대로4길 9, 3층 3446호",위드니노,20201113,0710673,0014G00002XjQscQAF,,35:36.3,35:36.3
1058815922,1134,E,Y,A,A,Z,2,(05838) 충민로 66,(주)알리제코리아,20160610,9510454,001D000001tKTXaIAO,1.10112E+12,35:36.3,35:36.3
1068629124,,E,Y,A,A,P,2,15-2 나진상가17동 가열 200-1,(주)나진컴뱅크,20041014,9508752,0012000000ADEAfAAP,,35:36.3,35:36.3
6090581071,1165,L,Y,Z,C,B,2,110-6 칠성 아파트 가-201 23/1,마창건기,20080312,9600511,0012000000ALxG8AAL,,35:36.3,35:36.3
5068163079,1136,L,Y,A,A,B,2,950-7,서진실업,20090303,0910044,0012000000O951HAAR,,35:36.3,35:36.3
6178611046,,E,Y,A,A,B,2,"(601-010) 부산광역시 동구 중앙대로226번길 7-5,802호(초량동,동림빌딩)",(주)코리아로지텍,20130925,9406795,001D000001D7ytIIAR,1.80111E+12,35:36.3,35:36.3
1100784437,1137,E,Y,Z,A,B,2,25-63 유승빌딩지하1층,월드구제,20080703,0011421,0012000000Iu7xPAAR,,35:36.3,35:36.3
3100620977,1123,E,Y,J,A,Z,2,상정1길 63,광천삼원식품,20160607,0710673,001D000001tJTUcIAO,,35:36.3,35:36.3
6671302155,,Y,Y,A,A,Z,2,(11815) 경기 의정부시 배꽃길 63 3동 10층 1033호,스타엘브이에스,20231024,0000000,AC2310000674074,,35:36.3,35:36.3
1370362764,,E,Y,Z,A,B,2,학운리 1407-1,웰메이드,20060704,0210991,0012000000ALkRSAA1,,35:36.3,35:36.3
