영업소코드,영업소명,영업소약명,건평,우편번호,주소,영업소등급,업무개시일,업무중지일,업무종료일,설립일자,사업자등록번호,업태,업종,계약영업소코드,계약구분,보증금,유효기간,보험증권번호,직영가맹여부,상위영업소코드,집하센터코드,지역구분,분류터미널구분,구동분류기구분값,반품송장권역ZONE,최종변경일시,ETL일시
100,HUB,HUB,100,449865,경기 용인시 백암면 백봉리  837-4,1,20020811,99991231,99991231,20020811,1268523826,운송/서비스,화물운송대행서비스,100,2,0,99991231,,1,100,100,10,1,L,,03:50.9,03:50.9
101,3PL(이천),삼피엘,900,467821,경기 이천시 호법면 매곡리  996-2 A동 쎄덱스이천센터,3,20050715,99991231,99991231,20050701,2208199237,서비스,화물운보,101,2,0,99991231,0,1,101,100,10,1,R,,03:50.9,03:50.9
102,이천(아디다스),경기,0,456912,경기도 안성시 일죽면 방초리  221번지,3,20040914,99991231,99991231,20040914,8878100954,000,000,100,1,0,99991231,00000000000,2,999,100,21,1,R,2,03:50.9,03:50.9
103,3PL(용인),삼피엘,0,435736,경기 군포시 부곡동 한국복합물류(주)  SEDEX 3PL,1,20050331,99991231,99991231,20050331,2018102823,000,000,,3,0,99991231,,1,103,100,10,1,R,,03:50.9,03:50.9
104,검납(서부),검납(서부),400,430010,경기도 안양시 만안구 안양동   만안로 17(명지캐럿),1,20161026,99991231,99991231,20121201,3688100263,"서비스(운수관련),도소매","납품,물류대행,검납대행,의류부자재",,2,0,99991231,000000,1,999,100,21,1,R,3,03:50.9,03:50.9
105,용인(반품),용인(반품),0,467822,경기 이천시 호법면 후안리  나이키 CSC,1,20130601,99991231,99991231,,2208809068,운수/도매/서비스/부동산,육상운수/무역/창고관리업/선대업/물류업/용역관리/운송주선,,3,0,99991231,,1,100,100,10,1,L,1,03:50.9,03:50.9
106,검납(신마),검납(신마),400,430010,경기도 안양시 만안구 안양동   만안로 17(명지캐럿),3,20180501,99991231,99991231,20180501,3688100263,"서비스(운수관련), 도소매","납품, 물류대행, 검납대행, 의류부자재",,2,0,99991231,000000,1,999,100,21,1,R,3,03:50.9,03:50.9
107,백암SUB,SUB,0,449865,경기 용인시 처인구 백암면 백봉리,1,20110926,99991231,99991231,20110926,1268523826,운송/서비스,화물운송대행서비스,,2,0,99991231,,1,999,107,10,1,L,,03:50.9,03:50.9
108,검납(스마트),검납(스마트),200,465010,"경기도 하남시 덕풍동   765, 아파트형 공장",3,20210601,99991231,99991231,20121201,1278140849,운수관련서비스,"지입, 알선, 정보통신서비스",,2,0,99991231,,1,999,100,21,1,R,2,03:50.9,03:50.9
109,중계센터,중계,0,467822,경기 이천시 호법면 유산리  769-11,1,20120601,99991231,99991231,20120530,2018102823,000,000,,3,0,99991231,,1,999,100,10,1,L,,03:50.9,03:50.9
